Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skat_int,burden_int
ADGRE2,0.11,0.1,0.1,0.11,0.1,0.11,0.11,0.1,0.1,0.02,0.02,0.02,0.02,0.02,0.02,0.07,0.03,0.05
ADGRE3,0.41,0.4,0.42,0.23,0.23,0.25,0.39,0.39,0.42,0.25,0.25,0.25,0.32,0.33,0.34,0.64,0.29,0.67
ADGRE5,0.52,0.51,0.55,0.3,0.31,0.31,0.52,0.51,0.53,0.41,0.41,0.41,0.53,0.53,0.48,0.7,0.43,0.77
CLEC17A,0.12,0.12,0.12,0.11,0.11,0.12,0.12,0.12,0.12,0.01,0.01,0.01,0,0,0.01,0.03,0.03,0.01
DDX39A,0.07,0.07,0.07,0.05,0.06,0.07,0.07,0.07,0.07,0.03,0.03,0.03,0.01,0.01,0.01,0.04,0,0.05
DNAJB1,0.06,0.06,0.08,0.04,0.03,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.01,0.01,0.01,0.01,0.01,0
GIPC1,0.07,0.06,0.06,0.07,0.06,0.06,0.06,0.04,0.05,0.05,0.05,0.05,0.01,0.01,0.01,0.01,0,0.05
NDUFB7,0.141176470588235,0.141176470588235,0.176470588235294,0.0493827160493827,0.0365853658536585,0.109756097560976,0.0705882352941176,0.0588235294117647,0.0823529411764706,0,0,0,0.02,0.02,0.02,0.03,0.01,0.01
PKN1,0.11,0.12,0.11,0.13,0.14,0.15,0.11,0.12,0.1,0.09,0.09,0.09,0,0,0.01,0.04,0.03,0.04
PTGER1,0.08,0.08,0.09,0.05,0.07,0.08,0.06,0.07,0.06,0.02,0.02,0.02,0.01,0.01,0,0.04,0.03,0.03
TECR,0.282828282828283,0.282828282828283,0.292929292929293,0.181818181818182,0.171717171717172,0.181818181818182,0.262626262626263,0.262626262626263,0.272727272727273,0.1,0.1,0.1,0.25,0.25,0.2,0.31,0.33,0.26
ZNF333,0.09,0.1,0.1,0.05,0.05,0.06,0.08,0.09,0.09,0.05,0.05,0.05,0.01,0.01,0.02,0.01,0,0.04
