Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skat_int,burden_int
ADGRE2,0.07,0.07,0.07,0.05,0.06,0.06,0.05,0.07,0.07,0.01,0.01,0.01,0.01,0,0,0.02,0.01,0.02
ADGRE3,0.42,0.43,0.43,0.23,0.23,0.22,0.41,0.43,0.42,0.2,0.2,0.2,0.03,0.03,0.03,0.42,0.12,0.47
ADGRE5,0.44,0.45,0.46,0.27,0.26,0.26,0.42,0.43,0.43,0.24,0.24,0.24,0.04,0.03,0.03,0.51,0.23,0.53
CLEC17A,0.04,0.04,0.04,0.03,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.01,0.01,0.01,0.04,0.04,0.04
DDX39A,0.07,0.07,0.07,0.02,0.02,0.03,0.06,0.05,0.05,0.04,0.04,0.04,0.01,0.01,0.01,0.02,0,0.07
DNAJB1,0.11,0.11,0.11,0.07,0.07,0.07,0.09,0.08,0.1,0.03,0.03,0.03,0,0,0,0.04,0,0.04
GIPC1,0.08,0.08,0.08,0.07,0.07,0.07,0.06,0.06,0.06,0.03,0.03,0.03,0.01,0.01,0.01,0.04,0.01,0.06
NDUFB7,0.1,0.1,0.11,0.05,0.05,0.05,0.04,0.04,0.04,0.01,0.01,0.01,0.02,0.02,0.02,0.04,0,0.08
PKN1,0.14,0.13,0.15,0.14,0.14,0.14,0.14,0.14,0.15,0.05,0.05,0.05,0.06,0.06,0.06,0.04,0.01,0.04
PTGER1,0.07,0.07,0.07,0.02,0.03,0.04,0.06,0.06,0.06,0.04,0.04,0.04,0.02,0.02,0.02,0.03,0.01,0.05
TECR,0.31,0.31,0.3,0.15,0.15,0.15,0.27,0.27,0.27,0.11,0.11,0.11,0,0,0,0.22,0.11,0.22
ZNF333,0.09,0.09,0.09,0.08,0.08,0.08,0.09,0.08,0.08,0.03,0.03,0.03,0.01,0.01,0.01,0.01,0.02,0.05
