Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skat_int,burden_int
ADGRE2,0.08,0.08,0.08,0.04,0.05,0.05,0.08,0.08,0.08,0.01,0.01,0.01,0,0,0,0.02,0.01,0.03
ADGRE3,0.42,0.39,0.4,0.2,0.23,0.23,0.37,0.36,0.36,0.23,0.23,0.23,0.14,0.13,0.13,0.45,0.21,0.52
ADGRE5,0.38,0.35,0.35,0.15,0.18,0.16,0.38,0.34,0.31,0.21,0.22,0.22,0.14,0.15,0.15,0.55,0.25,0.57
CLEC17A,0.07,0.08,0.08,0.04,0.04,0.04,0.07,0.08,0.08,0.04,0.04,0.04,0.01,0.01,0.01,0.06,0.05,0.07
DDX39A,0.1,0.09,0.09,0.08,0.05,0.04,0.1,0.08,0.09,0.03,0.03,0.03,0.01,0.01,0.02,0.03,0.02,0.02
DNAJB1,0.07,0.08,0.08,0.04,0.04,0.04,0.07,0.08,0.08,0.02,0.02,0.02,0.01,0.01,0.01,0.04,0.03,0.04
GIPC1,0.09,0.09,0.09,0.04,0.04,0.04,0.09,0.09,0.09,0.03,0.03,0.03,0.01,0.02,0.02,0.03,0.03,0.05
NDUFB7,0.108695652173913,0.108695652173913,0.108695652173913,0.0357142857142857,0.0238095238095238,0.0238095238095238,0.0434782608695652,0.0434782608695652,0.0434782608695652,0.0105263157894737,0.0105263157894737,0.0105263157894737,0.02,0.02,0.02,0,0.01,0.02
PKN1,0.14,0.16,0.16,0.1,0.11,0.11,0.12,0.15,0.15,0.06,0.06,0.06,0.01,0.01,0.01,0.04,0.04,0.06
PTGER1,0.06,0.08,0.07,0.02,0.02,0.02,0.03,0.06,0.05,0.04,0.04,0.04,0.01,0.01,0.01,0.05,0.03,0.06
TECR,0.22,0.22,0.23,0.14,0.13,0.13,0.19,0.18,0.19,0.13,0.12,0.12,0.06,0.06,0.06,0.23,0.12,0.28
ZNF333,0.07,0.06,0.05,0.07,0.08,0.08,0.07,0.05,0.07,0.04,0.04,0.04,0.03,0.03,0.03,0.02,0.02,0.05
