Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skato_ext,skato_all,skat_int,skat_ext,skat_all,burden_int,burden_ext,burden_all
ADGRE2,0.09,0.09,0.09,0.08,0.08,0.08,0.09,0.08,0.1,0.06,0.06,0.06,0.03,0.05,0.05,0.05,0.3,0.21,0.03,0.31,0.22,0.05,0.22,0.22
ADGRE3,0.04,0.04,0.05,0.03,0.03,0.03,0.05,0.04,0.05,0.05,0.05,0.05,0.02,0.02,0.01,0.05,0.2,0.18,0.05,0.23,0.22,0.05,0.18,0.14
ADGRE5,0.09,0.07,0.08,0.03,0.04,0.04,0.07,0.07,0.07,0.05,0.05,0.05,0.02,0.02,0.01,0.01,0.26,0.15,0.01,0.26,0.16,0.03,0.26,0.23
CLEC17A,0.11,0.12,0.12,0.09,0.08,0.09,0.1,0.1,0.1,0.01,0.01,0.01,0.05,0.05,0.05,0.02,0.17,0.13,0.02,0.24,0.14,0.07,0.14,0.13
DDX39A,0.09,0.1,0.1,0.03,0.03,0.02,0.08,0.08,0.09,0.04,0.04,0.04,0.02,0.02,0.02,0.06,0.18,0.14,0.02,0.16,0.14,0.06,0.18,0.15
DNAJB1,0.13,0.12,0.13,0.07,0.07,0.07,0.09,0.08,0.09,0.06,0.06,0.06,0,0,0,0.03,0.07,0.04,0.02,0.12,0.09,0.03,0.06,0.04
GIPC1,0.05,0.05,0.05,0.04,0.02,0.03,0.03,0.04,0.04,0.02,0.02,0.02,0.03,0.03,0.03,0.04,0.13,0.13,0.01,0.16,0.11,0.05,0.14,0.15
NDUFB7,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0510204081632653,0.0510204081632653,0.0510204081632653,0.0306122448979592,0.0306122448979592,0.0408163265306122,0.0102040816326531,0.0102040816326531,0.0102040816326531,0.01,0.01,0.01,0.03,0.14,0.11,0.01,0.14,0.13,0.01,0.11,0.09
PKN1,0.09,0.09,0.09,0.09,0.07,0.07,0.09,0.09,0.09,0.03,0.03,0.03,0.03,0.03,0.02,0.01,0.3,0.24,0.01,0.34,0.23,0.03,0.32,0.22
PTGER1,0.09,0.07,0.07,0.03,0.04,0.04,0.07,0.05,0.04,0.02,0.02,0.02,0.02,0.02,0.02,0.04,0.12,0.1,0.03,0.16,0.12,0.02,0.13,0.11
TECR,0.09,0.1,0.1,0.05,0.05,0.05,0.07,0.08,0.08,0.02,0.02,0.02,0.02,0.02,0.02,0,0.13,0.13,0.02,0.17,0.13,0.03,0.12,0.11
ZNF333,0.09,0.11,0.11,0.04,0.06,0.06,0.09,0.1,0.09,0.05,0.05,0.05,0.03,0.03,0.03,0.04,0.21,0.14,0.02,0.22,0.11,0.02,0.2,0.13
