Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skato_ext,skato_all,skat_int,skat_ext,skat_all,burden_int,burden_ext,burden_all
ADGRE2,0.09,0.09,0.11,0.07,0.08,0.1,0.09,0.09,0.11,0.02,0.02,0.02,0,0,0,0,0.26,0.15,0.01,0.26,0.11,0,0.25,0.17
ADGRE3,0.02,0.03,0.06,0.06,0.07,0.07,0.01,0.02,0.03,0.04,0.04,0.04,0.01,0.01,0.02,0.01,0.25,0.15,0.01,0.24,0.17,0.02,0.21,0.17
ADGRE5,0.07,0.07,0.08,0.08,0.08,0.08,0.06,0.06,0.07,0.03,0.03,0.03,0.03,0.02,0.02,0.03,0.22,0.17,0.01,0.16,0.13,0.03,0.22,0.14
CLEC17A,0.1,0.11,0.11,0.09,0.08,0.08,0.09,0.09,0.11,0.03,0.03,0.03,0,0,0,0.05,0.13,0.11,0.04,0.13,0.11,0.04,0.11,0.08
DDX39A,0.12,0.09,0.11,0.04,0.05,0.07,0.11,0.09,0.1,0.06,0.06,0.06,0.01,0.01,0.01,0.04,0.17,0.11,0.01,0.13,0.12,0.06,0.14,0.09
DNAJB1,0.06,0.06,0.06,0.04,0.05,0.05,0.06,0.06,0.06,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.17,0.1,0,0.17,0.12,0.01,0.17,0.13
GIPC1,0.05,0.06,0.07,0.06,0.06,0.06,0.05,0.03,0.08,0.06,0.06,0.06,0.04,0.03,0.04,0.03,0.19,0.12,0.02,0.15,0.1,0.05,0.17,0.13
NDUFB7,0.0344827586206897,0.0454545454545455,0.0561797752808989,0,0.0238095238095238,0.0117647058823529,0.0344827586206897,0.0454545454545455,0.0561797752808989,0,0,0,0.01,0.01,0.01,0.05,0.14,0.13,0.05,0.16,0.14,0.06,0.11,0.09
PKN1,0.08,0.07,0.09,0.04,0.02,0.04,0.07,0.07,0.07,0.01,0.01,0.01,0,0,0,0,0.17,0.08,0.01,0.1,0.06,0.02,0.15,0.13
PTGER1,0.11,0.12,0.12,0.02,0.03,0.03,0.09,0.09,0.11,0.03,0.03,0.03,0.02,0.02,0.01,0.02,0.17,0.09,0.02,0.17,0.09,0.04,0.14,0.11
TECR,0.09,0.1,0.1,0.06,0.07,0.08,0.07,0.08,0.1,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.17,0.1,0.02,0.14,0.1,0.05,0.15,0.11
ZNF333,0.08,0.08,0.08,0.06,0.07,0.06,0.08,0.08,0.08,0.04,0.04,0.04,0.02,0.02,0.02,0.03,0.25,0.21,0,0.22,0.17,0.05,0.21,0.22
