Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skat_int,burden_int
ADGRE2,0.17,0.09,0.09,0.12,0.13,0.13,0.17,0.09,0.08,0.04,0.04,0.04,0.09,0.08,0.09,0.04,0,0.04
ADGRE3,0.42,0.39,0.44,0.28,0.24,0.24,0.42,0.37,0.43,0.12,0.12,0.12,0.11,0.06,0.07,0.19,0,0.36
ADGRE5,0.44,0.5,0.5,0.28,0.3,0.34,0.43,0.48,0.5,0.16,0.17,0.17,0.11,0.06,0.09,0.31,0,0.51
CLEC17A,0.09,0.02,0.02,0.09,0.04,0.04,0.09,0.02,0.02,0.02,0.01,0.01,0.04,0.04,0.06,0.01,0,0.03
DDX39A,0.07,0.09,0.11,0.06,0.04,0.04,0.07,0.09,0.1,0.02,0.02,0.02,0.03,0.02,0.04,0.02,0.02,0.04
DNAJB1,0.15,0.11,0.09,0.1,0.09,0.08,0.12,0.07,0.06,0.04,0.04,0.04,0.03,0,0,0.02,0,0.04
GIPC1,0.09,0.06,0.05,0.07,0.06,0.05,0.08,0.06,0.04,0.03,0.03,0.03,0.02,0,0.01,0.04,0.03,0.06
NDUFB7,0.105263157894737,0.114583333333333,0.103092783505155,0.0434782608695652,0.0729166666666667,0.0824742268041237,0.0842105263157895,0.09375,0.0824742268041237,0.0105263157894737,0.0102040816326531,0.0102040816326531,0.02,0,0.01,0.02,0.02,0.04
PKN1,0.12,0.03,0.04,0.1,0.05,0.06,0.11,0.03,0.04,0.01,0.01,0.01,0.04,0.03,0.04,0.01,0,0.01
PTGER1,0.12,0.09,0.12,0.09,0.05,0.07,0.12,0.07,0.11,0.03,0.03,0.03,0.04,0.02,0.02,0.02,0.01,0.04
TECR,0.2,0.24,0.22,0.15,0.11,0.15,0.19,0.21,0.22,0.07,0.07,0.07,0.04,0.01,0.01,0.07,0,0.13
ZNF333,0.11,0.06,0.05,0.1,0.04,0.05,0.1,0.05,0.05,0.04,0.04,0.04,0.05,0.03,0.03,0.01,0.02,0.03
