Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skat_int,burden_int
ADGRE2,0.05,0.03,0.03,0.07,0.02,0.03,0.03,0.03,0.02,0.02,0.01,0.01,0.02,0.03,0.03,0.02,0.04,0.01
ADGRE3,0.36,0.44,0.43,0.16,0.2,0.19,0.34,0.39,0.43,0.24,0.24,0.24,0.09,0.05,0.04,0.45,0.17,0.46
ADGRE5,0.35,0.34,0.38,0.19,0.17,0.19,0.33,0.32,0.35,0.16,0.17,0.17,0.1,0.07,0.05,0.47,0.2,0.54
CLEC17A,0.12,0.08,0.07,0.06,0.05,0.03,0.09,0.08,0.07,0.08,0.08,0.08,0.02,0.01,0.01,0.02,0.01,0.06
DDX39A,0.09,0.03,0.02,0.04,0.02,0.02,0.06,0.03,0.02,0.01,0.01,0.01,0.01,0.03,0.02,0,0.03,0.02
DNAJB1,0.09,0.02,0.03,0.04,0.01,0.02,0.07,0.03,0.03,0.05,0.06,0.06,0,0.01,0.01,0.05,0.04,0.06
GIPC1,0.11,0.05,0.05,0.05,0.02,0.02,0.09,0.04,0.04,0.03,0.03,0.03,0,0,0,0.04,0.02,0.05
NDUFB7,0.135802469135802,0.0595238095238095,0.0645161290322581,0.105263157894737,0.0375,0.043010752688172,0.0987654320987654,0.0476190476190476,0.043010752688172,0.0117647058823529,0.0112359550561798,0.0103092783505155,0.03,0.03,0.04,0.01,0.01,0.04
PKN1,0.08,0.04,0.04,0.06,0.04,0.05,0.07,0.03,0.03,0.03,0.04,0.04,0.03,0.04,0.04,0.02,0.01,0.04
PTGER1,0.13,0.08,0.09,0.08,0.04,0.04,0.12,0.07,0.08,0,0,0,0.03,0.03,0.03,0.03,0.02,0.04
TECR,0.19,0.22,0.23,0.13,0.08,0.1,0.18,0.16,0.19,0.03,0.03,0.03,0,0.01,0.01,0.17,0.09,0.16
ZNF333,0.12,0.11,0.1,0.14,0.1,0.1,0.12,0.1,0.09,0.03,0.03,0.03,0.03,0.02,0.03,0.06,0.04,0.04
