Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skato_ext,skato_all,skat_int,skat_ext,skat_all,burden_int,burden_ext,burden_all
ADGRE2,0.05,0.03,0.04,0.05,0.02,0.02,0.05,0.02,0.03,0.06,0.06,0.06,0.04,0.05,0.05,0.01,0.27,0.2,0,0.27,0.24,0.07,0.31,0.22
ADGRE3,0.13,0.05,0.04,0.06,0.02,0.01,0.13,0.05,0.05,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.29,0.21,0.01,0.3,0.24,0,0.26,0.22
ADGRE5,0.06,0.03,0.03,0.05,0.04,0.04,0.06,0.03,0.03,0.04,0.02,0.02,0.03,0.05,0.04,0.01,0.27,0.23,0,0.29,0.23,0.03,0.32,0.23
CLEC17A,0.07,0.04,0.04,0.04,0.03,0.03,0.06,0.04,0.02,0,0,0,0.04,0.01,0.03,0.05,0.22,0.16,0.05,0.22,0.18,0.04,0.15,0.13
DDX39A,0.08,0.03,0.02,0.07,0.01,0,0.07,0.03,0.02,0.03,0.03,0.03,0.04,0.02,0.02,0.03,0.2,0.15,0.01,0.24,0.17,0.02,0.18,0.16
DNAJB1,0.1,0.07,0.06,0.05,0.04,0.04,0.08,0.02,0.02,0.03,0.02,0.02,0.02,0.03,0.04,0.04,0.24,0.2,0.01,0.26,0.21,0.07,0.18,0.19
GIPC1,0.1,0.14,0.14,0.08,0.1,0.11,0.08,0.11,0.1,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.23,0.19,0.01,0.22,0.21,0.05,0.21,0.19
NDUFB7,0.0674157303370786,0.0561797752808989,0.0568181818181818,0.0357142857142857,0.0113636363636364,0.0116279069767442,0.0337078651685393,0.0337078651685393,0.0340909090909091,0,0,0,0,0,0,0.01,0.19,0.15,0.01,0.16,0.14,0.01,0.14,0.13
PKN1,0.11,0.06,0.06,0.08,0.05,0.04,0.11,0.06,0.07,0.04,0.05,0.05,0.07,0.01,0.01,0.03,0.3,0.25,0.02,0.31,0.24,0.05,0.27,0.23
PTGER1,0.12,0.07,0.08,0.1,0.07,0.08,0.11,0.06,0.06,0.04,0.04,0.04,0.02,0.04,0.04,0.01,0.2,0.13,0.02,0.19,0.17,0.03,0.17,0.16
TECR,0.09,0.06,0.05,0.08,0.02,0.03,0.07,0.04,0.04,0.02,0.02,0.02,0.04,0.05,0.06,0,0.2,0.18,0,0.23,0.21,0.02,0.2,0.15
ZNF333,0.05,0.04,0.03,0.04,0.02,0.04,0.05,0.02,0.01,0.03,0.04,0.04,0.08,0.05,0.06,0.01,0.39,0.31,0,0.44,0.31,0.05,0.33,0.25
