Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skato_ext,skato_all,skat_int,skat_ext,skat_all,burden_int,burden_ext,burden_all
ADGRE2,0.09,0.06,0.08,0.03,0.06,0.05,0.09,0.06,0.06,0.02,0.02,0.02,0,0,0,0.02,0.23,0.16,0,0.18,0.12,0.02,0.2,0.16
ADGRE3,0.06,0.03,0.03,0.01,0.01,0.02,0.06,0.03,0.03,0,0,0,0,0,0,0,0.22,0.18,0,0.22,0.17,0.03,0.2,0.19
ADGRE5,0.04,0.02,0.03,0.06,0.03,0.03,0.04,0.02,0.03,0.02,0.01,0.01,0,0,0,0.01,0.24,0.2,0,0.25,0.23,0.02,0.22,0.18
CLEC17A,0.07,0.05,0.04,0.05,0.03,0.03,0.06,0.03,0.03,0.01,0.01,0.01,0,0,0,0,0.21,0.19,0,0.21,0.17,0.02,0.17,0.16
DDX39A,0.05,0.02,0.04,0.02,0,0.01,0.05,0.01,0.02,0,0,0,0,0,0,0.01,0.21,0.21,0,0.19,0.2,0.02,0.18,0.18
DNAJB1,0.0816326530612245,0.0606060606060606,0.0606060606060606,0.0306122448979592,0.0303030303030303,0.0303030303030303,0.0612244897959184,0.0404040404040404,0.0505050505050505,0.0102040816326531,0.0101010101010101,0.0101010101010101,0,0,0,0.03,0.2,0.16,0,0.18,0.16,0.06,0.17,0.14
GIPC1,0.0606060606060606,0.0606060606060606,0.0707070707070707,0.0303030303030303,0.0303030303030303,0.0303030303030303,0.0606060606060606,0.0505050505050505,0.0707070707070707,0.0101010101010101,0.0101010101010101,0.0101010101010101,0,0,0,0.01,0.15,0.09,0.01,0.16,0.13,0.01,0.15,0.11
NDUFB7,0.0563380281690141,0.04,0.0526315789473684,0.0517241379310345,0.0447761194029851,0.0579710144927536,0.028169014084507,0.0266666666666667,0.0263157894736842,0,0,0,0,0,0,0,0.16,0.13,0,0.17,0.1,0.01,0.13,0.12
PKN1,0.06,0.05,0.05,0.05,0.04,0.04,0.06,0.05,0.05,0.02,0.02,0.02,0.01,0,0,0.03,0.33,0.29,0,0.27,0.27,0.04,0.28,0.31
PTGER1,0.11,0.09,0.09,0.06,0.05,0.03,0.09,0.06,0.07,0.01,0.01,0.01,0,0,0.01,0.04,0.21,0.2,0.02,0.18,0.17,0.06,0.19,0.18
TECR,0.141414141414141,0.08,0.1,0.111111111111111,0.08,0.08,0.121212121212121,0.06,0.06,0,0,0,0,0,0,0.01,0.21,0.19,0,0.22,0.19,0.04,0.16,0.17
ZNF333,0.06,0.03,0.04,0.04,0.02,0.03,0.06,0.02,0.04,0.02,0.02,0.02,0,0.01,0.01,0.03,0.33,0.25,0,0.29,0.22,0.03,0.34,0.24
