Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skato_ext,skato_all,skat_int,skat_ext,skat_all,burden_int,burden_ext,burden_all
ADGRE2,0.07,0.05,0.05,0.06,0.03,0.03,0.02,0,0.01,0.01,0.01,0.01,0,0,0,0.02,0.05,0.06,0,0.03,0.03,0.03,0.06,0.08
ADGRE3,0.04,0.05,0.04,0.02,0,0.01,0.02,0.03,0.03,0,0,0,0,0,0,0.02,0.05,0.04,0,0.03,0.03,0.03,0.07,0.07
ADGRE5,0.03,0.04,0.04,0.01,0.01,0.01,0.02,0.03,0.02,0.03,0.02,0.02,0,0,0,0.03,0.02,0.01,0,0,0,0.06,0.04,0.04
CLEC17A,0.07,0.07,0.0707070707070707,0.03,0.05,0.0505050505050505,0.01,0.02,0.0202020202020202,0,0,0,0,0,0,0.01,0.04,0.03,0,0.03,0.03,0.01,0.07,0.05
DDX39A,0.05,0.05,0.05,0.03,0.03,0.03,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.02
DNAJB1,0.0707070707070707,0.0404040404040404,0.0505050505050505,0.0606060606060606,0.0303030303030303,0.0303030303030303,0.0101010101010101,0,0,0,0,0,0,0,0,0.02,0.03,0.04,0,0.03,0.03,0.02,0.08,0.07
GIPC1,0.0404040404040404,0.04,0.05,0.0202020202020202,0.01,0.01,0.0309278350515464,0.0102040816326531,0.0306122448979592,0,0,0,0,0,0,0.01,0.03,0.03,0,0.02,0.02,0,0.06,0.05
NDUFB7,0.0588235294117647,0.021978021978022,0.0224719101123595,0.0384615384615385,0.0229885057471264,0.0121951219512195,0.0149253731343284,0.0144927536231884,0.0147058823529412,0,0,0,0,0,0,0.01,0.04,0.03,0,0.04,0.03,0.01,0.08,0.07
PKN1,0.04,0.04,0.04,0.05,0.02,0.03,0.04,0.03,0.03,0.02,0.04,0.04,0,0,0,0.03,0.01,0.01,0,0,0,0.03,0.03,0.03
PTGER1,0.05,0.07,0.07,0.04,0.03,0.03,0.02,0.01,0.02,0,0,0,0,0,0,0.04,0.04,0.03,0,0.03,0.02,0.04,0.05,0.06
TECR,0.0404040404040404,0.04,0.04,0.0202020202020202,0.03,0.03,0,0,0,0,0,0,0,0,0,0,0.04,0.02,0,0.03,0.01,0,0.06,0.05
ZNF333,0.07,0.07,0.07,0.04,0.04,0.04,0.03,0.04,0.04,0.02,0.03,0.03,0,0,0,0.02,0.03,0.04,0,0.01,0.01,0.02,0.07,0.07
