Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skato_ext,skato_all,skat_int,skat_ext,skat_all,burden_int,burden_ext,burden_all
ADGRE2,0.13,0.1,0.08,0.05,0.09,0.06,0.13,0.09,0.08,0.04,0.05,0.05,0.03,0.02,0.02,0.03,0.26,0.15,0.01,0.29,0.14,0.04,0.23,0.17
ADGRE3,0.05,0.04,0.03,0.04,0.03,0.02,0.05,0.04,0.03,0.05,0.05,0.05,0.01,0.04,0.04,0.01,0.29,0.17,0,0.28,0.19,0.03,0.26,0.16
ADGRE5,0.14,0.12,0.11,0.06,0.05,0.06,0.13,0.13,0.11,0.06,0.06,0.06,0.01,0.01,0.01,0.01,0.24,0.12,0.01,0.22,0.12,0.03,0.2,0.19
CLEC17A,0.09,0.03,0.03,0.03,0.05,0.05,0.06,0.02,0.02,0.03,0.02,0.02,0.02,0.03,0.03,0.03,0.17,0.11,0.03,0.19,0.11,0.03,0.15,0.14
DDX39A,0.1,0.07,0.05,0.06,0.06,0.04,0.1,0.04,0.05,0.01,0.02,0.02,0.02,0.01,0.01,0.02,0.22,0.14,0.04,0.25,0.2,0.03,0.14,0.12
DNAJB1,0.1,0.1,0.09,0.08,0.06,0.05,0.06,0.06,0.06,0.01,0.01,0.01,0.02,0.05,0.05,0.03,0.18,0.1,0.03,0.23,0.18,0.04,0.14,0.09
GIPC1,0.08,0.07,0.06,0.06,0.06,0.05,0.04,0,0,0.01,0,0,0.02,0.02,0.02,0.03,0.15,0.11,0.02,0.22,0.1,0.04,0.15,0.1
NDUFB7,0.0930232558139535,0.0975609756097561,0.0625,0.0609756097560976,0.051948051948052,0.0277777777777778,0.0232558139534884,0.0365853658536585,0.0125,0,0,0,0,0,0,0.04,0.14,0.11,0.04,0.14,0.12,0.02,0.08,0.05
PKN1,0.11,0.1,0.06,0.08,0.1,0.07,0.11,0.1,0.06,0.01,0.03,0.03,0.01,0.02,0.02,0.03,0.35,0.23,0.01,0.35,0.23,0.08,0.27,0.22
PTGER1,0.11,0.07,0.06,0.06,0.07,0.06,0.1,0.07,0.05,0.04,0.04,0.04,0.03,0.04,0.03,0.03,0.21,0.16,0.01,0.2,0.16,0.04,0.21,0.16
TECR,0.101010101010101,0.0707070707070707,0.0808080808080808,0.0404040404040404,0.0404040404040404,0.0404040404040404,0.0808080808080808,0.0707070707070707,0.0606060606060606,0.0707070707070707,0.0909090909090909,0.0909090909090909,0.05,0.04,0.03,0.05,0.22,0.14,0.04,0.21,0.12,0.06,0.17,0.12
ZNF333,0.14,0.1,0.1,0.07,0.08,0.05,0.13,0.09,0.09,0.01,0.01,0.01,0.02,0.06,0.04,0.03,0.32,0.18,0,0.3,0.2,0.04,0.28,0.16
