Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skat_int,burden_int
ADGRE2,0.1,0.07,0.09,0.11,0.07,0.06,0.1,0.07,0.09,0.06,0.06,0.06,0.01,0.03,0.01,0.04,0.01,0.05
ADGRE3,0.41,0.34,0.31,0.22,0.18,0.15,0.37,0.33,0.3,0.14,0.14,0.14,0.16,0.12,0.14,0.44,0.15,0.5
ADGRE5,0.41,0.32,0.28,0.23,0.15,0.16,0.4,0.26,0.27,0.16,0.19,0.19,0.12,0.1,0.12,0.41,0.21,0.47
CLEC17A,0.15,0.13,0.12,0.1,0.08,0.07,0.13,0.08,0.07,0.02,0.03,0.03,0.01,0,0,0.03,0.02,0.02
DDX39A,0.07,0.05,0.06,0.08,0.03,0.03,0.07,0.04,0.05,0.02,0.01,0.01,0.03,0.03,0.03,0.01,0.02,0.01
DNAJB1,0.14,0.08,0.1,0.11,0.03,0.04,0.1,0.06,0.06,0.04,0.03,0.03,0.01,0.03,0.04,0.07,0.04,0.07
GIPC1,0.13,0.1,0.07,0.07,0.04,0.03,0.13,0.09,0.05,0.02,0.02,0.02,0,0,0,0.04,0.01,0.07
NDUFB7,0.144444444444444,0.126436781609195,0.0853658536585366,0.112359550561798,0.0588235294117647,0.0641025641025641,0.0674157303370786,0.0459770114942529,0.0121951219512195,0,0,0,0.03,0.02,0.01,0.02,0.01,0.01
PKN1,0.1,0.08,0.09,0.07,0.1,0.09,0.1,0.08,0.09,0.02,0.04,0.04,0.02,0.04,0.03,0.01,0.01,0.03
PTGER1,0.12,0.07,0.08,0.08,0.05,0.05,0.13,0.07,0.06,0.06,0.06,0.06,0,0,0,0.04,0.02,0.04
TECR,0.19,0.13,0.1,0.13,0.05,0.03,0.19,0.1,0.08,0.08,0.09,0.09,0.05,0.03,0.02,0.25,0.13,0.23
ZNF333,0.07,0.12,0.09,0.06,0.06,0.06,0.07,0.12,0.09,0.04,0.04,0.04,0.03,0.04,0.02,0.07,0.01,0.08
