Gene,prox_int,prox_ext,prox_ext_var_adj_Ncc,prox_ext_var_adj_Neff,prox_ext_gene_adj_Ncc,prox_ext_gene_adj_Neff,proxW_int,proxW_ext,proxW_ext_var_adj_Ncc,proxW_ext_var_adj_Neff,proxW_ext_gene_adj_Ncc,proxW_ext_gene_adj_Neff
ADGRE2,0.01,0.08,0.08,0.1,0.09,0.1,0.02,0.05,0.04,0.06,0.02,0.05
ADGRE3,0.01,0.1,0.11,0.15,0.11,0.13,0.02,0.03,0.03,0.05,0.03,0.04
ADGRE5,0.04,0.12,0.12,0.13,0.12,0.12,0.03,0.05,0.06,0.07,0.04,0.07
CLEC17A,0.04,0.07,0.08,0.11,0.08,0.09,0.03,0.06,0.06,0.06,0.06,0.06
DDX39A,0.04,0.08,0.08,0.1,0.08,0.09,0.03,0.04,0.04,0.04,0.04,0.04
DNAJB1,0.05,0.09,0.09,0.1,0.09,0.09,0.01,0.06,0.06,0.07,0.06,0.06
GIPC1,0.06,0.07,0.07,0.11,0.07,0.1,0.02,0.05,0.05,0.06,0.05,0.06
NDUFB7,0.0752688172043011,0.10752688172043,0.10752688172043,0.127659574468085,0.10752688172043,0.127659574468085,0.0549450549450549,0.0645161290322581,0.0645161290322581,0.074468085106383,0.0645161290322581,0.0957446808510638
PKN1,0.04,0.07,0.07,0.1,0.07,0.08,0.02,0.07,0.07,0.1,0.07,0.08
PTGER1,0.05,0.15,0.15,0.17,0.15,0.16,0.04,0.09,0.08,0.11,0.09,0.1
TECR,0.07,0.08,0.07,0.1,0.07,0.1,0.03,0.03,0.03,0.07,0.03,0.05
ZNF333,0.06,0.11,0.11,0.13,0.11,0.12,0.05,0.09,0.09,0.1,0.1,0.1
