Gene,prox_int,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_int,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_int,prox2_ext,prox2_all,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skato_ext,skato_all,skat_int,skat_ext,skat_all,burden_int,burden_ext,burden_all
ADGRE2,0.09,0.11,0.17,0.15,0.07,0.09,0.12,0.12,0.08,0.11,0.08,0.17,0.15,0.09,0.09,0.02,0.02,0.02,0.05,0.43,0.21,0.03,0.45,0.23,0.03,0.15,0.09
ADGRE3,0.04,0.18,0.16,0.16,0.02,0.14,0.11,0.12,0.04,0.18,0.04,0.14,0.15,0.05,0.05,0.06,0.06,0.07,0.08,0.46,0.26,0.06,0.49,0.31,0.06,0.13,0.11
ADGRE5,0.04,0.23,0.22,0.19,0.03,0.12,0.22,0.19,0.04,0.23,0.04,0.22,0.19,0.04,0.04,0.04,0.08,0.06,0.07,0.51,0.21,0.04,0.57,0.24,0.08,0.2,0.13
CLEC17A,0.07,0.23,0.16,0.15,0.07,0.16,0.08,0.06,0.06,0.22,0.06,0.15,0.12,0.05,0.05,0.04,0.05,0.05,0.06,0.36,0.18,0.02,0.42,0.19,0.06,0.13,0.09
DDX39A,0.03,0.11,0.16,0.16,0.01,0.1,0.16,0.15,0.03,0.11,0.03,0.16,0.16,0.02,0.02,0.03,0.07,0.07,0.08,0.33,0.12,0.04,0.38,0.17,0.08,0.08,0.04
DNAJB1,0.05,0.18,0.17,0.16,0.04,0.13,0.14,0.14,0.04,0.17,0.04,0.16,0.15,0.04,0.04,0.02,0.03,0.03,0.04,0.32,0.13,0.02,0.39,0.16,0.04,0.12,0.07
GIPC1,0.0404040404040404,0.19,0.18,0.17,0.0202020202020202,0.12,0.12,0.09,0.0303030303030303,0.18,0.03,0.17,0.16,0.03,0.03,0.04,0.03,0.03,0.01,0.38,0.13,0,0.37,0.15,0.03,0.15,0.12
NDUFB7,0.0289855072463768,0.147368421052632,0.127659574468085,0.117021276595745,0.0158730158730159,0.106382978723404,0.108695652173913,0.108695652173913,0.0289855072463768,0.0842105263157895,0.0204081632653061,0.0957446808510638,0.0851063829787234,0.0306122448979592,0.0306122448979592,0.05,0.06,0.05,0.06,0.17,0.12,0.07,0.18,0.11,0.05,0.1,0.09
PKN1,0.05,0.1,0.16,0.16,0.06,0.07,0.13,0.12,0.05,0.1,0.05,0.16,0.16,0.07,0.07,0.03,0.1,0.08,0.08,0.46,0.19,0.05,0.54,0.25,0.1,0.16,0.09
PTGER1,0.06,0.18,0.16,0.13,0.05,0.1,0.14,0.12,0.05,0.15,0.07,0.15,0.12,0.07,0.07,0.02,0,0.01,0.05,0.43,0.21,0.03,0.49,0.27,0.06,0.2,0.11
TECR,0.06,0.14,0.21,0.18,0.04,0.1,0.11,0.1,0.03,0.13,0.04,0.19,0.15,0.04,0.04,0.03,0.02,0.02,0.03,0.29,0.1,0.03,0.34,0.11,0.04,0.17,0.06
ZNF333,0.02,0.17,0.18,0.16,0.03,0.16,0.13,0.13,0.02,0.17,0.02,0.18,0.16,0.03,0.03,0.02,0.04,0.03,0.02,0.48,0.17,0.02,0.57,0.23,0.03,0.16,0.07
