Gene,prox_int,prox_ext,prox_ext_var_adj_Ncc,prox_ext_var_adj_Neff,prox_ext_gene_adj_Ncc,prox_ext_gene_adj_Neff,proxW_int,proxW_ext,proxW_ext_var_adj_Ncc,proxW_ext_var_adj_Neff,proxW_ext_gene_adj_Ncc,proxW_ext_gene_adj_Neff
ADGRE2,0.01,0.08,0.08,0.09,0.09,0.1,0.02,0.05,0.04,0.06,0.02,0.05
ADGRE3,0.01,0.1,0.11,0.14,0.11,0.15,0.02,0.03,0.03,0.05,0.03,0.05
ADGRE5,0.04,0.12,0.12,0.12,0.12,0.12,0.03,0.05,0.06,0.09,0.04,0.08
CLEC17A,0.04,0.07,0.08,0.11,0.08,0.08,0.03,0.06,0.06,0.06,0.06,0.06
DDX39A,0.04,0.08,0.08,0.1,0.08,0.09,0.03,0.04,0.04,0.05,0.04,0.05
DNAJB1,0.05,0.09,0.09,0.09,0.09,0.1,0.01,0.06,0.06,0.06,0.06,0.07
GIPC1,0.06,0.07,0.07,0.11,0.07,0.12,0.02,0.05,0.05,0.07,0.05,0.07
NDUFB7,0.0752688172043011,0.10752688172043,0.10752688172043,0.148936170212766,0.10752688172043,0.123711340206186,0.0549450549450549,0.0645161290322581,0.0645161290322581,0.0851063829787234,0.0645161290322581,0.0721649484536082
PKN1,0.04,0.07,0.07,0.11,0.07,0.08,0.02,0.07,0.07,0.08,0.07,0.08
PTGER1,0.05,0.15,0.15,0.16,0.15,0.18,0.04,0.09,0.08,0.1,0.09,0.09
TECR,0.07,0.08,0.07,0.11,0.07,0.11,0.03,0.03,0.03,0.03,0.03,0.05
ZNF333,0.06,0.11,0.11,0.13,0.11,0.13,0.05,0.09,0.09,0.1,0.1,0.1
