Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skat_int,burden_int
ADGRE2,0.07,0.07,0.09,0.04,0.05,0.06,0.05,0.05,0.08,0.03,0.03,0.03,0.01,0.01,0.01,0.02,0,0.06
ADGRE3,0.39,0.39,0.41,0.22,0.23,0.22,0.38,0.37,0.4,0.16,0.16,0.16,0.07,0.07,0.05,0.51,0.14,0.57
ADGRE5,0.38,0.39,0.43,0.26,0.25,0.26,0.37,0.38,0.41,0.18,0.19,0.19,0.09,0.09,0.04,0.59,0.23,0.6
CLEC17A,0.13,0.11,0.11,0.05,0.05,0.06,0.11,0.1,0.09,0.04,0.04,0.04,0.01,0.01,0.01,0.03,0.01,0.06
DDX39A,0.05,0.05,0.07,0.06,0.06,0.07,0.04,0.04,0.05,0.03,0.03,0.03,0,0,0,0.04,0.02,0.04
DNAJB1,0.04,0.04,0.04,0.02,0.02,0.02,0.04,0.04,0.04,0.01,0.01,0.01,0.03,0.03,0.03,0.02,0.02,0.01
GIPC1,0.06,0.06,0.07,0.02,0.03,0.03,0.04,0.04,0.05,0.07,0.07,0.07,0,0,0,0.01,0.01,0.05
NDUFB7,0.0760869565217391,0.0760869565217391,0.0978260869565217,0.0666666666666667,0.0555555555555556,0.0666666666666667,0.0760869565217391,0.0760869565217391,0.0869565217391304,0.0212765957446809,0.0212765957446809,0.0212765957446809,0,0,0,0.03,0.02,0.05
PKN1,0.07,0.07,0.05,0.06,0.06,0.06,0.06,0.07,0.05,0.05,0.05,0.05,0,0,0,0.02,0,0.05
PTGER1,0.1,0.1,0.12,0.07,0.08,0.09,0.1,0.1,0.11,0.07,0.05,0.05,0.01,0.01,0.01,0.05,0.01,0.07
TECR,0.25,0.24,0.25,0.11,0.11,0.11,0.19,0.19,0.22,0.16,0.16,0.16,0.02,0.02,0.02,0.25,0.13,0.26
ZNF333,0.11,0.11,0.11,0.03,0.04,0.04,0.11,0.11,0.11,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0,0.03
