Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skato_ext,skato_all,skat_int,skat_ext,skat_all,burden_int,burden_ext,burden_all
ADGRE2,0.06,0.06,0.06,0.06,0.06,0.07,0.06,0.06,0.06,0.04,0.04,0.04,0.01,0.01,0.01,0,0.14,0.09,0,0.12,0.06,0.01,0.15,0.09
ADGRE3,0.08,0.08,0.08,0.06,0.06,0.07,0.08,0.08,0.08,0.03,0.03,0.03,0.01,0.01,0.02,0,0.2,0.15,0,0.18,0.14,0.01,0.19,0.18
ADGRE5,0.05,0.05,0.06,0.03,0.04,0.05,0.06,0.05,0.06,0.06,0.06,0.06,0.01,0.01,0.01,0.01,0.17,0.12,0,0.18,0.1,0.05,0.16,0.12
CLEC17A,0.09,0.09,0.09,0.03,0.04,0.05,0.09,0.08,0.08,0.01,0.01,0.01,0.04,0.04,0.04,0.04,0.13,0.09,0.01,0.13,0.1,0.05,0.14,0.09
DDX39A,0.11,0.09,0.11,0.07,0.05,0.06,0.1,0.08,0.11,0.06,0.06,0.06,0,0,0.01,0.04,0.17,0.14,0,0.18,0.09,0.04,0.16,0.13
DNAJB1,0.09,0.1,0.1,0.06,0.05,0.06,0.07,0.08,0.08,0.04,0.04,0.04,0,0,0,0.05,0.09,0.08,0.01,0.1,0.06,0.07,0.1,0.06
GIPC1,0.09,0.09,0.1,0.03,0.03,0.05,0.09,0.09,0.11,0.01,0.01,0.01,0,0,0,0.03,0.15,0.1,0.02,0.23,0.18,0.03,0.09,0.11
NDUFB7,0.127659574468085,0.127659574468085,0.138297872340426,0.0537634408602151,0.0537634408602151,0.043010752688172,0.074468085106383,0.074468085106383,0.106382978723404,0.0105263157894737,0.0105263157894737,0.0105263157894737,0,0,0,0.02,0.09,0.07,0,0.1,0.06,0.02,0.07,0.05
PKN1,0.08,0.08,0.09,0.08,0.07,0.07,0.08,0.08,0.09,0.02,0.02,0.02,0,0,0,0.02,0.15,0.13,0.01,0.15,0.1,0.04,0.14,0.11
PTGER1,0.11,0.11,0.11,0.09,0.09,0.1,0.1,0.1,0.1,0.03,0.03,0.03,0.02,0.02,0.02,0,0.16,0.11,0,0.22,0.14,0.01,0.14,0.07
TECR,0.04,0.04,0.06,0.03,0.04,0.04,0.02,0.02,0.04,0.05,0.05,0.05,0,0,0,0.05,0.11,0.08,0.02,0.14,0.1,0.05,0.07,0.08
ZNF333,0.11,0.11,0.11,0.07,0.07,0.07,0.1,0.1,0.11,0.08,0.08,0.08,0,0,0.01,0.03,0.18,0.11,0.03,0.21,0.11,0.03,0.2,0.14
