Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skato_ext,skato_all,skat_int,skat_ext,skat_all,burden_int,burden_ext,burden_all
ADGRE2,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.1,0.1,0.02,0.02,0.02,0.01,0,0,0.02,0.43,0.36,0,0.41,0.32,0.04,0.28,0.23
ADGRE3,0.12,0.12,0.12,0.08,0.07,0.09,0.12,0.1,0.11,0.04,0.04,0.04,0.03,0.03,0.03,0.05,0.29,0.26,0.02,0.29,0.29,0.06,0.22,0.19
ADGRE5,0.06,0.07,0.07,0.06,0.06,0.06,0.05,0.06,0.05,0.05,0.05,0.05,0.01,0.01,0.01,0.03,0.22,0.22,0,0.26,0.25,0.04,0.18,0.18
CLEC17A,0.04,0.04,0.04,0.03,0.03,0.03,0.04,0.04,0.04,0.06,0.06,0.06,0.04,0.04,0.05,0.02,0.16,0.13,0.01,0.23,0.21,0.03,0.14,0.13
DDX39A,0.09,0.09,0.09,0.05,0.05,0.05,0.09,0.09,0.09,0.03,0.03,0.03,0.01,0.01,0.01,0.01,0.15,0.13,0,0.23,0.16,0.02,0.15,0.13
DNAJB1,0.1,0.1,0.1,0.1,0.09,0.09,0.1,0.08,0.09,0.03,0.03,0.03,0.01,0.01,0.01,0.04,0.12,0.09,0.02,0.13,0.11,0.05,0.15,0.14
GIPC1,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.18,0.16,0.01,0.17,0.14,0.04,0.2,0.18
NDUFB7,0.05,0.05,0.04,0.04,0.04,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.05,0.05,0.05,0.01,0.08,0.06,0,0.09,0.07,0.03,0.09,0.09
PKN1,0.06,0.07,0.07,0.07,0.07,0.07,0.06,0.07,0.07,0.03,0.03,0.03,0.02,0.02,0.02,0.01,0.39,0.34,0.02,0.38,0.35,0.03,0.24,0.2
PTGER1,0.07,0.07,0.07,0.06,0.06,0.06,0.05,0.06,0.07,0.08,0.08,0.08,0.02,0.02,0.02,0.04,0.18,0.15,0.02,0.21,0.19,0.04,0.17,0.16
TECR,0.15,0.15,0.14,0.11,0.09,0.1,0.12,0.12,0.12,0.13,0.13,0.13,0.02,0.03,0.03,0.05,0.13,0.13,0.03,0.15,0.15,0.04,0.13,0.12
ZNF333,0.05,0.04,0.05,0.03,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.03,0.31,0.26,0.02,0.32,0.3,0.06,0.2,0.18
