Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skato_ext,skato_all,skat_int,skat_ext,skat_all,burden_int,burden_ext,burden_all
ADGRE2,0.09,0.09,0.1,0.08,0.06,0.09,0.08,0.08,0.1,0.05,0.05,0.05,0.01,0.01,0.03,0.02,0.21,0.15,0.01,0.21,0.14,0.04,0.2,0.17
ADGRE3,0.12,0.13,0.14,0.08,0.09,0.09,0.11,0.12,0.14,0.04,0.04,0.04,0.01,0.01,0.01,0.04,0.23,0.13,0.02,0.19,0.13,0.04,0.24,0.16
ADGRE5,0.1,0.07,0.09,0.07,0.06,0.07,0.1,0.07,0.09,0.06,0.06,0.06,0.02,0.02,0.02,0.03,0.2,0.15,0.01,0.24,0.13,0.05,0.19,0.15
CLEC17A,0.08,0.08,0.09,0.08,0.07,0.07,0.07,0.07,0.08,0.05,0.05,0.05,0.01,0.01,0.01,0.01,0.17,0.09,0,0.16,0.07,0.01,0.14,0.12
DDX39A,0.06,0.06,0.05,0.03,0.01,0.03,0.04,0.04,0.07,0.05,0.05,0.05,0,0,0,0.01,0.16,0.11,0,0.16,0.09,0.03,0.19,0.13
DNAJB1,0.1,0.09,0.11,0.05,0.05,0.06,0.09,0.08,0.1,0.05,0.05,0.05,0.05,0.05,0.05,0.03,0.1,0.07,0.03,0.15,0.1,0.04,0.13,0.1
GIPC1,0.1,0.1,0.1,0.04,0.03,0.03,0.06,0.06,0.07,0.04,0.04,0.04,0.02,0.02,0.02,0.04,0.14,0.12,0.03,0.15,0.1,0.04,0.16,0.1
NDUFB7,0.136363636363636,0.136363636363636,0.155555555555556,0.0795454545454545,0.0795454545454545,0.111111111111111,0.0795454545454545,0.0795454545454545,0.111111111111111,0.010989010989011,0.010989010989011,0.010752688172043,0,0,0,0.02,0.11,0.09,0,0.11,0.09,0.01,0.11,0.09
PKN1,0.11,0.12,0.12,0.07,0.09,0.08,0.11,0.12,0.12,0.02,0.02,0.02,0.03,0.03,0.04,0,0.25,0.19,0.01,0.22,0.15,0.03,0.3,0.21
PTGER1,0.04,0.04,0.04,0.01,0.01,0.01,0.04,0.04,0.04,0.01,0.01,0.01,0,0,0,0.01,0.17,0.08,0.01,0.22,0.15,0.02,0.14,0.1
TECR,0.04,0.04,0.05,0.01,0.01,0.03,0.02,0.02,0.06,0.02,0.02,0.02,0,0,0,0.03,0.14,0.09,0.02,0.17,0.11,0.05,0.1,0.08
ZNF333,0.07,0.07,0.08,0.07,0.06,0.07,0.05,0.05,0.06,0.06,0.07,0.07,0.03,0.03,0.05,0.03,0.19,0.15,0.02,0.19,0.16,0.07,0.23,0.15
