Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skato_ext,skato_all,skat_int,skat_ext,skat_all,burden_int,burden_ext,burden_all
ADGRE2,0.04,0.03,0.04,0.01,0.02,0.02,0.04,0.03,0.05,0.04,0.04,0.04,0.02,0.02,0.02,0.03,0.11,0.07,0,0.13,0.07,0.06,0.16,0.13
ADGRE3,0.04,0.03,0.03,0.03,0.02,0.02,0.03,0.03,0.04,0.03,0.03,0.03,0.02,0.02,0.02,0.01,0.18,0.12,0.01,0.25,0.13,0.04,0.2,0.12
ADGRE5,0.07,0.07,0.06,0.09,0.08,0.09,0.06,0.06,0.06,0.05,0.05,0.05,0.03,0.03,0.03,0.04,0.16,0.12,0.01,0.15,0.11,0.03,0.15,0.1
CLEC17A,0.05,0.05,0.05,0.03,0.04,0.04,0.03,0.03,0.04,0,0,0,0,0,0,0,0.11,0.05,0.03,0.15,0.07,0,0.1,0.08
DDX39A,0.06,0.06,0.05,0.04,0.04,0.04,0.04,0.03,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.03,0.17,0.15,0.05,0.18,0.17,0.03,0.16,0.13
DNAJB1,0.07,0.08,0.08,0.02,0.03,0.05,0.06,0.06,0.07,0.03,0.03,0.03,0.02,0.02,0.02,0.07,0.09,0.05,0.04,0.11,0.08,0.07,0.1,0.07
GIPC1,0.06,0.06,0.07,0.06,0.06,0.07,0.05,0.05,0.06,0.04,0.04,0.04,0.01,0.01,0,0.04,0.14,0.12,0.03,0.15,0.13,0.08,0.1,0.07
NDUFB7,0.0705882352941176,0.0705882352941176,0.0930232558139535,0.0476190476190476,0.0476190476190476,0.0470588235294118,0.0235294117647059,0.0235294117647059,0.0348837209302326,0,0,0,0.01,0.01,0.01,0.04,0.18,0.13,0.01,0.15,0.1,0.05,0.18,0.13
PKN1,0.06,0.07,0.07,0.05,0.05,0.05,0.05,0.06,0.07,0.04,0.04,0.04,0.02,0.02,0.01,0.01,0.23,0.17,0.02,0.3,0.16,0.01,0.19,0.15
PTGER1,0.06,0.05,0.06,0.06,0.04,0.05,0.06,0.05,0.06,0.04,0.04,0.04,0.01,0.01,0.01,0.05,0.16,0.15,0.04,0.18,0.17,0.04,0.16,0.11
TECR,0.13,0.12,0.12,0.07,0.07,0.07,0.09,0.08,0.09,0.04,0.04,0.04,0.01,0.01,0.01,0.05,0.15,0.1,0.02,0.18,0.11,0.05,0.13,0.1
ZNF333,0.07,0.07,0.09,0.05,0.06,0.08,0.09,0.09,0.09,0.05,0.05,0.05,0.01,0.01,0.01,0.04,0.19,0.13,0.02,0.21,0.16,0.04,0.23,0.17
