Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skato_ext,skato_all,skat_int,skat_ext,skat_all,burden_int,burden_ext,burden_all
ADGRE2,0.16,0.13,0.12,0.15,0.06,0.06,0.17,0.13,0.12,0.03,0.02,0.02,0,0.01,0.01,0.01,0.24,0.17,0.02,0.23,0.15,0.07,0.16,0.16
ADGRE3,0.06,0.07,0.07,0.07,0.06,0.06,0.05,0.06,0.06,0.04,0.04,0.04,0.02,0.02,0.02,0.02,0.12,0.09,0.02,0.14,0.11,0.05,0.06,0.06
ADGRE5,0.07,0.05,0.05,0.03,0.01,0.02,0.08,0.05,0.05,0.01,0.03,0.03,0.02,0,0,0.03,0.21,0.1,0.01,0.24,0.16,0.03,0.08,0.08
CLEC17A,0.11,0.06,0.06,0.07,0.02,0.03,0.07,0.04,0.03,0.04,0.04,0.04,0,0.01,0.01,0.02,0.11,0.08,0.01,0.12,0.09,0.05,0.13,0.09
DDX39A,0.12,0.04,0.04,0.07,0.02,0.02,0.12,0.03,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.12,0.09,0.04,0.21,0.11,0.02,0.06,0.06
DNAJB1,0.06,0.07,0.07,0.05,0.03,0.04,0.05,0.05,0.05,0.02,0.02,0.02,0.03,0.04,0.04,0.07,0.12,0.04,0,0.14,0.07,0.07,0.06,0.06
GIPC1,0.1,0.1,0.09,0.07,0.04,0.05,0.08,0.08,0.08,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.07,0.05,0.02,0.11,0.07,0.05,0.04,0.05
NDUFB7,0.112359550561798,0.0879120879120879,0.0879120879120879,0.103448275862069,0.0344827586206897,0.0344827586206897,0.0674157303370786,0.043956043956044,0.043956043956044,0.0224719101123595,0.021978021978022,0.021978021978022,0,0.01,0.01,0.04,0.11,0.06,0.01,0.12,0.09,0.04,0.08,0.06
PKN1,0.11,0.06,0.05,0.07,0.03,0.04,0.1,0.03,0.04,0.06,0.07,0.07,0.01,0.01,0.01,0.03,0.11,0.06,0,0.13,0.04,0.04,0.11,0.1
PTGER1,0.12,0.09,0.09,0.09,0.02,0.02,0.07,0.06,0.07,0.06,0.06,0.06,0.01,0.02,0.02,0.04,0.09,0.05,0.01,0.13,0.08,0.05,0.02,0.02
TECR,0.07,0.07,0.07,0.03,0.03,0.03,0.05,0.04,0.04,0.01,0.02,0.02,0.01,0.02,0.02,0.05,0.08,0.03,0.03,0.1,0.05,0.06,0.08,0.05
ZNF333,0.17,0.1,0.1,0.16,0.05,0.05,0.15,0.09,0.1,0.03,0.03,0.03,0.04,0.06,0.05,0.03,0.23,0.14,0,0.2,0.1,0.06,0.14,0.11
