Gene,prox_int,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_int,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_int,prox2_ext,prox2_all,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skato_ext,skato_all,skat_int,skat_ext,skat_all,burden_int,burden_ext,burden_all
ADGRE2,0.01,0.01,0,0,0.01,0.02,0,0,0.01,0,0.01,0,0,0.01,0.01,0,0.01,0.01,0.02,0.11,0.06,0,0.15,0.08,0.03,0.06,0.06
ADGRE3,0.07,0.09,0.08,0.08,0.05,0.13,0.05,0.06,0.07,0.08,0.07,0.08,0.08,0.07,0.07,0,0.01,0.01,0.04,0.15,0.12,0.01,0.23,0.08,0.07,0.13,0.09
ADGRE5,0.04,0.14,0.05,0.05,0.02,0.08,0.05,0.05,0.03,0.14,0.03,0.05,0.05,0.03,0.03,0.02,0.01,0.01,0.02,0.11,0.1,0,0.15,0.05,0.04,0.12,0.11
CLEC17A,0.0208333333333333,0.1,0.06,0.06,0.0105263157894737,0.08,0.01,0.01,0.0104166666666667,0.07,0.01,0.03,0.03,0.02,0.02,0.02,0.01,0.02,0.01,0.16,0.06,0.02,0.14,0.09,0.04,0.1,0.1
DDX39A,0.0515463917525773,0.07,0.07,0.07,0.0416666666666667,0.04,0.04,0.04,0.0206185567010309,0.04,0.02,0.04,0.04,0.03,0.03,0.02,0.02,0.02,0.04,0.12,0.05,0.01,0.16,0.1,0.07,0.03,0.07
DNAJB1,0.0412371134020619,0.08,0.07,0.08,0.03125,0.04,0.05,0.05,0.0412371134020619,0.06,0.03,0.04,0.04,0.04,0.04,0.02,0.01,0.01,0.05,0.16,0.09,0.03,0.12,0.06,0.06,0.11,0.09
GIPC1,0.010752688172043,0.1,0.06,0.06,0.0222222222222222,0.08,0.06,0.06,0.010752688172043,0.09,0.01,0.04,0.04,0.02,0.02,0.01,0,0,0.04,0.15,0.07,0.02,0.19,0.11,0.01,0.08,0.08
NDUFB7,0.0526315789473684,0.142857142857143,0.0537634408602151,0.0537634408602151,0,0.0879120879120879,0.0333333333333333,0.0333333333333333,0,0.0769230769230769,0,0.021505376344086,0.021505376344086,0,0,0,0,0,0.01,0.17,0.11,0,0.15,0.12,0.02,0.09,0.09
PKN1,0.02,0.09,0.06,0.06,0.02,0.07,0.04,0.04,0.02,0.09,0.02,0.05,0.05,0.03,0.03,0.01,0,0,0.02,0.2,0.09,0.01,0.19,0.09,0.03,0.1,0.11
PTGER1,0.0105263157894737,0.11,0.09,0.09,0,0.05,0.04,0.05,0.0105263157894737,0.08,0.01,0.05,0.05,0.01,0.01,0.01,0.01,0.01,0.03,0.12,0.03,0.01,0.17,0.06,0.03,0.07,0.06
TECR,0.0659340659340659,0.08,0.0808080808080808,0.0707070707070707,0.0227272727272727,0.06,0.0303030303030303,0.0303030303030303,0.043956043956044,0.06,0.04,0.0404040404040404,0.0404040404040404,0.0505050505050505,0.0505050505050505,0.02,0.02,0.02,0.04,0.12,0.12,0,0.11,0.09,0.06,0.12,0.11
ZNF333,0.04,0.13,0.06,0.05,0.04,0.09,0.05,0.05,0.04,0.1,0.05,0.06,0.06,0.05,0.05,0.01,0.01,0.01,0.01,0.12,0.07,0,0.16,0.1,0.05,0.08,0.06
