rep,gene,case_fun,case_syn,control_fun,control_syn
1,ADGRE2,19,16,165,68
1,ADGRE3,42,9,106,53
1,ADGRE5,23,17,150,129
1,CLEC17A,11,6,112,46
1,DDX39A,3,1,57,38
1,DNAJB1,5,10,48,41
1,GIPC1,11,2,79,33
1,NDUFB7,3,5,22,33
1,PKN1,18,12,166,113
1,PTGER1,11,0,68,21
1,TECR,15,7,71,33
1,ZNF333,24,13,150,57
2,ADGRE2,16,19,138,93
2,ADGRE3,36,7,132,69
2,ADGRE5,40,15,149,89
2,CLEC17A,13,5,65,34
2,DDX39A,16,5,96,62
2,DNAJB1,13,10,69,57
2,GIPC1,10,8,71,26
2,NDUFB7,4,7,20,44
2,PKN1,17,15,162,76
2,PTGER1,5,4,46,9
2,TECR,16,10,31,58
2,ZNF333,27,10,131,56
3,ADGRE2,23,18,112,136
3,ADGRE3,32,11,116,55
3,ADGRE5,44,15,198,111
3,CLEC17A,9,9,97,56
3,DDX39A,20,7,130,42
3,DNAJB1,10,11,32,78
3,GIPC1,11,2,64,28
3,NDUFB7,9,1,35,10
3,PKN1,33,35,183,176
3,PTGER1,13,11,72,39
3,TECR,12,6,26,28
3,ZNF333,29,3,158,67
4,ADGRE2,13,16,127,112
4,ADGRE3,21,14,94,84
4,ADGRE5,37,14,164,127
4,CLEC17A,15,5,73,47
4,DDX39A,12,8,93,76
4,DNAJB1,6,7,36,37
4,GIPC1,2,5,51,27
4,NDUFB7,5,1,17,7
4,PKN1,30,10,221,92
4,PTGER1,14,7,65,73
4,TECR,12,2,47,44
4,ZNF333,17,12,175,60
5,ADGRE2,40,15,241,105
5,ADGRE3,23,14,119,83
5,ADGRE5,33,15,133,102
5,CLEC17A,10,4,54,12
5,DDX39A,13,13,90,64
5,DNAJB1,12,7,81,45
5,GIPC1,18,15,92,38
5,NDUFB7,7,2,44,21
5,PKN1,16,21,116,115
5,PTGER1,11,11,78,64
5,TECR,14,8,52,26
5,ZNF333,24,7,152,65
6,ADGRE2,19,16,136,109
6,ADGRE3,18,14,86,66
6,ADGRE5,41,11,149,81
6,CLEC17A,19,8,92,44
6,DDX39A,15,3,89,16
6,DNAJB1,17,7,95,37
6,GIPC1,4,6,67,42
6,NDUFB7,5,3,34,9
6,PKN1,32,13,231,100
6,PTGER1,10,1,65,42
6,TECR,11,2,91,22
6,ZNF333,29,9,166,76
7,ADGRE2,45,16,241,78
7,ADGRE3,23,3,113,33
7,ADGRE5,39,30,204,165
7,CLEC17A,15,4,102,33
7,DDX39A,16,7,55,55
7,DNAJB1,4,9,50,36
7,GIPC1,6,11,49,64
