rep,gene,case_fun,case_syn,control_fun,control_syn
1,ADGRE2,24,20,169,76
1,ADGRE3,42,13,116,50
1,ADGRE5,27,22,154,132
1,CLEC17A,14,6,114,45
1,DDX39A,8,3,67,42
1,DNAJB1,5,10,40,47
1,GIPC1,11,2,69,29
1,NDUFB7,3,5,19,28
1,PKN1,18,12,135,96
1,PTGER1,11,0,57,17
1,TECR,15,7,61,26
1,ZNF333,24,13,127,43
2,ADGRE2,18,19,127,81
2,ADGRE3,36,11,117,74
2,ADGRE5,41,15,144,78
2,CLEC17A,13,5,53,29
2,DDX39A,16,5,82,54
2,DNAJB1,13,10,57,55
2,GIPC1,10,8,60,20
2,NDUFB7,4,7,18,37
2,PKN1,17,18,139,92
2,PTGER1,5,4,36,8
2,TECR,16,10,27,49
2,ZNF333,30,10,129,48
3,ADGRE2,23,18,95,115
3,ADGRE3,32,11,104,40
3,ADGRE5,47,15,184,89
3,CLEC17A,9,9,84,45
3,DDX39A,20,7,107,31
3,DNAJB1,10,11,28,60
3,GIPC1,11,2,58,22
3,NDUFB7,9,1,31,9
3,PKN1,34,35,162,146
3,PTGER1,13,11,63,31
3,TECR,12,6,22,21
3,ZNF333,30,3,147,53
4,ADGRE2,13,16,103,91
4,ADGRE3,21,14,80,66
4,ADGRE5,37,14,144,101
4,CLEC17A,15,5,64,45
4,DDX39A,12,8,79,64
4,DNAJB1,11,7,47,29
4,GIPC1,2,8,46,37
4,NDUFB7,5,1,15,6
4,PKN1,34,14,200,88
4,PTGER1,14,9,54,74
4,TECR,12,2,37,35
4,ZNF333,19,12,166,51
5,ADGRE2,40,20,203,122
5,ADGRE3,25,14,112,66
5,ADGRE5,34,15,130,87
5,CLEC17A,12,4,52,11
5,DDX39A,13,13,72,56
5,DNAJB1,12,7,68,35
5,GIPC1,18,17,76,47
5,NDUFB7,11,2,56,18
5,PKN1,17,24,96,111
5,PTGER1,11,11,63,58
5,TECR,14,8,44,21
5,ZNF333,24,7,127,59
6,ADGRE2,19,16,121,102
6,ADGRE3,18,21,91,90
6,ADGRE5,45,11,160,68
6,CLEC17A,21,8,88,39
6,DDX39A,19,3,89,13
6,DNAJB1,20,7,92,32
6,GIPC1,4,7,60,47
6,NDUFB7,5,3,31,5
6,PKN1,34,24,215,113
6,PTGER1,10,1,48,33
6,TECR,11,2,82,18
6,ZNF333,29,9,144,60
7,ADGRE2,48,19,224,88
7,ADGRE3,32,3,147,29
7,ADGRE5,45,41,208,192
7,CLEC17A,15,4,84,29
7,DDX39A,16,7,47,45
7,DNAJB1,4,9,45,30
7,GIPC1,6,11,39,55
7,NDUFB7,2,1,17,5
7,PKN1,40,27,204,166
7,PTGER1,13,5,59,47
7,TECR,8,13,37,40
7,ZNF333,21,7,158,44
8,ADGRE2,22,14,129,84
8,ADGRE3,39,9,121,65
8,ADGRE5,34,13,100,68
8,CLEC17A,12,5,74,43
8,DDX39A,15,5,93,25
8,DNAJB1,9,5,44,40
8,GIPC1,10,16,66,46
8,NDUFB7,2,3,24,18
8,PKN1,29,16,178,119
8,PTGER1,18,13,88,33
8,TECR,13,3,31,38
8,ZNF333,14,13,102,93
9,ADGRE2,28,20,218,121
9,ADGRE3,35,14,86,77
9,ADGRE5,35,8,149,96
9,CLEC17A,9,2,63,23
9,DDX39A,9,9,73,48
9,DNAJB1,11,5,61,20
9,GIPC1,10,6,60,28
9,NDUFB7,3,1,11,9
9,PKN1,24,22,154,149
9,PTGER1,6,12,31,53
9,TECR,12,2,63,15
9,ZNF333,21,11,127,39
10,ADGRE2,29,18,154,92
10,ADGRE3,33,11,101,56
10,ADGRE5,50,14,139,104
10,CLEC17A,13,5,63,28
10,DDX39A,19,14,107,75
10,DNAJB1,10,7,42,46
10,GIPC1,23,10,91,67
10,NDUFB7,6,1,46,2
10,PKN1,30,15,157,113
10,PTGER1,11,7,80,31
10,TECR,11,7,55,21
10,ZNF333,32,8,147,79
11,ADGRE2,25,12,141,84
11,ADGRE3,26,18,73,103
11,ADGRE5,63,19,191,95
11,CLEC17A,6,7,67,45
11,DDX39A,15,8,73,32
11,DNAJB1,6,3,64,16
11,GIPC1,10,3,62,22
11,NDUFB7,5,4,21,21
11,PKN1,23,18,155,96
11,PTGER1,11,8,71,22
11,TECR,4,18,33,72
11,ZNF333,29,15,153,80
12,ADGRE2,28,19,158,133
12,ADGRE3,43,17,158,89
12,ADGRE5,41,15,117,101
12,CLEC17A,12,6,88,30
12,DDX39A,7,6,44,14
12,DNAJB1,14,8,80,59
12,GIPC1,10,12,61,49
12,NDUFB7,3,1,27,15
12,PKN1,39,18,172,119
12,PTGER1,12,9,53,65
12,TECR,15,1,58,22
12,ZNF333,18,10,142,50
13,ADGRE2,21,9,114,68
13,ADGRE3,39,14,164,96
13,ADGRE5,32,17,163,66
13,CLEC17A,9,5,63,36
13,DDX39A,21,7,96,47
13,DNAJB1,11,4,48,11
13,GIPC1,5,8,74,55
13,NDUFB7,5,2,17,17
13,PKN1,28,26,121,115
13,PTGER1,14,5,55,19
13,TECR,20,17,45,62
13,ZNF333,24,14,119,47
14,ADGRE2,18,8,81,72
14,ADGRE3,30,15,107,74
14,ADGRE5,58,13,136,67
14,CLEC17A,7,12,44,49
14,DDX39A,11,8,50,43
14,DNAJB1,9,10,58,43
14,GIPC1,15,5,33,20
14,NDUFB7,1,2,4,4
14,PKN1,21,26,128,108
14,PTGER1,11,19,46,94
14,TECR,24,6,77,21
14,ZNF333,24,8,148,26
15,ADGRE2,18,14,125,98
15,ADGRE3,33,5,97,54
15,ADGRE5,34,14,122,81
15,CLEC17A,8,13,66,60
15,DDX39A,12,6,67,34
15,DNAJB1,8,3,97,19
15,GIPC1,18,7,68,51
15,NDUFB7,5,2,13,6
15,PKN1,25,27,167,140
15,PTGER1,14,11,102,53
15,TECR,17,1,21,13
15,ZNF333,33,12,133,62
16,ADGRE2,35,22,181,122
16,ADGRE3,37,12,149,70
