rep,gene,case_fun,case_syn,control_fun,control_syn
1,ADGRE2,24,20,164,87
1,ADGRE3,42,16,112,69
1,ADGRE5,27,20,137,120
1,CLEC17A,14,6,90,46
1,DDX39A,8,3,68,35
1,DNAJB1,5,10,42,39
1,GIPC1,11,2,59,26
1,NDUFB7,3,5,22,20
1,PKN1,18,12,146,95
1,PTGER1,15,0,67,21
1,TECR,15,7,84,27
1,ZNF333,26,15,151,71
2,ADGRE2,18,19,121,76
2,ADGRE3,39,11,138,73
2,ADGRE5,41,15,163,70
2,CLEC17A,13,5,52,34
2,DDX39A,16,5,83,57
2,DNAJB1,13,11,69,52
2,GIPC1,10,8,45,22
2,NDUFB7,4,3,12,24
2,PKN1,17,21,145,123
2,PTGER1,5,4,48,10
2,TECR,16,9,29,33
2,ZNF333,30,13,148,74
3,ADGRE2,28,18,136,112
3,ADGRE3,32,11,130,55
3,ADGRE5,47,17,184,88
3,CLEC17A,9,9,79,65
3,DDX39A,20,7,84,20
3,DNAJB1,12,15,52,65
3,GIPC1,11,2,80,27
3,NDUFB7,9,1,20,6
3,PKN1,34,37,120,147
3,PTGER1,13,7,71,14
3,TECR,12,6,26,16
3,ZNF333,30,3,151,45
4,ADGRE2,15,19,111,105
4,ADGRE3,21,12,117,57
4,ADGRE5,40,15,146,118
4,CLEC17A,15,5,44,39
4,DDX39A,15,8,54,62
4,DNAJB1,11,7,49,28
4,GIPC1,2,8,62,31
4,NDUFB7,5,1,19,4
4,PKN1,37,14,187,96
4,PTGER1,14,9,66,51
4,TECR,12,2,44,36
4,ZNF333,19,9,167,27
5,ADGRE2,43,24,194,115
5,ADGRE3,25,14,99,46
5,ADGRE5,36,15,142,105
5,CLEC17A,12,4,54,7
5,DDX39A,16,10,76,29
5,DNAJB1,8,7,51,44
5,GIPC1,18,17,62,53
5,NDUFB7,11,2,61,12
5,PKN1,18,24,103,102
5,PTGER1,11,14,58,72
5,TECR,14,8,34,25
5,ZNF333,24,7,120,39
6,ADGRE2,19,18,98,110
6,ADGRE3,18,21,105,62
6,ADGRE5,45,11,148,83
6,CLEC17A,21,8,70,36
6,DDX39A,19,3,72,16
6,DNAJB1,21,7,100,60
6,GIPC1,4,8,75,34
6,NDUFB7,5,3,30,1
6,PKN1,34,28,177,89
6,PTGER1,12,1,68,53
6,TECR,12,2,88,26
6,ZNF333,29,9,131,53
7,ADGRE2,48,19,185,90
7,ADGRE3,34,3,148,24
7,ADGRE5,45,41,172,159
7,CLEC17A,15,7,53,42
7,DDX39A,16,7,47,31
7,DNAJB1,4,9,42,31
7,GIPC1,6,11,24,42
7,NDUFB7,2,1,21,14
7,PKN1,40,29,168,127
7,PTGER1,13,5,71,51
7,TECR,8,13,37,23
7,ZNF333,21,7,135,40
8,ADGRE2,22,14,148,91
8,ADGRE3,35,9,101,67
8,ADGRE5,34,13,132,65
8,CLEC17A,11,5,56,51
8,DDX39A,15,5,66,38
8,DNAJB1,9,5,54,48
8,GIPC1,13,16,69,44
8,NDUFB7,2,3,35,16
8,PKN1,29,17,208,125
8,PTGER1,18,13,83,35
8,TECR,13,3,31,29
8,ZNF333,16,15,134,78
9,ADGRE2,31,20,213,126
9,ADGRE3,35,14,100,81
9,ADGRE5,35,8,155,93
9,CLEC17A,9,2,84,17
9,DDX39A,9,9,68,58
9,DNAJB1,11,5,51,22
9,GIPC1,10,6,44,17
9,NDUFB7,3,1,14,5
9,PKN1,24,22,159,106
9,PTGER1,6,12,23,37
9,TECR,12,2,85,13
9,ZNF333,28,11,139,34
10,ADGRE2,29,18,147,98
10,ADGRE3,33,11,80,65
10,ADGRE5,50,14,145,101
10,CLEC17A,13,5,49,28
10,DDX39A,19,19,68,80
10,DNAJB1,10,7,26,50
10,GIPC1,23,10,105,53
10,NDUFB7,6,1,41,2
10,PKN1,30,16,140,115
10,PTGER1,11,7,70,18
10,TECR,15,7,69,19
10,ZNF333,32,5,141,57
11,ADGRE2,29,12,168,112
11,ADGRE3,28,20,84,103
11,ADGRE5,63,19,158,103
11,CLEC17A,6,10,70,53
11,DDX39A,18,8,110,61
11,DNAJB1,8,3,101,28
11,GIPC1,14,3,63,23
11,NDUFB7,5,4,36,3
11,PKN1,27,18,128,102
11,PTGER1,15,12,75,48
11,TECR,4,18,56,45
11,ZNF333,29,15,152,63
12,ADGRE2,30,19,145,138
12,ADGRE3,43,17,130,68
12,ADGRE5,45,19,123,112
12,CLEC17A,12,6,57,34
12,DDX39A,7,6,48,19
