Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skat_int,burden_int
ADGRE2,0.01,0,0,0.02,0.02,0.01,0,0,0,0.01,0.01,0.01,0,0.01,0.01,0.02,0,0.03
ADGRE3,0.39,0.32,0.32,0.28,0.15,0.15,0.34,0.29,0.31,0.21,0.19,0.19,0.09,0.11,0.11,0.46,0.19,0.41
ADGRE5,0.43,0.31,0.3,0.17,0.17,0.17,0.39,0.3,0.27,0.22,0.22,0.22,0.1,0.11,0.11,0.37,0.16,0.45
CLEC17A,0.1,0.06,0.06,0.06,0.01,0.01,0.07,0.03,0.03,0.01,0.02,0.02,0.02,0.01,0.02,0.01,0.02,0.04
DDX39A,0.07,0.07,0.07,0.05,0.05,0.05,0.04,0.04,0.04,0.02,0.03,0.03,0.02,0.02,0.02,0.04,0.01,0.07
DNAJB1,0.08,0.07,0.08,0.07,0.06,0.06,0.06,0.04,0.04,0.03,0.04,0.04,0.02,0.01,0.01,0.05,0.03,0.06
GIPC1,0.1,0.06,0.06,0.11,0.06,0.07,0.09,0.04,0.04,0.01,0.02,0.02,0.01,0,0,0.04,0.02,0.01
NDUFB7,0.142857142857143,0.0537634408602151,0.0537634408602151,0.0659340659340659,0.0222222222222222,0.0222222222222222,0.0769230769230769,0.021505376344086,0.021505376344086,0,0,0,0,0,0,0.01,0,0.02
PKN1,0.09,0.06,0.06,0.1,0.03,0.03,0.09,0.05,0.05,0.02,0.03,0.03,0.01,0,0,0.02,0.01,0.03
PTGER1,0.11,0.09,0.09,0.05,0.04,0.04,0.08,0.05,0.05,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.01,0.03
TECR,0.2,0.161616161616162,0.161616161616162,0.13,0.111111111111111,0.111111111111111,0.15,0.111111111111111,0.111111111111111,0.08,0.0808080808080808,0.0808080808080808,0.04,0.05,0.05,0.25,0.1,0.24
ZNF333,0.13,0.06,0.05,0.09,0.06,0.06,0.1,0.06,0.06,0.05,0.05,0.05,0.01,0.01,0.01,0.01,0,0.05
