ADGRE2 ADGRE3 ADGRE5 CLEC17A DDX39A DNAJB1 GIPC1 NDUFB7 PKN1 PTGER1 TECR ZNF333
1 0.0696292232548494 0.0832462099944072 0.473930836940053 1 0.718184583759657 0.747184879609907 1 1 0.131275172216392 1 0.783041962672467
0.882435397762462 0.102336861182308 0.0971065221033313 0.649324128301398 1 1 0.861691778877662 1 0.9185560599043 1 0.0764593545417094 0.750496807769946
1 0.764369525847532 0.850583917907609 0.339786628399091 0.773348985295964 1 1 0.790941234871245 0.684682267566021 0.814624270332292 0.076623280233726 0.691323197348251
0.423409166879805 1 0.656821761800185 0.0875344281861508 0.542583767166838 0.341258855327727 1 1 0.694615001441783 0.0883869948533516 0.656821761800185 0.306602748899533
1 0.309750680033652 0.0644984915072999 0.996423794204158 1 0.942813656556995 0.401283060344708 1 1 0.78151697546683 1 0.577476985288509
0.656821761800185 1 0.249750089092404 0.690871436619068 0.589161463205861 0.782905726652887 1 1 0.798345541242117 0.21484137860391 0.920532504143556 0.0928686274629654
0.740933032844503 0.343773641348144 0.290551446377659 0.412959517576443 0.0341910913830967 1 0.549119355276761 1 0.755940251152222 0.540975705794008 1 0.447190698071794
0.811695769614789 0.774235115995623 1 0.99262874540746 0.558761297439454 1 0.656821761800185 1 0.509243732946151 0.373261566684478 1 0.655501950037645
0.773931419360209 0.341155575861755 0.855659920154477 1 0.712212155750939 0.589120001886665 0.512189650203078 0.656821761800185 0.729943146903632 1 1 0.263310623667717
1 0.240064294632556 0.0181445194074197 0.684388010182125 0.125623702191212 0.626491680323959 0.19817436796956 0.261231487800989 0.8372649059933 0.902355057290879 1 0.859580136097149
1 1 0.455244217190807 0.341258855327727 0.781609703257975 0.706299753289012 1 1 1 0.846203420633066 1 0.840624536431225
0.800975372477915 1 0.417226382159798 1 0.282400374410044 0.385117144415306 1 1 0.36571686213375 0.603958552802554 1 1
0.755818635485629 0.6521020667856 0.822458603258989 1 1 1 1 1 0.796302717623866 1 0.218046945220514 0.793208691620256
0.476619950000127 0.708340527369131 0.142471706547889 0.21484137860391 0.397256364379288 0.383396213575508 0.232303058085416 1 1 1 1 0.881579182443141
1 0.832646089510273 0.516862938827048 0.846613955490938 0.20154461556666 0.569925394945818 1 1 0.857073062154683 0.920389052227939 0.108953090793267 1
0.414644533984752 0.54225946227951 1 0.784911355388343 0.731112438176925 0.567482529459817 0.699209235225904 0.309936749573592 0.404172001296772 0.656821761800185 1 0.587333116276237
0.302926798064422 0.00145677692409374 0.100757487239366 0.183647524542446 0.32828043575462 0.596229408811909 0.612676174755111 1 1 0.694192523436192 1 0.341258855327727
0.595272832073927 0.789681962838072 1 0.310779410464527 0.753823111055737 1 0.423312201932524 1 0.200844877879237 1 0.214253549369249 0.390325346285942
0.48356740742699 0.481640360194171 0.574223592866417 1 0.655338143239311 0.573364515370775 0.602617268169153 0.181375450542549 0.0733476968941846 1 0.706299753289012 0.385982288925743
0.185086791986493 0.271548272349611 1 0.804681140502668 1 0.756137666992716 0.458917396227432 1 0.334168380832234 0.656821761800185 1 1
0.380290932815458 0.299211225514456 0.134532607328826 0.831928968162726 1 0.823966020261606 0.72423688879218 1 0.523809760711412 0.606488638754147 0.264933994078003 0.786298755898278
0.706997854176942 0.134233962761258 0.678384597311969 1 0.36085309515337 1 1 1 0.274481377940613 0.341258855327727 1 0.695531668152651
0.533852306280873 0.27553857363043 0.922921864297448 1 0.332693233682539 0.707507360010813 1 1 0.43205608098375 1 0.0765716736338793 0.627221462539153
1 0.183319578877538 0.0929384130204155 0.611579695373771 0.284733565334327 1 0.542813587505764 0.530053764249055 1 1 0.776094423793479 0.700264569697849
1 0.0919876976714619 0.274423757408816 1 1 0.21484137860391 0.695961902878279 0.747031882588047 0.615095950108297 0.186330148861706 0.656821761800185 0.700477829063736
0.529747418477394 0.0192318799835354 0.400363554779222 0.706299753289012 1 0.286129224434798 1 1 0.385281307427047 0.155577817717931 1 0.778277553706056
0.44861468612144 1 0.0466139076191026 1 0.83383268956752 0.770800364408058 0.813663266955657 0.923322814454327 0.0510314289018596 0.422298767459962 0.172223426279903 0.484117846269317
0.721216412954757 0.848986446147354 1 0.400295444932208 0.656335236253575 0.224664535191996 1 0.341258855327727 1 0.803052030055501 0.154092116063319 0.271864047678194
0.452094914406295 0.892177608829988 0.0610710022416238 0.0483768598796399 0.626756579672613 0.806447717657998 1 0.304987510555744 0.667914586411499 1 1 0.258610741891765
1 0.646629407007615 1 1 0.3913829750151 0.349143306088447 1 1 1 0.367884312378909 0.590777814452344 0.725083148513699
0.511722411211719 0.311335019736314 0.0236386340094575 0.44381291668213 1 0.785623716705354 0.830119226046582 0.0837797435765776 0.55740358285266 0.672964131312331 0.667799773515701 0.674274188236899
0.784901224849159 0.897139548256307 0.17447055392938 1 1 0.772702681847912 0.321412487882411 1 0.385117144415306 0.38433377473685 0.440747348081922 0.0828228147801485
0.277082582719878 0.703191445951506 0.244265029149349 0.215435570173321 0.0929283032190426 1 0.799209702707096 1 0.802182949758028 0.703482977037645 1 0.874208091722294
