Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skat_int,burden_int
ADGRE2,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0,0.02,0.03,0.03,0.03,0,0,0.02,0,0.01,0.03
ADGRE3,0.26,0.232323232323232,0.34,0.12,0.101010101010101,0.22,0.24,0.222222222222222,0.32,0.1,0.112244897959184,0.11,0,0.01,0.02,0.2,0.01,0.27
ADGRE5,0.16,0.13,0.23,0.1,0.07,0.1,0.17,0.13,0.23,0.1,0.1,0.1,0,0,0.01,0.24,0,0.38
CLEC17A,0.119047619047619,0.0609756097560976,0.0816326530612245,0.0735294117647059,0.0476190476190476,0.0618556701030928,0.0357142857142857,0.0121951219512195,0.0612244897959184,0.0106382978723404,0,0,0,0,0,0.01,0,0.01
DDX39A,0.0444444444444444,0.0581395348837209,0.09,0.0804597701149425,0.0379746835443038,0.05,0.0111111111111111,0.0116279069767442,0.04,0.0421052631578947,0.0416666666666667,0.04,0,0,0,0.04,0.03,0.06
DNAJB1,0.0689655172413793,0.0125,0.0531914893617021,0.0416666666666667,0.0163934426229508,0.0333333333333333,0.0344827586206897,0,0.0319148936170213,0.0116279069767442,0.0117647058823529,0.0105263157894737,0,0,0,0.03,0.02,0.03
GIPC1,0.119565217391304,0.0853658536585366,0.0606060606060606,0.0428571428571429,0.0350877192982456,0.0531914893617021,0.0543478260869565,0,0.0505050505050505,0,0,0,0,0,0,0.02,0,0.04
NDUFB7,0.111111111111111,0,0.0196078431372549,0,0,0.0645161290322581,0,0,0,0.0303030303030303,0.0357142857142857,0.0185185185185185,0,0,0,0.01,0.01,0.03
PKN1,0.07,0.04,0.04,0.02,0.03,0.06,0.04,0.04,0.04,0.04,0.05,0.05,0,0,0,0.03,0,0.04
PTGER1,0.0978260869565217,0.0574712643678161,0.102040816326531,0.05,0,0.0408163265306122,0.0652173913043478,0.0340909090909091,0.0816326530612245,0.0105263157894737,0.0105263157894737,0.0102040816326531,0,0,0,0.02,0.01,0.03
TECR,0.0821917808219178,0.0895522388059701,0.144444444444444,0.0294117647058824,0.0508474576271186,0.0786516853932584,0.0136986301369863,0.0307692307692308,0.1,0.038961038961039,0.0422535211267606,0.0326086956521739,0,0,0,0.1,0.01,0.12
ZNF333,0.0707070707070707,0.0206185567010309,0.05,0.0404040404040404,0,0.02,0.0606060606060606,0.0206185567010309,0.03,0.02,0.0202020202020202,0.02,0,0,0,0.02,0.01,0.02
