Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skat_int,burden_int
ADGRE2,0.12,0.05,0.08,0.12,0.06,0.09,0.12,0.05,0.06,0.01,0.01,0.01,0.02,0.04,0.08,0.02,0,0.05
ADGRE3,0.41,0.42,0.48,0.24,0.28,0.3,0.4,0.42,0.48,0.1,0.11,0.11,0.03,0.02,0.04,0.3,0,0.39
ADGRE5,0.59,0.49,0.51,0.33,0.26,0.29,0.59,0.49,0.51,0.18,0.18,0.18,0.07,0.12,0.14,0.39,0,0.52
CLEC17A,0.12,0.07,0.06,0.09,0.08,0.07,0.11,0.06,0.05,0.01,0.01,0.01,0.05,0.06,0.08,0.01,0.01,0.03
DDX39A,0.12,0.06,0.05,0.14,0.05,0.05,0.11,0.03,0.05,0.03,0.03,0.03,0.04,0.05,0.05,0.02,0.02,0.03
DNAJB1,0.1,0.03,0.03,0.1,0.04,0.04,0.09,0.03,0.03,0.03,0.02,0.02,0.02,0.03,0.03,0.05,0.03,0.06
GIPC1,0.1,0.05,0.06,0.08,0.03,0.02,0.08,0.03,0.04,0,0,0,0.03,0.03,0.04,0,0,0.01
NDUFB7,0.172413793103448,0.103448275862069,0.112359550561798,0.126436781609195,0.0689655172413793,0.0674157303370786,0.0804597701149425,0.0574712643678161,0.0561797752808989,0.0114942528735632,0.0112359550561798,0.010989010989011,0.01,0.03,0.03,0.02,0.02,0.03
PKN1,0.16,0.08,0.08,0.16,0.1,0.09,0.16,0.08,0.08,0.06,0.07,0.07,0.06,0.07,0.07,0.02,0,0.06
PTGER1,0.14,0.04,0.05,0.11,0.03,0.03,0.13,0.04,0.05,0.02,0.02,0.02,0,0.02,0.03,0.02,0.02,0.04
TECR,0.36,0.242424242424242,0.303030303030303,0.21,0.111111111111111,0.151515151515152,0.33,0.222222222222222,0.272727272727273,0.07,0.0707070707070707,0.0707070707070707,0.02,0.03,0.04,0.08,0.01,0.15
ZNF333,0.14,0.06,0.08,0.07,0.05,0.06,0.14,0.06,0.08,0,0,0,0.05,0.05,0.06,0.02,0,0.03
