Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skat_int,burden_int
ADGRE2,0.1,0.15,0.14,0.08,0.11,0.11,0.09,0.14,0.13,0.01,0.01,0.01,0.02,0.01,0,0.05,0.03,0.03
ADGRE3,0.27,0.3,0.29,0.16,0.19,0.17,0.26,0.3,0.28,0.19,0.19,0.19,0.1,0.09,0.09,0.49,0.19,0.47
ADGRE5,0.29,0.28,0.24,0.2,0.19,0.19,0.26,0.26,0.24,0.19,0.17,0.17,0.13,0.1,0.1,0.54,0.15,0.59
CLEC17A,0.11,0.09,0.06,0.06,0.04,0.05,0.08,0.04,0.05,0.01,0.01,0.01,0.02,0,0,0.03,0.02,0.05
DDX39A,0.08,0.09,0.08,0.06,0.05,0.05,0.07,0.07,0.06,0.02,0.02,0.02,0.03,0.01,0.01,0.01,0.01,0.01
DNAJB1,0.09,0.06,0.06,0.05,0.03,0.03,0.07,0.05,0.05,0.02,0.02,0.02,0,0.01,0.01,0.01,0.01,0.02
GIPC1,0.13,0.11,0.11,0.08,0.07,0.07,0.09,0.06,0.06,0,0.01,0.01,0,0.01,0.01,0,0.01,0.02
NDUFB7,0.120879120879121,0.13953488372093,0.13953488372093,0.0555555555555556,0.0602409638554217,0.0487804878048781,0.0444444444444444,0.0813953488372093,0.0697674418604651,0,0,0,0.01,0.01,0.01,0.02,0,0.06
PKN1,0.13,0.07,0.08,0.06,0.09,0.07,0.12,0.06,0.07,0.02,0.02,0.02,0.01,0,0,0.03,0.02,0.04
PTGER1,0.07,0.05,0.05,0.08,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.01,0.02,0.01,0.02,0.02,0.04
TECR,0.24,0.22,0.22,0.14,0.13,0.15,0.17,0.22,0.22,0.09,0.1,0.1,0.03,0.04,0.04,0.19,0.14,0.19
ZNF333,0.1,0.07,0.06,0.07,0.04,0.05,0.09,0.06,0.06,0,0.01,0.01,0.01,0.01,0.01,0.03,0.01,0.04
