Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skato_ext,skato_all,skat_int,skat_ext,skat_all,burden_int,burden_ext,burden_all
ADGRE2,0.11,0.07,0.07,0.08,0.05,0.05,0.1,0.06,0.06,0.05,0.05,0.05,0.03,0.02,0.02,0.01,0.11,0.08,0.01,0.16,0.12,0.04,0.06,0.05
ADGRE3,0.09,0.08,0.08,0.07,0.05,0.05,0.09,0.07,0.07,0.02,0.01,0.01,0.02,0,0.01,0.01,0.11,0.11,0,0.13,0.11,0.02,0.1,0.1
ADGRE5,0.1,0.05,0.06,0.06,0.03,0.03,0.1,0.05,0.06,0.03,0.03,0.03,0.02,0,0,0.02,0.2,0.17,0.02,0.27,0.22,0.03,0.1,0.07
CLEC17A,0.14,0.08,0.08,0.07,0.04,0.04,0.12,0.07,0.07,0.01,0.01,0.01,0,0.02,0.02,0.05,0.1,0.09,0.02,0.13,0.08,0.03,0.11,0.09
DDX39A,0.12,0.07,0.07,0.05,0.04,0.04,0.1,0.05,0.05,0,0,0,0.02,0.04,0.04,0.04,0.12,0.13,0.02,0.15,0.11,0.04,0.11,0.09
DNAJB1,0.11,0.06,0.05,0.07,0.03,0.03,0.08,0.04,0.03,0.01,0.01,0.01,0,0,0,0.03,0.13,0.08,0.03,0.13,0.09,0.05,0.09,0.11
GIPC1,0.12,0.04,0.04,0.07,0.01,0.01,0.1,0.02,0.02,0,0.02,0.02,0.01,0.01,0.01,0.04,0.11,0.06,0.01,0.12,0.07,0.08,0.11,0.09
NDUFB7,0.111111111111111,0.0952380952380952,0.0952380952380952,0.0574712643678161,0.0641025641025641,0.0641025641025641,0.0337078651685393,0.0365853658536585,0.0365853658536585,0,0,0,0.02,0.01,0.01,0.03,0.11,0.12,0.04,0.12,0.1,0.06,0.11,0.11
PKN1,0.12,0.1,0.1,0.08,0.06,0.07,0.11,0.09,0.1,0.04,0.03,0.03,0.03,0.01,0.01,0.02,0.17,0.13,0.01,0.2,0.13,0.04,0.15,0.14
PTGER1,0.06,0.02,0.02,0.04,0.02,0.03,0.04,0.01,0.02,0,0.01,0.01,0.01,0,0,0.03,0.09,0.07,0.02,0.12,0.09,0.05,0.06,0.05
TECR,0.1,0.03,0.03,0.06,0.02,0.02,0.08,0.02,0.02,0,0,0,0.02,0.02,0.02,0.04,0.14,0.11,0.06,0.17,0.13,0.05,0.09,0.09
ZNF333,0.1,0.04,0.04,0.1,0.04,0.03,0.09,0.03,0.03,0.03,0.04,0.04,0.02,0.05,0.05,0.01,0.1,0.09,0,0.19,0.18,0.03,0.07,0.05
