Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skato_ext,skato_all,skat_int,skat_ext,skat_all,burden_int,burden_ext,burden_all
ADGRE2,0.11,0.06,0.06,0.09,0.06,0.06,0.09,0.05,0.06,0.02,0.01,0.01,0.02,0.02,0.03,0.01,0.14,0.07,0.01,0.2,0.08,0.02,0.07,0.05
ADGRE3,0.12,0.01,0.02,0.08,0.04,0.04,0.11,0.01,0.01,0.03,0.04,0.04,0.02,0.02,0.02,0.04,0.18,0.07,0.03,0.22,0.06,0.02,0.07,0.06
ADGRE5,0.13,0.06,0.05,0.07,0.05,0.04,0.12,0.06,0.05,0.02,0.02,0.02,0,0.01,0.01,0.01,0.09,0.05,0.01,0.14,0.09,0.03,0.07,0.07
CLEC17A,0.06,0.04,0.05,0.08,0.02,0.03,0.05,0.02,0.03,0.02,0.02,0.02,0.04,0.03,0.04,0.03,0.15,0.1,0.05,0.16,0.09,0.04,0.09,0.09
DDX39A,0.07,0.06,0.06,0.05,0.08,0.06,0.07,0.05,0.06,0.01,0.01,0.01,0,0,0.01,0.01,0.13,0.02,0.02,0.13,0.03,0.04,0.09,0.06
DNAJB1,0.07,0.05,0.04,0.01,0.01,0.01,0.02,0.02,0.02,0.04,0.04,0.04,0.02,0.01,0.01,0.05,0.1,0.09,0.02,0.11,0.06,0.06,0.08,0.09
GIPC1,0.08,0.03,0.02,0.06,0.03,0.03,0.07,0.02,0.01,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.11,0.08,0.06,0.11,0.06,0.06,0.08,0.08
NDUFB7,0.132530120481928,0.0833333333333333,0.0919540229885057,0.0975609756097561,0.0714285714285714,0.0689655172413793,0.0481927710843374,0.0238095238095238,0.0229885057471264,0,0,0,0.01,0,0.01,0.02,0.16,0.08,0,0.14,0.1,0.04,0.13,0.07
PKN1,0.13,0.05,0.08,0.09,0.05,0.06,0.12,0.06,0.08,0.03,0.03,0.03,0.01,0,0,0.05,0.12,0.11,0.03,0.14,0.08,0.09,0.14,0.13
PTGER1,0.07,0.01,0.02,0.04,0,0,0.05,0,0,0.02,0.02,0.02,0.01,0,0,0,0.08,0.02,0.01,0.15,0.07,0.02,0.04,0.02
TECR,0.101010101010101,0.0909090909090909,0.0909090909090909,0.0505050505050505,0.0505050505050505,0.0707070707070707,0.0404040404040404,0.0303030303030303,0.0505050505050505,0.02,0.0202020202020202,0.0202020202020202,0.04,0.02,0.02,0.02,0.09,0.06,0.03,0.12,0.08,0.02,0.07,0.05
ZNF333,0.07,0.06,0.06,0.04,0.02,0.01,0.07,0.06,0.06,0.04,0.04,0.04,0,0.02,0.03,0.01,0.15,0.04,0.02,0.2,0.05,0.03,0.07,0.04
