Gene,prox_int,prox_ext,prox_ext_adj,proxW_int,proxW_ext,proxW_ext_adj,prox2_int,prox2_ext,prox2_all,prox2_ext_adj,prox2_all_adj,iecat_all,iecat_all_adj
ADGRE2,0.05,0.09,0.13,0.01,0.06,0.06,0.02,0.09,0.05,0.13,0.0495049504950495,0.02,0.04
ADGRE3,0.12,0.12,0.15,0.07,0.09,0.12,0.04,0.11,0.13,0.15,0.128712871287129,0.02,0.06
ADGRE5,0.09,0.11,0.14,0.09,0.08,0.09,0.05,0.11,0.1,0.14,0.099009900990099,0.06,0.06
CLEC17A,0.14,0.15,0.14,0.12,0.09,0.1,0.08,0.16,0.15,0.12,0.148514851485149,0.03,0.06
DDX39A,0.12,0.15,0.13,0.06,0.1,0.12,0.04,0.14,0.12,0.12,0.128712871287129,0.03,0.03
DNAJB1,0.06,0.12,0.13,0.05,0.1,0.11,0.01,0.12,0.06,0.12,0.0594059405940594,0.04,0.06
GIPC1,0.09,0.15,0.22,0.05,0.12,0.15,0.03,0.14,0.07,0.21,0.0693069306930693,0.03,0.04
NDUFB7,0.104651162790698,0.114583333333333,0.1875,0.0481927710843374,0.0833333333333333,0.135416666666667,0.0253164556962025,0.0625,0.0412371134020619,0.104166666666667,0.0408163265306122,0.02,0.03
PKN1,0.02,0.14,0.17,0.07,0.12,0.07,0.01,0.14,0.02,0.16,0.0198019801980198,0.07,0.07
PTGER1,0.05,0.09,0.15,0.04,0.07,0.1,0.02,0.09,0.06,0.14,0.0594059405940594,0.02,0.04
TECR,0.1,0.19,0.16,0.07,0.08,0.08,0.0505050505050505,0.16,0.1,0.14,0.099009900990099,0.04,0.07
ZNF333,0.09,0.06,0.18,0.09,0.09,0.19,0.04,0.05,0.08,0.17,0.0792079207920792,0.02,0.05
