gene fun syn ratio
ADGRE2 135 66 2.04545454545455
ADGRE3 79 42 1.88095238095238
ADGRE5 120 64 1.875
CLEC17A 60 13 4.61538461538461
DDX39A 68 36 1.88888888888889
DNAJB1 67 32 2.09375
GIPC1 45 26 1.73076923076923
NDUFB7 17 11 1.54545454545455
PKN1 165 86 1.91860465116279
PTGER1 56 34 1.64705882352941
TECR 53 30 1.76666666666667
ZNF333 110 44 2.5
ADGRE2 155 66 2.34848484848485
ADGRE3 84 53 1.58490566037736
ADGRE5 133 51 2.6078431372549
CLEC17A 54 31 1.74193548387097
DDX39A 52 35 1.48571428571429
DNAJB1 53 29 1.82758620689655
GIPC1 52 30 1.73333333333333
NDUFB7 23 8 2.875
PKN1 148 79 1.87341772151899
PTGER1 56 34 1.64705882352941
TECR 42 21 2
ZNF333 111 45 2.46666666666667
ADGRE2 142 79 1.79746835443038
ADGRE3 100 44 2.27272727272727
ADGRE5 128 70 1.82857142857143
CLEC17A 64 32 2
DDX39A 66 25 2.64
DNAJB1 57 25 2.28
GIPC1 38 30 1.26666666666667
NDUFB7 20 11 1.81818181818182
PKN1 137 71 1.92957746478873
PTGER1 59 37 1.59459459459459
TECR 36 19 1.89473684210526
ZNF333 117 46 2.54347826086957
ADGRE2 143 74 1.93243243243243
ADGRE3 106 42 2.52380952380952
ADGRE5 119 70 1.7
CLEC17A 58 23 2.52173913043478
DDX39A 59 39 1.51282051282051
DNAJB1 56 30 1.86666666666667
GIPC1 44 23 1.91304347826087
NDUFB7 20 7 2.85714285714286
PKN1 140 81 1.72839506172839
PTGER1 65 35 1.85714285714286
TECR 37 23 1.60869565217391
ZNF333 100 44 2.27272727272727
ADGRE2 147 75 1.96
ADGRE3 108 49 2.20408163265306
ADGRE5 134 75 1.78666666666667
CLEC17A 51 24 2.125
DDX39A 65 38 1.71052631578947
DNAJB1 54 28 1.92857142857143
GIPC1 44 25 1.76
NDUFB7 10 15 0.666666666666667
PKN1 159 85 1.87058823529412
PTGER1 53 36 1.47222222222222
TECR 41 25 1.64
ZNF333 109 47 2.31914893617021
ADGRE2 142 63 2.25396825396825
ADGRE3 86 57 1.50877192982456
ADGRE5 136 67 2.02985074626866
CLEC17A 64 19 3.36842105263158
DDX39A 71 42 1.69047619047619
DNAJB1 59 19 3.10526315789474
GIPC1 60 32 1.875
NDUFB7 21 13 1.61538461538462
PKN1 133 86 1.54651162790698
PTGER1 57 26 2.19230769230769
TECR 47 23 2.04347826086957
ZNF333 118 49 2.40816326530612
ADGRE2 137 62 2.20967741935484
ADGRE3 100 51 1.96078431372549
ADGRE5 143 65 2.2
CLEC17A 74 23 3.21739130434783
DDX39A 68 35 1.94285714285714
DNAJB1 50 21 2.38095238095238
GIPC1 59 29 2.03448275862069
NDUFB7 23 12 1.91666666666667
PKN1 160 87 1.83908045977011
PTGER1 61 26 2.34615384615385
TECR 36 24 1.5
ZNF333 97 47 2.06382978723404
ADGRE2 130 65 2
ADGRE3 108 59 1.83050847457627
ADGRE5 120 69 1.73913043478261
CLEC17A 74 31 2.38709677419355
DDX39A 52 33 1.57575757575758
