gene fun syn ratio
ADGRE2 123 67 1.83582089552239
ADGRE3 90 47 1.91489361702128
ADGRE5 118 69 1.71014492753623
CLEC17A 65 19 3.42105263157895
DDX39A 66 37 1.78378378378378
DNAJB1 56 34 1.64705882352941
GIPC1 60 29 2.06896551724138
NDUFB7 23 9 2.55555555555556
PKN1 152 89 1.70786516853933
PTGER1 52 33 1.57575757575758
TECR 57 18 3.16666666666667
ZNF333 118 39 3.02564102564103
ADGRE2 143 69 2.07246376811594
ADGRE3 91 61 1.49180327868852
ADGRE5 147 51 2.88235294117647
CLEC17A 60 27 2.22222222222222
DDX39A 63 31 2.03225806451613
DNAJB1 56 20 2.8
GIPC1 52 28 1.85714285714286
NDUFB7 22 11 2
PKN1 147 84 1.75
PTGER1 56 36 1.55555555555556
TECR 47 19 2.47368421052632
ZNF333 114 54 2.11111111111111
ADGRE2 131 73 1.79452054794521
ADGRE3 80 33 2.42424242424242
ADGRE5 141 67 2.1044776119403
CLEC17A 65 34 1.91176470588235
DDX39A 66 27 2.44444444444444
DNAJB1 57 25 2.28
GIPC1 43 22 1.95454545454545
NDUFB7 20 11 1.81818181818182
PKN1 141 85 1.65882352941176
PTGER1 55 34 1.61764705882353
TECR 41 30 1.36666666666667
ZNF333 115 42 2.73809523809524
ADGRE2 135 76 1.77631578947368
ADGRE3 100 50 2
ADGRE5 121 60 2.01666666666667
CLEC17A 49 28 1.75
DDX39A 71 35 2.02857142857143
DNAJB1 52 25 2.08
GIPC1 45 27 1.66666666666667
NDUFB7 27 9 3
PKN1 141 85 1.65882352941176
PTGER1 68 38 1.78947368421053
TECR 42 29 1.44827586206897
ZNF333 117 46 2.54347826086957
ADGRE2 146 73 2
ADGRE3 111 49 2.26530612244898
ADGRE5 122 66 1.84848484848485
CLEC17A 63 19 3.31578947368421
DDX39A 60 33 1.81818181818182
DNAJB1 61 28 2.17857142857143
GIPC1 47 21 2.23809523809524
NDUFB7 14 13 1.07692307692308
PKN1 160 77 2.07792207792208
PTGER1 52 33 1.57575757575758
TECR 36 22 1.63636363636364
ZNF333 106 45 2.35555555555556
ADGRE2 142 58 2.44827586206897
ADGRE3 94 52 1.80769230769231
ADGRE5 129 67 1.92537313432836
CLEC17A 68 27 2.51851851851852
DDX39A 54 35 1.54285714285714
DNAJB1 61 20 3.05
GIPC1 57 28 2.03571428571429
NDUFB7 17 15 1.13333333333333
PKN1 142 78 1.82051282051282
PTGER1 57 31 1.83870967741935
TECR 47 21 2.23809523809524
ZNF333 111 41 2.70731707317073
ADGRE2 122 72 1.69444444444444
ADGRE3 96 54 1.77777777777778
ADGRE5 139 66 2.10606060606061
CLEC17A 64 25 2.56
DDX39A 71 33 2.15151515151515
DNAJB1 52 27 1.92592592592593
GIPC1 59 27 2.18518518518519
NDUFB7 29 10 2.9
PKN1 157 90 1.74444444444444
PTGER1 61 30 2.03333333333333
TECR 45 23 1.95652173913043
ZNF333 97 52 1.86538461538462
ADGRE2 125 73 1.71232876712329
ADGRE3 122 59 2.06779661016949
ADGRE5 126 66 1.90909090909091
CLEC17A 66 24 2.75
DDX39A 63 29 2.17241379310345
DNAJB1 48 24 2
GIPC1 57 22 2.59090909090909
NDUFB7 18 5 3.6
PKN1 144 72 2
PTGER1 59 36 1.63888888888889
TECR 45 27 1.66666666666667
ZNF333 106 36 2.94444444444444
ADGRE2 145 65 2.23076923076923
ADGRE3 107 50 2.14
ADGRE5 127 66 1.92424242424242
CLEC17A 47 25 1.88
DDX39A 80 32 2.5
DNAJB1 66 25 2.64
GIPC1 42 21 2
NDUFB7 10 11 0.909090909090909
PKN1 136 92 1.47826086956522
PTGER1 59 31 1.90322580645161
TECR 40 29 1.37931034482759
ZNF333 114 51 2.23529411764706
ADGRE2 155 74 2.09459459459459
ADGRE3 83 60 1.38333333333333
ADGRE5 137 70 1.95714285714286
CLEC17A 62 26 2.38461538461538
DDX39A 63 34 1.85294117647059
DNAJB1 44 25 1.76
GIPC1 50 25 2
NDUFB7 18 9 2
PKN1 144 79 1.82278481012658
PTGER1 61 43 1.41860465116279
TECR 57 22 2.59090909090909
ZNF333 112 57 1.96491228070175
ADGRE2 141 65 2.16923076923077
ADGRE3 101 56 1.80357142857143
ADGRE5 122 53 2.30188679245283
CLEC17A 64 32 2
DDX39A 66 38 1.73684210526316
DNAJB1 56 37 1.51351351351351
GIPC1 47 31 1.51612903225806
NDUFB7 25 9 2.77777777777778
PKN1 147 84 1.75
PTGER1 51 32 1.59375
TECR 36 24 1.5
ZNF333 128 52 2.46153846153846
ADGRE2 144 61 2.36065573770492
ADGRE3 103 58 1.77586206896552
ADGRE5 162 62 2.61290322580645
CLEC17A 60 32 1.875
DDX39A 72 23 3.1304347826087
DNAJB1 54 23 2.34782608695652
GIPC1 44 31 1.41935483870968
NDUFB7 21 14 1.5
PKN1 141 93 1.51612903225806
PTGER1 56 36 1.55555555555556
TECR 43 28 1.53571428571429
ZNF333 93 44 2.11363636363636
ADGRE2 129 75 1.72
ADGRE3 91 44 2.06818181818182
ADGRE5 116 66 1.75757575757576
CLEC17A 73 34 2.14705882352941
DDX39A 63 34 1.85294117647059
DNAJB1 67 29 2.31034482758621
GIPC1 44 35 1.25714285714286
NDUFB7 25 7 3.57142857142857
PKN1 135 78 1.73076923076923
PTGER1 57 27 2.11111111111111
TECR 55 21 2.61904761904762
ZNF333 114 53 2.15094339622642
ADGRE2 143 67 2.13432835820896
ADGRE3 101 52 1.94230769230769
ADGRE5 138 62 2.2258064516129
CLEC17A 48 30 1.6
DDX39A 57 43 1.32558139534884
DNAJB1 59 21 2.80952380952381
GIPC1 58 31 1.87096774193548
NDUFB7 35 12 2.91666666666667
PKN1 145 80 1.8125
PTGER1 50 42 1.19047619047619
TECR 34 25 1.36
ZNF333 126 35 3.6
ADGRE2 142 72 1.97222222222222
ADGRE3 85 61 1.39344262295082
ADGRE5 123 73 1.68493150684932
CLEC17A 47 28 1.67857142857143
DDX39A 69 30 2.3
DNAJB1 61 21 2.9047619047619
GIPC1 52 26 2
NDUFB7 20 8 2.5
PKN1 151 80 1.8875
PTGER1 51 30 1.7
TECR 54 18 3
ZNF333 106 52 2.03846153846154
ADGRE2 146 69 2.11594202898551
ADGRE3 89 56 1.58928571428571
ADGRE5 146 69 2.11594202898551
CLEC17A 61 23 2.65217391304348
DDX39A 54 25 2.16
DNAJB1 52 23 2.26086956521739
GIPC1 53 25 2.12
NDUFB7 21 12 1.75
PKN1 149 97 1.5360824742268
PTGER1 58 28 2.07142857142857
TECR 44 29 1.51724137931034
ZNF333 112 37 3.02702702702703
ADGRE2 142 73 1.94520547945205
ADGRE3 107 52 2.05769230769231
ADGRE5 143 69 2.07246376811594
CLEC17A 55 28 1.96428571428571
DDX39A 58 26 2.23076923076923
DNAJB1 55 24 2.29166666666667
GIPC1 68 35 1.94285714285714
NDUFB7 13 13 1
PKN1 139 88 1.57954545454545
PTGER1 57 33 1.72727272727273
TECR 43 20 2.15
ZNF333 116 39 2.97435897435897
ADGRE2 147 63 2.33333333333333
ADGRE3 116 46 2.52173913043478
ADGRE5 132 57 2.31578947368421
CLEC17A 56 22 2.54545454545455
DDX39A 45 38 1.18421052631579
DNAJB1 55 21 2.61904761904762
GIPC1 41 19 2.15789473684211
NDUFB7 22 11 2
PKN1 170 90 1.88888888888889
PTGER1 59 38 1.55263157894737
TECR 31 17 1.82352941176471
ZNF333 100 51 1.96078431372549
ADGRE2 137 59 2.32203389830508
ADGRE3 106 62 1.70967741935484
