gene fun syn ratio
ADGRE2 123 63 1.95238095238095
ADGRE3 100 44 2.27272727272727
ADGRE5 115 51 2.25490196078431
CLEC17A 67 20 3.35
DDX39A 62 34 1.82352941176471
DNAJB1 53 17 3.11764705882353
GIPC1 36 22 1.63636363636364
NDUFB7 17 5 3.4
PKN1 119 62 1.91935483870968
PTGER1 48 30 1.6
TECR 43 13 3.30769230769231
ZNF333 114 38 3
ADGRE2 130 59 2.20338983050847
ADGRE3 91 57 1.59649122807018
ADGRE5 123 63 1.95238095238095
CLEC17A 54 19 2.84210526315789
DDX39A 56 17 3.29411764705882
DNAJB1 43 26 1.65384615384615
GIPC1 39 21 1.85714285714286
NDUFB7 20 12 1.66666666666667
PKN1 151 69 2.18840579710145
PTGER1 48 28 1.71428571428571
TECR 37 23 1.60869565217391
ZNF333 94 41 2.29268292682927
ADGRE2 131 49 2.6734693877551
ADGRE3 93 33 2.81818181818182
ADGRE5 137 54 2.53703703703704
CLEC17A 53 23 2.30434782608696
DDX39A 62 34 1.82352941176471
DNAJB1 48 27 1.77777777777778
GIPC1 41 22 1.86363636363636
NDUFB7 23 11 2.09090909090909
PKN1 134 82 1.63414634146341
PTGER1 50 29 1.72413793103448
TECR 51 16 3.1875
ZNF333 103 34 3.02941176470588
ADGRE2 126 49 2.57142857142857
ADGRE3 81 47 1.72340425531915
ADGRE5 120 47 2.5531914893617
CLEC17A 59 20 2.95
DDX39A 55 34 1.61764705882353
DNAJB1 46 27 1.7037037037037
GIPC1 62 30 2.06666666666667
NDUFB7 17 13 1.30769230769231
PKN1 139 58 2.39655172413793
PTGER1 53 38 1.39473684210526
TECR 40 25 1.6
ZNF333 95 37 2.56756756756757
ADGRE2 147 47 3.12765957446809
ADGRE3 85 47 1.80851063829787
ADGRE5 147 63 2.33333333333333
CLEC17A 53 25 2.12
DDX39A 74 29 2.55172413793103
DNAJB1 55 23 2.39130434782609
GIPC1 50 22 2.27272727272727
NDUFB7 11 10 1.1
PKN1 152 69 2.20289855072464
PTGER1 45 30 1.5
TECR 46 27 1.7037037037037
ZNF333 122 35 3.48571428571429
ADGRE2 122 62 1.96774193548387
ADGRE3 97 54 1.7962962962963
ADGRE5 122 55 2.21818181818182
CLEC17A 54 23 2.34782608695652
DDX39A 59 22 2.68181818181818
DNAJB1 44 26 1.69230769230769
GIPC1 41 22 1.86363636363636
NDUFB7 18 13 1.38461538461538
PKN1 134 60 2.23333333333333
PTGER1 71 34 2.08823529411765
TECR 52 18 2.88888888888889
ZNF333 107 58 1.8448275862069
ADGRE2 135 45 3
ADGRE3 74 41 1.80487804878049
ADGRE5 135 62 2.17741935483871
CLEC17A 55 26 2.11538461538462
DDX39A 57 25 2.28
DNAJB1 55 23 2.39130434782609
GIPC1 42 27 1.55555555555556
NDUFB7 24 11 2.18181818181818
PKN1 142 76 1.86842105263158
PTGER1 57 34 1.67647058823529
TECR 32 23 1.39130434782609
ZNF333 106 44 2.40909090909091
ADGRE2 119 55 2.16363636363636
ADGRE3 87 45 1.93333333333333
ADGRE5 121 58 2.08620689655172
CLEC17A 59 29 2.03448275862069
DDX39A 64 33 1.93939393939394
DNAJB1 44 25 1.76
GIPC1 52 32 1.625
NDUFB7 23 15 1.53333333333333
PKN1 128 60 2.13333333333333
PTGER1 60 31 1.93548387096774
TECR 44 24 1.83333333333333
ZNF333 103 45 2.28888888888889
ADGRE2 137 61 2.24590163934426
ADGRE3 94 44 2.13636363636364
ADGRE5 116 73 1.58904109589041
CLEC17A 71 28 2.53571428571429
DDX39A 66 32 2.0625
DNAJB1 41 15 2.73333333333333
GIPC1 50 25 2
NDUFB7 17 5 3.4
PKN1 131 65 2.01538461538462
PTGER1 58 27 2.14814814814815
TECR 33 21 1.57142857142857
ZNF333 97 37 2.62162162162162
ADGRE2 133 56 2.375
ADGRE3 108 37 2.91891891891892
ADGRE5 129 70 1.84285714285714
CLEC17A 52 17 3.05882352941176
DDX39A 55 28 1.96428571428571
DNAJB1 57 29 1.96551724137931
GIPC1 42 20 2.1
NDUFB7 22 12 1.83333333333333
PKN1 119 71 1.67605633802817
PTGER1 51 27 1.88888888888889
