gene fun syn ratio
ADGRE2 151 70 2.15714285714286
ADGRE3 116 46 2.52173913043478
ADGRE5 126 60 2.1
CLEC17A 62 20 3.1
DDX39A 74 36 2.05555555555556
DNAJB1 60 33 1.81818181818182
GIPC1 49 31 1.58064516129032
NDUFB7 24 13 1.84615384615385
PKN1 169 96 1.76041666666667
PTGER1 63 44 1.43181818181818
TECR 54 33 1.63636363636364
ZNF333 113 49 2.30612244897959
ADGRE2 157 70 2.24285714285714
ADGRE3 113 47 2.40425531914894
ADGRE5 142 73 1.94520547945205
CLEC17A 71 31 2.29032258064516
DDX39A 65 37 1.75675675675676
DNAJB1 55 26 2.11538461538462
GIPC1 56 31 1.80645161290323
NDUFB7 12 11 1.09090909090909
PKN1 180 79 2.27848101265823
PTGER1 71 41 1.73170731707317
TECR 54 23 2.34782608695652
ZNF333 121 62 1.95161290322581
ADGRE2 140 75 1.86666666666667
ADGRE3 107 57 1.87719298245614
ADGRE5 154 76 2.02631578947368
CLEC17A 76 29 2.62068965517241
DDX39A 59 41 1.4390243902439
DNAJB1 75 24 3.125
GIPC1 45 31 1.45161290322581
NDUFB7 20 11 1.81818181818182
PKN1 178 96 1.85416666666667
PTGER1 67 32 2.09375
TECR 47 26 1.80769230769231
ZNF333 111 46 2.41304347826087
ADGRE2 137 74 1.85135135135135
ADGRE3 112 49 2.28571428571429
ADGRE5 159 77 2.06493506493507
CLEC17A 59 25 2.36
DDX39A 77 35 2.2
DNAJB1 61 30 2.03333333333333
GIPC1 48 32 1.5
NDUFB7 21 12 1.75
PKN1 173 90 1.92222222222222
PTGER1 68 39 1.74358974358974
TECR 30 30 1
ZNF333 115 55 2.09090909090909
ADGRE2 163 74 2.2027027027027
ADGRE3 109 62 1.75806451612903
ADGRE5 124 84 1.47619047619048
CLEC17A 65 32 2.03125
DDX39A 69 39 1.76923076923077
DNAJB1 57 36 1.58333333333333
GIPC1 48 20 2.4
NDUFB7 17 15 1.13333333333333
PKN1 142 89 1.59550561797753
PTGER1 59 28 2.10714285714286
TECR 59 21 2.80952380952381
ZNF333 117 41 2.85365853658537
ADGRE2 170 70 2.42857142857143
ADGRE3 93 66 1.40909090909091
ADGRE5 141 63 2.23809523809524
CLEC17A 71 30 2.36666666666667
DDX39A 60 34 1.76470588235294
DNAJB1 59 36 1.63888888888889
GIPC1 63 32 1.96875
NDUFB7 24 18 1.33333333333333
PKN1 142 83 1.71084337349398
PTGER1 52 28 1.85714285714286
TECR 59 19 3.10526315789474
ZNF333 114 53 2.15094339622642
ADGRE2 136 79 1.72151898734177
ADGRE3 92 61 1.50819672131148
ADGRE5 140 72 1.94444444444444
CLEC17A 63 34 1.85294117647059
DDX39A 73 31 2.35483870967742
DNAJB1 56 26 2.15384615384615
GIPC1 58 27 2.14814814814815
NDUFB7 28 10 2.8
PKN1 162 90 1.8
PTGER1 65 27 2.40740740740741
TECR 59 20 2.95
ZNF333 122 64 1.90625
ADGRE2 150 71 2.11267605633803
ADGRE3 109 60 1.81666666666667
ADGRE5 143 83 1.72289156626506
CLEC17A 57 31 1.83870967741935
DDX39A 67 35 1.91428571428571
DNAJB1 66 27 2.44444444444444
GIPC1 49 25 1.96
NDUFB7 25 12 2.08333333333333
PKN1 161 95 1.69473684210526
PTGER1 71 42 1.69047619047619
TECR 47 29 1.62068965517241
ZNF333 125 58 2.1551724137931
ADGRE2 155 87 1.7816091954023
ADGRE3 114 45 2.53333333333333
ADGRE5 142 68 2.08823529411765
CLEC17A 56 35 1.6
DDX39A 66 31 2.12903225806452
DNAJB1 62 19 3.26315789473684
GIPC1 48 21 2.28571428571429
NDUFB7 16 6 2.66666666666667
PKN1 165 87 1.89655172413793
PTGER1 69 30 2.3
TECR 53 33 1.60606060606061
ZNF333 117 55 2.12727272727273
ADGRE2 175 76 2.30263157894737
ADGRE3 109 77 1.41558441558442
ADGRE5 135 86 1.56976744186047
CLEC17A 69 24 2.875
DDX39A 63 39 1.61538461538462
DNAJB1 52 25 2.08
GIPC1 53 20 2.65
NDUFB7 21 10 2.1
PKN1 160 84 1.9047619047619
PTGER1 70 34 2.05882352941176
TECR 43 28 1.53571428571429
ZNF333 123 51 2.41176470588235
ADGRE2 154 64 2.40625
ADGRE3 121 58 2.08620689655172
ADGRE5 161 59 2.72881355932203
CLEC17A 58 30 1.93333333333333
DDX39A 58 35 1.65714285714286
DNAJB1 59 28 2.10714285714286
GIPC1 55 35 1.57142857142857
NDUFB7 19 10 1.9
PKN1 155 96 1.61458333333333
PTGER1 60 32 1.875
TECR 50 32 1.5625
ZNF333 108 40 2.7
ADGRE2 157 82 1.91463414634146
ADGRE3 120 54 2.22222222222222
ADGRE5 161 54 2.98148148148148
CLEC17A 57 40 1.425
DDX39A 59 30 1.96666666666667
DNAJB1 60 27 2.22222222222222
GIPC1 49 26 1.88461538461538
NDUFB7 27 15 1.8
PKN1 165 84 1.96428571428571
PTGER1 59 32 1.84375
TECR 56 27 2.07407407407407
ZNF333 92 53 1.73584905660377
ADGRE2 166 79 2.10126582278481
ADGRE3 110 54 2.03703703703704
ADGRE5 133 76 1.75
CLEC17A 69 25 2.76
DDX39A 83 31 2.67741935483871
DNAJB1 55 29 1.89655172413793
GIPC1 53 29 1.82758620689655
NDUFB7 26 7 3.71428571428571
PKN1 160 102 1.56862745098039
PTGER1 71 44 1.61363636363636
TECR 51 23 2.21739130434783
ZNF333 111 49 2.26530612244898
ADGRE2 147 75 1.96
ADGRE3 115 52 2.21153846153846
ADGRE5 143 70 2.04285714285714
CLEC17A 67 28 2.39285714285714
DDX39A 71 41 1.73170731707317
DNAJB1 64 31 2.06451612903226
GIPC1 63 35 1.8
NDUFB7 26 10 2.6
PKN1 150 80 1.875
PTGER1 59 33 1.78787878787879
TECR 45 28 1.60714285714286
ZNF333 111 44 2.52272727272727
ADGRE2 151 74 2.04054054054054
ADGRE3 102 60 1.7
ADGRE5 147 70 2.1
CLEC17A 57 28 2.03571428571429
DDX39A 54 35 1.54285714285714
DNAJB1 73 27 2.7037037037037
GIPC1 51 34 1.5
NDUFB7 29 14 2.07142857142857
PKN1 161 77 2.09090909090909
PTGER1 61 38 1.60526315789474
TECR 50 27 1.85185185185185
ZNF333 121 49 2.46938775510204
ADGRE2 164 82 2
ADGRE3 101 46 2.19565217391304
ADGRE5 166 73 2.27397260273973
CLEC17A 56 31 1.80645161290323
DDX39A 61 23 2.65217391304348
DNAJB1 61 26 2.34615384615385
GIPC1 51 33 1.54545454545455
NDUFB7 27 19 1.42105263157895
PKN1 157 98 1.60204081632653
PTGER1 64 31 2.06451612903226
TECR 41 28 1.46428571428571
ZNF333 109 44 2.47727272727273
ADGRE2 150 72 2.08333333333333
ADGRE3 102 61 1.67213114754098
ADGRE5 152 65 2.33846153846154
CLEC17A 86 30 2.86666666666667
DDX39A 56 36 1.55555555555556
