Gene n.marker n.marker.test p.value
ADGRE2 137 8 1
ADGRE3 107 12 0.332405532298682
ADGRE5 128 8 0.223132863040386
CLEC17A 71 4 1
DDX39A 78 6 0.671147570676331
DNAJB1 55 4 0.386589860393695
GIPC1 46 7 0.275320300684648
NDUFB7 22 0 1
PKN1 154 14 0.64556338157886
PTGER1 62 4 0.771603859110985
TECR 58 5 0.79388372860519
ZNF333 151 13 0.344303635874398
ADGRE2 145 13 0.140767282618431
ADGRE3 119 9 0.56043758462799
ADGRE5 132 15 0.00203377494412194
CLEC17A 66 8 0.307987803957847
DDX39A 63 7 0.631018319782824
DNAJB1 55 5 0.709112859237365
GIPC1 53 3 0.882714967382498
NDUFB7 25 1 0.348931117755249
PKN1 177 12 0.312253486095241
PTGER1 70 4 0.862457119739069
TECR 57 5 0.736784665525592
ZNF333 119 10 0.618567384195222
ADGRE2 125 14 0.907231981727422
ADGRE3 111 10 0.561672900874212
ADGRE5 146 12 0.127978384486323
CLEC17A 63 9 0.422460248217394
DDX39A 80 5 1
DNAJB1 63 7 0.109942655657677
GIPC1 55 3 0.414868008647258
NDUFB7 19 0 1
PKN1 135 9 0.751184735715003
PTGER1 64 8 0.35940338766941
TECR 52 5 0.168695164398605
ZNF333 132 12 0.467998881532241
ADGRE2 155 20 0.567897798381686
ADGRE3 113 12 1
ADGRE5 131 6 4.48394549701359e-05
CLEC17A 64 3 0.826641349364865
DDX39A 46 3 0.420289922416932
DNAJB1 46 3 0.402482052582697
GIPC1 72 4 1
NDUFB7 13 0 1
PKN1 163 11 0.0711884569409651
PTGER1 60 4 0.380740112437709
TECR 47 8 0.810030110230169
ZNF333 131 15 1
ADGRE2 136 5 0.862276577087483
ADGRE3 105 13 0.858780779479022
ADGRE5 158 12 1
CLEC17A 64 3 0.621931009259117
DDX39A 73 6 0.333864060452717
DNAJB1 45 0 1
GIPC1 52 2 0.560342783241368
NDUFB7 19 2 0.584389365620107
PKN1 150 14 0.149756014237433
PTGER1 51 3 0.506338911940811
TECR 44 2 0.23278492709633
ZNF333 146 14 0.451683723483204
ADGRE2 129 9 1
ADGRE3 112 11 0.0290808873668268
ADGRE5 121 10 0.131410536079464
CLEC17A 57 4 0.618533432372699
DDX39A 81 3 0.741441086850497
DNAJB1 62 6 0.708749734026234
GIPC1 39 4 0.317638785356402
NDUFB7 25 3 0.71711592410049
PKN1 161 10 0.465006366711465
PTGER1 71 8 0.857350296604425
TECR 54 5 0.427270782229852
