Singletons,Doubletons,MAC.3.5,MAC.6.10,MAC.11.20,MAC.21.MAF0.5,MAF0.5.1,rep,data
448,149,143,59,29,26,0,1,RAREsim functional-95%
449,148,141,52,28,26,0,2,RAREsim functional-95%
464,147,136,56,26,27,0,3,RAREsim functional-95%
455,147,136,52,26,27,0,4,RAREsim functional-95%
459,147,138,57,30,24,0,5,RAREsim functional-95%
462,147,142,60,28,24,0,6,RAREsim functional-95%
463,149,138,57,30,25,0,7,RAREsim functional-95%
455,149,137,54,29,27,0,8,RAREsim functional-95%
463,150,138,60,31,25,0,9,RAREsim functional-95%
458,148,134,57,32,26,0,10,RAREsim functional-95%
463,149,139,59,26,26,0,11,RAREsim functional-95%
458,147,140,54,28,27,0,12,RAREsim functional-95%
457,147,136,56,29,26,0,13,RAREsim functional-95%
456,143,139,56,26,26,0,14,RAREsim functional-95%
459,139,137,56,29,28,0,15,RAREsim functional-95%
456,150,138,57,27,28,0,16,RAREsim functional-95%
458,147,142,60,32,27,0,17,RAREsim functional-95%
454,147,136,58,31,27,0,18,RAREsim functional-95%
461,149,134,57,25,27,0,19,RAREsim functional-95%
457,147,139,59,30,27,0,20,RAREsim functional-95%
458,142,142,55,25,26,0,21,RAREsim functional-95%
460,155,138,59,28,27,0,22,RAREsim functional-95%
470,147,133,58,28,29,0,23,RAREsim functional-95%
459,146,140,57,29,21,0,24,RAREsim functional-95%
460,146,138,57,29,28,0,25,RAREsim functional-95%
463,151,138,57,28,24,0,26,RAREsim functional-95%
457,146,136,59,30,26,1,27,RAREsim functional-95%
451,147,137,56,29,26,0,28,RAREsim functional-95%
459,148,138,53,29,25,0,29,RAREsim functional-95%
452,151,136,59,33,26,0,30,RAREsim functional-95%
456,146,132,56,30,26,0,31,RAREsim functional-95%
467,149,135,51,27,24,0,32,RAREsim functional-95%
450,149,133,56,27,21,0,33,RAREsim functional-95%
447,150,132,52,28,23,0,34,RAREsim functional-95%
460,151,143,55,27,26,0,35,RAREsim functional-95%
455,144,141,54,30,26,0,36,RAREsim functional-95%
455,143,136,55,31,23,0,37,RAREsim functional-95%
461,149,132,58,28,23,0,38,RAREsim functional-95%
460,148,139,56,27,24,0,39,RAREsim functional-95%
459,147,139,57,29,27,0,40,RAREsim functional-95%
458,150,133,57,30,27,0,41,RAREsim functional-95%
457,149,144,56,26,26,0,42,RAREsim functional-95%
454,149,140,59,28,26,0,43,RAREsim functional-95%
457,147,138,55,29,26,0,44,RAREsim functional-95%
461,147,136,57,28,26,0,45,RAREsim functional-95%
464,147,133,58,29,26,0,46,RAREsim functional-95%
459,150,137,56,28,27,0,47,RAREsim functional-95%
458,144,139,61,28,24,0,48,RAREsim functional-95%
442,145,138,58,29,26,0,49,RAREsim functional-95%
453,147,135,56,26,28,0,50,RAREsim functional-95%
460,144,135,54,28,27,1,51,RAREsim functional-95%
463,148,135,53,29,23,0,52,RAREsim functional-95%
460,147,138,53,27,28,0,53,RAREsim functional-95%
454,142,138,58,24,26,0,54,RAREsim functional-95%
456,144,135,57,29,26,0,55,RAREsim functional-95%
457,141,135,57,30,22,0,56,RAREsim functional-95%
457,151,138,54,30,26,0,57,RAREsim functional-95%
458,144,137,58,30,27,0,58,RAREsim functional-95%
461,145,133,56,28,27,0,59,RAREsim functional-95%
453,149,136,54,31,28,0,60,RAREsim functional-95%
455,143,137,57,29,25,0,61,RAREsim functional-95%
451,152,137,58,30,25,0,62,RAREsim functional-95%
457,145,136,57,30,23,0,63,RAREsim functional-95%
457,147,135,59,30,25,0,64,RAREsim functional-95%
459,148,136,55,31,27,0,65,RAREsim functional-95%
462,151,139,55,29,23,0,66,RAREsim functional-95%
459,148,128,57,21,27,0,67,RAREsim functional-95%
458,143,139,57,29,25,1,68,RAREsim functional-95%
456,151,137,58,28,27,0,69,RAREsim functional-95%
454,145,136,55,31,24,0,70,RAREsim functional-95%
456,149,140,56,26,27,1,71,RAREsim functional-95%
452,146,137,55,29,23,0,72,RAREsim functional-95%
460,151,137,57,30,24,0,73,RAREsim functional-95%
465,148,137,60,30,23,0,74,RAREsim functional-95%
462,147,138,60,27,25,0,75,RAREsim functional-95%
456,149,135,58,29,25,0,76,RAREsim functional-95%
463,150,134,58,28,24,0,77,RAREsim functional-95%
455,148,136,55,28,24,0,78,RAREsim functional-95%
456,149,131,58,32,25,0,79,RAREsim functional-95%
459,147,140,53,27,28,0,80,RAREsim functional-95%
459,140,139,56,28,23,0,81,RAREsim functional-95%
456,155,136,57,29,26,0,82,RAREsim functional-95%
462,146,138,57,30,25,0,83,RAREsim functional-95%
459,146,129,54,29,29,0,84,RAREsim functional-95%
452,146,137,56,29,22,0,85,RAREsim functional-95%
451,147,137,57,30,23,0,86,RAREsim functional-95%
460,150,140,56,31,24,0,87,RAREsim functional-95%
465,149,137,56,28,26,0,88,RAREsim functional-95%
462,149,134,54,29,26,0,89,RAREsim functional-95%
460,144,134,56,32,28,0,90,RAREsim functional-95%
451,144,130,55,31,25,0,91,RAREsim functional-95%
460,153,137,54,27,25,0,92,RAREsim functional-95%
461,147,132,58,30,25,0,93,RAREsim functional-95%
454,147,138,57,25,23,0,94,RAREsim functional-95%
461,138,137,56,29,23,0,95,RAREsim functional-95%
463,146,139,56,29,22,0,96,RAREsim functional-95%
460,145,135,56,28,26,0,97,RAREsim functional-95%
455,145,136,58,29,22,0,98,RAREsim functional-95%
449,148,140,56,27,26,0,99,RAREsim functional-95%
464,151,131,58,27,27,0,100,RAREsim functional-95%
