Singletons,Doubletons,MAC.3.5,MAC.6.10,MAC.11.20,MAC.21.MAF0.5,MAF0.5.1,rep,data
193,70,66,44,24,24,0,1,RAREsim synonymous-100%
209,65,80,31,15,20,0,2,RAREsim synonymous-100%
209,61,64,33,15,22,2,3,RAREsim synonymous-100%
204,63,68,27,18,16,0,4,RAREsim synonymous-100%
207,65,81,36,23,17,1,5,RAREsim synonymous-100%
212,74,56,29,19,24,0,6,RAREsim synonymous-100%
208,70,75,36,24,19,0,7,RAREsim synonymous-100%
215,65,74,28,11,21,0,8,RAREsim synonymous-100%
202,71,62,35,29,17,1,9,RAREsim synonymous-100%
217,82,77,28,25,14,2,10,RAREsim synonymous-100%
207,64,66,30,24,19,1,11,RAREsim synonymous-100%
203,72,65,31,23,22,1,12,RAREsim synonymous-100%
212,68,68,34,11,18,0,13,RAREsim synonymous-100%
207,67,62,28,26,22,1,14,RAREsim synonymous-100%
204,80,72,32,19,19,2,15,RAREsim synonymous-100%
198,78,62,28,17,18,1,16,RAREsim synonymous-100%
213,67,67,35,14,17,0,17,RAREsim synonymous-100%
213,80,63,27,17,18,0,18,RAREsim synonymous-100%
195,63,74,35,21,25,0,19,RAREsim synonymous-100%
193,72,59,38,17,22,0,20,RAREsim synonymous-100%
202,69,67,34,13,25,0,21,RAREsim synonymous-100%
197,72,80,36,17,15,0,22,RAREsim synonymous-100%
208,63,69,32,18,22,0,23,RAREsim synonymous-100%
207,67,76,29,22,18,0,24,RAREsim synonymous-100%
210,78,67,21,18,19,1,25,RAREsim synonymous-100%
198,77,66,30,25,21,2,26,RAREsim synonymous-100%
222,82,63,30,15,36,0,27,RAREsim synonymous-100%
210,65,63,31,19,19,0,28,RAREsim synonymous-100%
206,86,60,29,28,19,1,29,RAREsim synonymous-100%
203,78,78,34,14,22,0,30,RAREsim synonymous-100%
211,67,67,30,15,22,0,31,RAREsim synonymous-100%
204,63,79,29,15,28,2,32,RAREsim synonymous-100%
211,62,61,30,21,17,1,33,RAREsim synonymous-100%
219,70,79,38,13,27,1,34,RAREsim synonymous-100%
200,70,76,29,21,14,1,35,RAREsim synonymous-100%
206,68,61,38,22,14,3,36,RAREsim synonymous-100%
200,64,67,34,20,31,0,37,RAREsim synonymous-100%
197,67,68,34,16,24,0,38,RAREsim synonymous-100%
196,61,77,30,20,26,1,39,RAREsim synonymous-100%
210,67,55,33,23,20,0,40,RAREsim synonymous-100%
210,70,73,37,17,21,0,41,RAREsim synonymous-100%
201,61,77,24,22,17,0,42,RAREsim synonymous-100%
218,73,59,28,25,24,0,43,RAREsim synonymous-100%
197,71,69,38,21,18,1,44,RAREsim synonymous-100%
200,63,62,31,19,16,0,45,RAREsim synonymous-100%
208,80,68,27,24,20,0,46,RAREsim synonymous-100%
202,77,75,36,20,17,1,47,RAREsim synonymous-100%
211,61,71,39,16,21,0,48,RAREsim synonymous-100%
206,74,61,37,25,24,0,49,RAREsim synonymous-100%
216,66,70,31,15,25,2,50,RAREsim synonymous-100%
201,63,68,32,21,20,1,51,RAREsim synonymous-100%
186,71,74,35,23,18,1,52,RAREsim synonymous-100%
194,66,68,32,17,20,1,53,RAREsim synonymous-100%
206,66,69,34,21,18,0,54,RAREsim synonymous-100%
190,67,75,26,18,27,0,55,RAREsim synonymous-100%
207,73,63,33,15,32,1,56,RAREsim synonymous-100%
196,68,80,28,9,30,0,57,RAREsim synonymous-100%
202,66,63,26,20,19,0,58,RAREsim synonymous-100%
198,63,82,36,24,22,1,59,RAREsim synonymous-100%
210,71,83,33,19,19,3,60,RAREsim synonymous-100%
207,71,81,37,18,19,0,61,RAREsim synonymous-100%
200,69,69,29,15,21,2,62,RAREsim synonymous-100%
210,81,78,44,19,25,0,63,RAREsim synonymous-100%
204,70,66,32,21,20,0,64,RAREsim synonymous-100%
208,82,63,29,19,19,1,65,RAREsim synonymous-100%
211,73,73,29,20,19,0,66,RAREsim synonymous-100%
201,63,71,32,21,28,0,67,RAREsim synonymous-100%
192,61,81,28,18,22,0,68,RAREsim synonymous-100%
208,68,81,32,29,25,2,69,RAREsim synonymous-100%
207,63,61,30,19,24,1,70,RAREsim synonymous-100%
196,72,64,31,21,19,3,71,RAREsim synonymous-100%
191,73,72,37,14,20,0,72,RAREsim synonymous-100%
213,71,77,33,18,19,2,73,RAREsim synonymous-100%
212,67,80,30,21,13,1,74,RAREsim synonymous-100%
202,71,86,30,20,21,0,75,RAREsim synonymous-100%
217,76,85,37,16,19,0,76,RAREsim synonymous-100%
208,73,82,32,19,32,0,77,RAREsim synonymous-100%
209,70,63,37,22,26,1,78,RAREsim synonymous-100%
203,73,58,28,20,20,0,79,RAREsim synonymous-100%
206,68,67,28,19,20,0,80,RAREsim synonymous-100%
204,66,63,28,19,21,1,81,RAREsim synonymous-100%
203,66,66,32,15,17,0,82,RAREsim synonymous-100%
200,47,70,28,11,22,1,83,RAREsim synonymous-100%
196,68,65,23,20,27,0,84,RAREsim synonymous-100%
198,76,77,28,10,23,1,85,RAREsim synonymous-100%
200,76,76,34,22,18,0,86,RAREsim synonymous-100%
212,63,70,42,22,19,0,87,RAREsim synonymous-100%
208,71,66,29,19,26,1,88,RAREsim synonymous-100%
212,68,73,37,13,23,1,89,RAREsim synonymous-100%
210,72,76,34,17,19,3,90,RAREsim synonymous-100%
194,64,69,28,18,23,0,91,RAREsim synonymous-100%
