Case-Fun (O),Case-Syn (O),Control-Fun (O),Control-Syn (O),Control-Fun (E),Control-Syn (E),Control-Fun (O-E),Control-Syn (O-E),Ratio-Case,Ratio-Control,P-Value
712,403,1494,848,1424,806,70,42,1.76674937965261,1.76179245283019,0.970402079738032
671,343,1351,673,1342,686,9,-13,1.95626822157434,2.0074294205052,0.751343597802398
650,357,1345,720,1300,714,45,6,1.82072829131653,1.86805555555556,0.749843993484488
644,295,1180,671,1288,590,-108,81,2.18305084745763,1.75856929955291,0.010889381449367
644,353,1301,781,1288,706,13,75,1.82436260623229,1.66581306017926,0.256283566805689
634,359,1287,751,1268,718,19,33,1.76601671309192,1.71371504660453,0.708485592862838
639,415,1371,815,1278,830,93,-15,1.53975903614458,1.68220858895706,0.25109023674302
678,302,1344,686,1356,604,-12,82,2.24503311258278,1.95918367346939,0.10216785773016
671,379,1331,823,1342,758,-11,65,1.77044854881267,1.61725394896719,0.245657954667366
662,367,1341,735,1324,734,17,1,1.80381471389646,1.82448979591837,0.886221900535192
650,389,1340,665,1300,778,40,-113,1.67095115681234,2.01503759398496,0.0191373601965287
590,375,1358,706,1180,750,178,-44,1.57333333333333,1.92351274787535,0.0130069672798764
647,318,1358,676,1294,636,64,40,2.03459119496855,2.00887573964497,0.878318647803778
655,383,1292,807,1310,766,-18,41,1.71018276762402,1.60099132589839,0.399735188459962
653,356,1341,738,1306,712,35,26,1.83426966292135,1.81707317073171,0.906555536755182
700,305,1319,653,1400,610,-81,43,2.29508196721311,2.01990811638591,0.125705342186219
689,308,1369,654,1378,616,-9,38,2.23701298701299,2.09327217125382,0.425231304924682
706,343,1408,705,1412,686,-4,19,2.05830903790087,1.99716312056738,0.707351759079585
721,410,1358,822,1442,820,-84,2,1.75853658536585,1.65206812652068,0.410892532014388
648,346,1314,694,1296,692,18,2,1.8728323699422,1.89337175792507,0.893499905796258
634,344,1268,725,1268,688,0,37,1.84302325581395,1.74896551724138,0.52033316240358
622,309,1296,766,1244,618,52,148,2.01294498381877,1.69190600522193,0.0360387020855898
669,348,1349,767,1338,696,11,71,1.92241379310345,1.75880052151239,0.265885155598657
635,346,1224,795,1270,692,-46,103,1.83526011560694,1.53962264150943,0.0293412057004307
685,310,1290,627,1370,620,-80,7,2.20967741935484,2.05741626794258,0.3946503560153
695,350,1305,762,1390,700,-85,62,1.98571428571429,1.71259842519685,0.0630937194559347
705,386,1369,777,1410,772,-41,5,1.82642487046632,1.76190476190476,0.642970385077962
560,343,1322,674,1120,686,202,-12,1.63265306122449,1.96142433234421,0.0280670596943588
658,357,1376,702,1316,714,60,-12,1.84313725490196,1.96011396011396,0.444812237200091
717,413,1387,781,1434,826,-47,-45,1.73607748184019,1.77592829705506,0.766115255431351
699,280,1359,686,1398,560,-39,126,2.49642857142857,1.98104956268222,0.00608307302339722
719,336,1364,693,1438,672,-74,21,2.13988095238095,1.96825396825397,0.300529189709961
599,351,1243,704,1198,702,45,2,1.70655270655271,1.765625,0.678737763475819
619,410,1363,836,1238,820,125,16,1.50975609756098,1.63038277511962,0.320844029981079
652,325,1274,737,1304,650,-30,87,2.00615384615385,1.72862957937585,0.0691555376517459
634,325,1351,656,1268,650,83,6,1.95076923076923,2.0594512195122,0.514956962950642
617,390,1293,795,1234,780,59,15,1.58205128205128,1.62641509433962,0.725850964077719
663,310,1319,721,1326,620,-7,101,2.13870967741935,1.82940360610264,0.0587475251003867
630,379,1316,765,1260,758,56,7,1.6622691292876,1.7202614379085,0.665682941696622
727,354,1370,705,1454,708,-84,-3,2.05367231638418,1.94326241134752,0.487516863849637
677,331,1385,684,1354,662,31,22,2.04531722054381,2.02485380116959,0.90208044610379
676,303,1276,708,1352,606,-76,102,2.23102310231023,1.80225988700565,0.0102279052123441
700,327,1351,801,1400,654,-49,147,2.14067278287462,1.68664169787765,0.00289442609803387
629,360,1432,739,1258,720,174,19,1.74722222222222,1.93775372124493,0.19716833774517
668,269,1273,668,1336,538,-63,130,2.48327137546468,1.90568862275449,0.00207260439215697
576,323,1243,750,1152,646,91,104,1.78328173374613,1.65733333333333,0.379672695247018
609,358,1282,713,1218,716,64,-3,1.70111731843575,1.79803646563815,0.496142031767125
664,353,1388,697,1328,706,60,-9,1.88101983002833,1.99139167862267,0.479644764600341
667,396,1338,805,1334,792,4,13,1.68434343434343,1.66211180124224,0.86393755569512
697,337,1425,755,1394,674,31,81,2.06824925816024,1.88741721854305,0.252883400243057
673,421,1366,716,1346,842,20,-126,1.59857482185273,1.90782122905028,0.0225647246344543
656,396,1314,756,1312,792,2,-36,1.65656565656566,1.73809523809524,0.539833247662186
658,330,1330,643,1316,660,14,-17,1.99393939393939,2.06842923794712,0.658036609256445
722,322,1374,777,1444,644,-70,133,2.24223602484472,1.76833976833977,0.00307040384150565
719,359,1376,723,1438,718,-62,5,2.00278551532033,1.90318118948824,0.519575877614262
607,393,1250,720,1214,786,36,-66,1.54452926208651,1.73611111111111,0.143764004877358
676,342,1386,699,1352,684,34,15,1.9766081871345,1.98283261802575,0.969025634064896
658,344,1298,638,1316,688,-18,-50,1.91279069767442,2.03448275862069,0.453752090916409
666,402,1393,785,1332,804,61,-19,1.65671641791045,1.77452229299363,0.374854497141821
651,343,1287,733,1302,686,-15,47,1.89795918367347,1.75579809004093,0.336948193633777
662,352,1464,776,1324,704,140,72,1.88068181818182,1.88659793814433,0.968495550556848
640,328,1336,637,1280,656,56,-19,1.95121951219512,2.09733124018838,0.386300140120127
648,347,1305,754,1296,694,9,60,1.86743515850144,1.73076923076923,0.345843717142789
742,363,1370,689,1484,726,-114,-37,2.04407713498623,1.98838896952105,0.727377578446033
667,370,1381,749,1334,740,47,9,1.8027027027027,1.8437917222964,0.775862312420356
671,384,1323,701,1342,768,-19,-67,1.74739583333333,1.88730385164051,0.331470290258302
606,372,1247,770,1212,744,35,26,1.62903225806452,1.61948051948052,0.941573762515893
724,385,1448,691,1448,770,0,-79,1.88051948051948,2.09551374819103,0.167010934889713
698,427,1378,868,1396,854,-18,14,1.63466042154567,1.58755760368664,0.697236147280084
628,392,1323,724,1256,784,67,-60,1.60204081632653,1.82734806629834,0.0973627693346234
703,315,1313,689,1406,630,-93,59,2.23174603174603,1.90566037735849,0.0547581330461744
626,337,1274,746,1252,674,22,72,1.85756676557864,1.70777479892761,0.303253699546176
665,336,1269,720,1330,672,-61,48,1.97916666666667,1.7625,0.154395448875626
665,342,1285,705,1330,684,-45,21,1.94444444444444,1.82269503546099,0.42639746814315
620,404,1364,754,1240,808,124,-54,1.53465346534653,1.80901856763926,0.0362728166849007
689,377,1342,780,1378,754,-36,26,1.82758620689655,1.72051282051282,0.440224731048027
724,456,1370,987,1448,912,-78,75,1.58771929824561,1.38804457953394,0.0648298345617573
690,430,1256,743,1380,860,-124,-117,1.6046511627907,1.69044414535666,0.498566893026709
596,350,1315,632,1192,700,123,-68,1.70285714285714,2.08069620253165,0.0159619728196885
665,356,1308,722,1330,712,-22,10,1.86797752808989,1.81163434903047,0.703067142779732
644,343,1345,783,1288,686,57,97,1.87755102040816,1.71775223499361,0.268668586574582
681,399,1325,670,1362,798,-37,-128,1.70676691729323,1.97761194029851,0.0623146002012376
702,338,1325,602,1404,676,-79,-74,2.07692307692308,2.20099667774086,0.482056437954975
659,379,1313,720,1318,758,-5,-38,1.73878627968338,1.82361111111111,0.548917099623106
652,306,1301,653,1304,612,-3,41,2.13071895424837,1.99234303215927,0.424907253760104
608,388,1271,765,1216,776,55,-11,1.56701030927835,1.66143790849673,0.46188991932592
700,410,1250,793,1400,820,-150,-27,1.70731707317073,1.57629255989912,0.299210664945082
679,406,1409,778,1358,812,51,-34,1.67241379310345,1.81105398457584,0.301597950599637
686,335,1322,747,1372,670,-50,77,2.04776119402985,1.76974564926372,0.0703013670283183
700,357,1292,699,1400,714,-108,-15,1.96078431372549,1.8483547925608,0.461194938664495
661,360,1402,697,1322,720,80,-23,1.83611111111111,2.01147776183644,0.256319967815127
690,365,1332,730,1380,730,-48,0,1.89041095890411,1.82465753424658,0.65563448144193
657,412,1371,802,1314,824,57,-22,1.59466019417476,1.70947630922693,0.36683849861426
705,337,1275,643,1410,674,-135,-31,2.0919881305638,1.98289269051322,0.513297101343675
645,339,1311,681,1290,678,21,3,1.90265486725664,1.92511013215859,0.886308724275804
705,392,1358,749,1410,784,-52,-35,1.7984693877551,1.81308411214953,0.917076085830607
636,338,1315,626,1272,676,43,-50,1.88165680473373,2.10063897763578,0.185484446253211
636,398,1337,836,1272,796,65,40,1.59798994974874,1.59928229665072,0.991693193203522
668,363,1287,701,1336,726,-49,-25,1.84022038567493,1.83594864479315,0.976923250381966
653,408,1289,789,1306,816,-17,-27,1.60049019607843,1.63371356147022,0.791307551585664
