Gene,prox_int,prox_ext,proxW_int,proxW_ext,prox2_int,prox2_ext,prox2_all,iecat_all,skato_int,skato_ext,skato_all,skat_int,skat_ext,skat_all,burden_int,burden_ext,burden_all
ADGRE2,0.06,0.15,0.05,0.08,0.06,0.14,0.06,0.04,0.01,0.38,0.19,0.01,0.36,0.15,0.05,0.36,0.21
ADGRE3,0.05,0.06,0.01,0.08,0.05,0.06,0.05,0.04,0,0.41,0.19,0.02,0.35,0.21,0.03,0.43,0.16
ADGRE5,0.06,0.12,0.05,0.05,0.06,0.12,0.07,0.02,0.04,0.48,0.29,0.02,0.41,0.16,0.06,0.44,0.26
CLEC17A,0.07,0.08,0.04,0.04,0.04,0.07,0.04,0.03,0.1,0.28,0.21,0.07,0.27,0.15,0.11,0.22,0.17
DDX39A,0.04,0.07,0.01,0.05,0.04,0.07,0.05,0.05,0.03,0.31,0.17,0.03,0.3,0.2,0.03,0.32,0.12
DNAJB1,0.03,0.15,0.03,0.1,0.03,0.13,0.03,0.03,0.03,0.26,0.14,0.03,0.25,0.17,0.05,0.19,0.1
GIPC1,0.05,0.12,0.01,0.06,0.05,0.12,0.06,0.03,0.04,0.31,0.17,0.04,0.3,0.18,0.03,0.26,0.17
NDUFB7,0.0769230769230769,0.0612244897959184,0.0449438202247191,0.0412371134020619,0.021978021978022,0.0510204081632653,0.0202020202020202,0.01,0.07,0.17,0.11,0.05,0.21,0.12,0.05,0.18,0.11
PKN1,0.03,0.14,0.03,0.08,0.03,0.14,0.03,0,0.02,0.49,0.28,0.03,0.44,0.2,0.03,0.43,0.27
PTGER1,0.06,0.08,0.04,0.04,0.06,0.07,0.06,0.04,0.04,0.37,0.16,0.04,0.36,0.17,0.02,0.31,0.07
TECR,0.06,0.11,0.01,0.09,0.06,0.11,0.06,0.01,0.04,0.3,0.19,0.01,0.2,0.14,0.06,0.22,0.15
ZNF333,0.06,0.13,0.06,0.05,0.06,0.13,0.06,0.02,0.02,0.44,0.23,0.03,0.38,0.18,0.02,0.37,0.23
