Singletons,Doubletons,MAC.3.5,MAC.6.10,MAC.11.20,MAC.21.MAF0.5,MAF0.5.1,rep,data
468,155,145,61,29,28,0,1,RAREsim functional-99%
475,156,142,52,31,27,0,2,RAREsim functional-99%
475,155,144,56,30,27,0,3,RAREsim functional-99%
472,147,143,52,26,27,0,4,RAREsim functional-99%
468,147,141,57,30,27,0,5,RAREsim functional-99%
480,156,143,62,28,24,0,6,RAREsim functional-99%
480,155,143,58,31,25,0,7,RAREsim functional-99%
477,153,137,54,30,27,0,8,RAREsim functional-99%
481,153,139,61,31,25,0,9,RAREsim functional-99%
476,153,141,59,32,26,0,10,RAREsim functional-99%
485,151,143,59,29,26,0,11,RAREsim functional-99%
477,147,144,59,28,27,0,12,RAREsim functional-99%
469,147,142,60,30,27,0,13,RAREsim functional-99%
478,152,145,58,26,27,0,14,RAREsim functional-99%
475,148,144,56,30,29,0,15,RAREsim functional-99%
476,155,141,57,27,28,0,16,RAREsim functional-99%
477,150,144,61,33,28,0,17,RAREsim functional-99%
481,150,144,60,31,27,0,18,RAREsim functional-99%
478,152,138,60,25,28,0,19,RAREsim functional-99%
457,148,144,61,30,27,0,20,RAREsim functional-99%
458,152,145,55,25,29,0,21,RAREsim functional-99%
479,158,141,59,28,27,0,22,RAREsim functional-99%
483,147,133,60,29,29,0,23,RAREsim functional-99%
468,152,143,58,29,21,0,24,RAREsim functional-99%
475,152,142,57,29,29,0,25,RAREsim functional-99%
468,156,138,59,31,27,0,26,RAREsim functional-99%
475,151,143,59,30,27,1,27,RAREsim functional-99%
473,151,142,57,29,26,0,28,RAREsim functional-99%
476,155,138,59,29,26,0,29,RAREsim functional-99%
474,156,142,60,33,27,0,30,RAREsim functional-99%
479,155,143,59,30,28,0,31,RAREsim functional-99%
475,152,140,52,30,24,0,32,RAREsim functional-99%
476,154,140,59,30,21,0,33,RAREsim functional-99%
476,153,142,58,28,27,0,34,RAREsim functional-99%
475,155,148,58,27,26,0,35,RAREsim functional-99%
467,151,144,54,31,26,0,36,RAREsim functional-99%
477,149,141,58,31,23,0,37,RAREsim functional-99%
478,153,139,59,28,23,0,38,RAREsim functional-99%
477,154,139,56,31,24,0,39,RAREsim functional-99%
479,147,144,60,29,28,0,40,RAREsim functional-99%
469,151,142,59,30,27,0,41,RAREsim functional-99%
478,150,147,59,26,26,0,42,RAREsim functional-99%
473,149,145,59,31,26,0,43,RAREsim functional-99%
474,149,143,55,30,28,0,44,RAREsim functional-99%
479,152,141,58,30,27,0,45,RAREsim functional-99%
477,147,144,58,29,27,0,46,RAREsim functional-99%
480,152,142,58,28,27,0,47,RAREsim functional-99%
476,153,146,62,30,24,0,48,RAREsim functional-99%
469,155,138,61,30,26,0,49,RAREsim functional-99%
474,147,144,59,27,29,0,50,RAREsim functional-99%
476,149,144,54,31,28,1,51,RAREsim functional-99%
468,151,142,55,30,23,0,52,RAREsim functional-99%
475,152,140,59,27,30,0,53,RAREsim functional-99%
474,149,142,58,28,27,0,54,RAREsim functional-99%
476,152,142,59,29,27,0,55,RAREsim functional-99%
476,141,135,57,31,22,0,56,RAREsim functional-99%
476,153,143,54,31,27,0,57,RAREsim functional-99%
466,149,144,59,30,27,0,58,RAREsim functional-99%
480,145,140,60,28,27,0,59,RAREsim functional-99%
472,149,139,58,31,28,0,60,RAREsim functional-99%
476,143,143,61,30,28,0,61,RAREsim functional-99%
477,155,143,58,30,27,0,62,RAREsim functional-99%
470,152,143,57,31,23,0,63,RAREsim functional-99%
479,151,144,60,30,25,0,64,RAREsim functional-99%
475,148,141,58,32,27,0,65,RAREsim functional-99%
472,153,139,56,29,23,0,66,RAREsim functional-99%
467,153,133,57,21,27,0,67,RAREsim functional-99%
477,148,142,60,31,29,1,68,RAREsim functional-99%
475,156,137,58,29,28,0,69,RAREsim functional-99%
477,152,143,55,32,24,0,70,RAREsim functional-99%
471,154,144,56,26,28,1,71,RAREsim functional-99%
478,150,138,55,29,23,0,72,RAREsim functional-99%
478,153,143,59,30,24,0,73,RAREsim functional-99%
482,152,144,61,30,23,0,74,RAREsim functional-99%
477,152,146,61,31,26,0,75,RAREsim functional-99%
476,153,145,59,32,25,0,76,RAREsim functional-99%
474,153,140,60,29,24,0,77,RAREsim functional-99%
475,153,136,57,30,24,0,78,RAREsim functional-99%
462,153,139,59,32,25,0,79,RAREsim functional-99%
475,151,146,53,27,28,0,80,RAREsim functional-99%
477,153,144,58,31,23,0,81,RAREsim functional-99%
477,156,143,60,29,26,0,82,RAREsim functional-99%
477,152,142,58,31,25,0,83,RAREsim functional-99%
473,149,129,60,30,29,0,84,RAREsim functional-99%
475,154,140,56,30,22,0,85,RAREsim functional-99%
478,150,146,59,30,23,0,86,RAREsim functional-99%
471,152,144,59,31,24,0,87,RAREsim functional-99%
479,154,140,59,30,26,0,88,RAREsim functional-99%
476,153,144,58,29,26,0,89,RAREsim functional-99%
476,153,142,58,32,29,0,90,RAREsim functional-99%
477,153,136,57,31,26,0,91,RAREsim functional-99%
470,155,143,58,31,27,0,92,RAREsim functional-99%
473,147,142,60,30,25,0,93,RAREsim functional-99%
472,147,142,58,25,25,0,94,RAREsim functional-99%
477,143,143,56,29,23,0,95,RAREsim functional-99%
478,151,143,60,29,23,0,96,RAREsim functional-99%
477,153,145,58,30,27,0,97,RAREsim functional-99%
476,154,136,58,30,22,0,98,RAREsim functional-99%
475,149,145,60,27,26,0,99,RAREsim functional-99%
476,155,131,63,27,27,0,100,RAREsim functional-99%
