Singletons,Doubletons,MAC.3.5,MAC.6.10,MAC.11.20,MAC.21.MAF0.5,MAF0.5.1,rep,data
193,68,66,32,17,18,0,1,RAREsim synonymous-99%
200,65,71,31,15,20,0,2,RAREsim synonymous-99%
205,61,64,31,15,22,1,3,RAREsim synonymous-99%
202,63,68,27,18,16,0,4,RAREsim synonymous-99%
204,65,65,31,17,17,1,5,RAREsim synonymous-99%
201,65,56,29,19,18,0,6,RAREsim synonymous-99%
199,65,72,26,18,19,0,7,RAREsim synonymous-99%
202,65,71,28,11,21,0,8,RAREsim synonymous-99%
202,70,62,31,16,17,1,9,RAREsim synonymous-99%
203,61,66,28,18,14,1,10,RAREsim synonymous-99%
204,64,66,30,19,19,0,11,RAREsim synonymous-99%
203,65,65,31,14,20,1,12,RAREsim synonymous-99%
203,68,68,32,11,18,0,13,RAREsim synonymous-99%
204,67,62,28,18,22,0,14,RAREsim synonymous-99%
202,68,67,32,18,19,0,15,RAREsim synonymous-99%
198,65,62,28,17,18,1,16,RAREsim synonymous-99%
203,67,67,33,14,17,0,17,RAREsim synonymous-99%
201,72,63,27,17,18,0,18,RAREsim synonymous-99%
195,63,64,26,19,21,0,19,RAREsim synonymous-99%
193,66,59,31,17,20,0,20,RAREsim synonymous-99%
202,69,67,32,13,18,0,21,RAREsim synonymous-99%
197,64,67,34,17,15,0,22,RAREsim synonymous-99%
203,63,69,32,18,22,0,23,RAREsim synonymous-99%
205,67,69,29,13,18,0,24,RAREsim synonymous-99%
206,70,67,21,18,19,1,25,RAREsim synonymous-99%
198,71,66,30,21,21,1,26,RAREsim synonymous-99%
195,66,63,30,15,20,0,27,RAREsim synonymous-99%
205,65,63,31,19,19,0,28,RAREsim synonymous-99%
203,72,60,29,13,19,0,29,RAREsim synonymous-99%
202,69,71,31,14,21,0,30,RAREsim synonymous-99%
205,67,67,30,15,18,0,31,RAREsim synonymous-99%
203,63,67,29,15,20,1,32,RAREsim synonymous-99%
204,62,61,30,16,17,0,33,RAREsim synonymous-99%
205,67,69,33,13,23,0,34,RAREsim synonymous-99%
200,70,70,29,19,14,1,35,RAREsim synonymous-99%
203,68,61,27,17,14,1,36,RAREsim synonymous-99%
200,64,67,33,20,19,0,37,RAREsim synonymous-99%
197,67,68,34,16,23,0,38,RAREsim synonymous-99%
196,61,69,30,20,22,1,39,RAREsim synonymous-99%
197,67,55,33,20,20,0,40,RAREsim synonymous-99%
197,70,72,30,17,20,0,41,RAREsim synonymous-99%
201,61,74,24,21,17,0,42,RAREsim synonymous-99%
200,70,59,28,18,20,0,43,RAREsim synonymous-99%
197,68,69,34,17,18,0,44,RAREsim synonymous-99%
200,63,62,31,18,16,0,45,RAREsim synonymous-99%
206,66,68,27,20,20,0,46,RAREsim synonymous-99%
202,66,68,34,20,17,0,47,RAREsim synonymous-99%
202,61,69,35,16,21,0,48,RAREsim synonymous-99%
201,71,61,28,16,20,0,49,RAREsim synonymous-99%
206,66,69,31,15,18,1,50,RAREsim synonymous-99%
201,63,68,32,20,20,0,51,RAREsim synonymous-99%
186,70,71,32,19,18,0,52,RAREsim synonymous-99%
194,66,68,31,17,20,0,53,RAREsim synonymous-99%
199,66,69,32,20,18,0,54,RAREsim synonymous-99%
190,67,70,26,18,21,0,55,RAREsim synonymous-99%
203,68,63,31,15,24,1,56,RAREsim synonymous-99%
196,68,74,28,9,20,0,57,RAREsim synonymous-99%
202,66,63,26,20,19,0,58,RAREsim synonymous-99%
198,63,70,36,21,21,1,59,RAREsim synonymous-99%
205,69,71,32,19,19,0,60,RAREsim synonymous-99%
201,66,64,33,18,19,0,61,RAREsim synonymous-99%
200,69,69,29,15,21,1,62,RAREsim synonymous-99%
203,71,70,33,17,22,0,63,RAREsim synonymous-99%
202,68,66,31,18,20,0,64,RAREsim synonymous-99%
202,68,63,29,19,19,0,65,RAREsim synonymous-99%
206,68,70,29,20,19,0,66,RAREsim synonymous-99%
201,63,69,32,20,24,0,67,RAREsim synonymous-99%
192,61,70,28,18,19,0,68,RAREsim synonymous-99%
202,68,66,31,22,18,1,69,RAREsim synonymous-99%
201,63,61,30,18,20,0,70,RAREsim synonymous-99%
196,70,64,31,19,19,1,71,RAREsim synonymous-99%
191,65,70,33,14,20,0,72,RAREsim synonymous-99%
203,65,66,33,18,19,0,73,RAREsim synonymous-99%
202,67,71,30,19,13,0,74,RAREsim synonymous-99%
202,68,67,30,20,21,0,75,RAREsim synonymous-99%
203,69,70,30,16,19,0,76,RAREsim synonymous-99%
203,69,73,32,18,23,0,77,RAREsim synonymous-99%
204,68,63,32,18,22,1,78,RAREsim synonymous-99%
202,68,58,28,17,20,0,79,RAREsim synonymous-99%
203,68,67,28,19,20,0,80,RAREsim synonymous-99%
203,66,63,28,19,20,0,81,RAREsim synonymous-99%
202,66,66,32,15,17,0,82,RAREsim synonymous-99%
200,47,70,28,11,19,0,83,RAREsim synonymous-99%
196,68,65,23,17,17,0,84,RAREsim synonymous-99%
198,64,69,28,10,20,1,85,RAREsim synonymous-99%
200,67,71,30,18,18,0,86,RAREsim synonymous-99%
200,63,69,32,18,19,0,87,RAREsim synonymous-99%
200,68,66,29,19,21,1,88,RAREsim synonymous-99%
202,68,68,31,13,20,0,89,RAREsim synonymous-99%
203,67,70,33,17,19,0,90,RAREsim synonymous-99%
194,64,69,28,18,22,0,91,RAREsim synonymous-99%
200,69,70,32,14,20,0,92,RAREsim synonymous-99%
202,67,69,33,17,18,0,93,RAREsim synonymous-99%
193,69,66,26,16,21,0,94,RAREsim synonymous-99%
203,70,65,29,16,16,1,95,RAREsim synonymous-99%
199,68,70,33,14,21,0,96,RAREsim synonymous-99%
203,65,68,29,19,18,0,97,RAREsim synonymous-99%
201,69,69,31,15,15,1,98,RAREsim synonymous-99%
201,69,63,31,19,20,1,99,RAREsim synonymous-99%
202,64,71,31,14,22,0,100,RAREsim synonymous-99%
