Case-Fun (O),Case-Syn (O),Control-Fun (O),Control-Syn (O),Control-Fun (E),Control-Syn (E),Control-Fun (O-E),Control-Syn (O-E),Ratio-Case,Ratio-Control,P-Value
731,468,1333,845,1447.38,926.64,-114.38,-81.64,1.561965812,1.577514793,0.893159889
669,416,1406,866,1324.62,823.68,81.38,42.32,1.608173077,1.623556582,0.900226247
688,419,1372,832,1362.24,829.62,9.76,2.38,1.642004773,1.649038462,0.95513123
761,487,1462,958,1506.78,964.26,-44.78,-6.26,1.562628337,1.526096033,0.740265789
684,416,1441,868,1354.32,823.68,86.68,44.32,1.644230769,1.660138249,0.898640636
705,484,1392,803,1395.9,958.32,-3.9,-155.32,1.45661157,1.733499377,0.018552417
667,444,1451,671,1320.66,879.12,130.34,-208.12,1.502252252,2.162444113,2.40E-06
778,466,1476,853,1540.44,922.68,-64.44,-69.68,1.669527897,1.730363423,0.622521054
772,412,1470,727,1528.56,815.76,-58.56,-88.76,1.873786408,2.022008253,0.317113762
673,434,1332,758,1332.54,859.32,-0.54,-101.32,1.550691244,1.757255937,0.102785761
711,554,1426,876,1407.78,1096.92,18.22,-220.92,1.283393502,1.627853881,0.0008362
708,424,1259,790,1401.84,839.52,-142.84,-49.52,1.669811321,1.593670886,0.540845155
728,518,1339,793,1441.44,1025.64,-102.44,-232.64,1.405405405,1.68852459,0.011891485
712,500,1386,863,1409.76,990,-23.76,-127,1.424,1.606025492,0.098304095
694,452,1407,835,1374.12,894.96,32.88,-59.96,1.53539823,1.68502994,0.212875755
711,487,1334,843,1407.78,964.26,-73.78,-121.26,1.459958932,1.582443654,0.27308317
682,408,1407,786,1350.36,807.84,56.64,-21.84,1.671568627,1.790076336,0.372990274
739,506,1489,884,1463.22,1001.88,25.78,-117.88,1.460474308,1.68438914,0.046749278
782,376,1409,741,1548.36,744.48,-139.36,-3.48,2.079787234,1.90148448,0.246346939
646,472,1420,776,1279.08,934.56,140.92,-158.56,1.368644068,1.829896907,0.000116706
714,395,1442,863,1413.72,782.1,28.28,80.9,1.807594937,1.670915411,0.300577888
811,521,1440,853,1605.78,1031.58,-165.78,-178.58,1.556621881,1.688159437,0.252544395
658,438,1418,868,1302.84,867.24,115.16,0.76,1.502283105,1.633640553,0.265655069
713,444,1414,856,1411.74,879.12,2.26,-23.12,1.605855856,1.651869159,0.704126666
693,466,1465,833,1372.14,922.68,92.86,-89.68,1.487124464,1.758703481,0.023590029
696,416,1403,815,1378.08,823.68,24.92,-8.68,1.673076923,1.721472393,0.707723362
670,419,1291,844,1326.6,829.62,-35.6,14.38,1.599045346,1.529620853,0.561087956
675,413,1400,850,1336.5,817.74,63.5,32.26,1.634382567,1.647058824,0.919158466
727,441,1410,831,1439.46,873.18,-29.46,-42.18,1.648526077,1.696750903,0.698980023
661,443,1417,823,1308.78,877.14,108.22,-54.14,1.492099323,1.721749696,0.058116408
725,433,1360,759,1435.5,857.34,-75.5,-98.34,1.674364896,1.791831357,0.371260516
707,422,1425,862,1399.86,835.56,25.14,26.44,1.67535545,1.653132251,0.858918872
747,431,1405,849,1479.06,853.38,-74.06,-4.38,1.733178654,1.654888104,0.53462412
743,463,1454,948,1471.14,916.74,-17.14,31.26,1.60475162,1.533755274,0.531987192
806,471,1384,834,1595.88,932.58,-211.88,-98.58,1.711252654,1.659472422,0.672447906
646,481,1309,795,1279.08,952.38,29.92,-157.38,1.343035343,1.646540881,0.006781053
724,514,1249,879,1433.52,1017.72,-184.52,-138.72,1.408560311,1.420932878,0.904072142
712,477,1400,860,1409.76,944.46,-9.76,-84.46,1.492662474,1.627906977,0.237321028
672,484,1345,872,1330.56,958.32,14.44,-86.32,1.388429752,1.542431193,0.154346735
656,430,1443,788,1298.88,851.4,144.12,-63.4,1.525581395,1.831218274,0.016828289
671,469,1298,936,1328.58,928.62,-30.58,7.38,1.430703625,1.386752137,0.672774751
749,426,1509,914,1483.02,843.48,25.98,70.52,1.758215962,1.650984683,0.393043817
650,489,1458,858,1287,968.22,171,-110.22,1.329243354,1.699300699,0.000881572
731,472,1272,926,1447.38,934.56,-175.38,-8.56,1.548728814,1.373650108,0.100613074
705,391,1428,714,1395.9,774.18,32.1,-60.18,1.803069054,2,0.184274704
721,459,1421,861,1427.58,908.82,-6.58,-47.82,1.5708061,1.650406504,0.502600432
639,401,1452,783,1265.22,793.98,186.78,-10.98,1.593516209,1.85440613,0.051232065
719,441,1411,829,1423.62,873.18,-12.62,-44.18,1.630385488,1.702050663,0.564678512
746,438,1380,756,1477.08,867.24,-97.08,-111.24,1.703196347,1.825396825,0.357903429
683,397,1344,788,1352.34,786.06,-8.34,1.94,1.720403023,1.705583756,0.911032621
711,385,1367,778,1407.78,762.3,-40.78,15.7,1.846753247,1.757069409,0.520810953
638,465,1314,892,1263.24,920.7,50.76,-28.7,1.372043011,1.47309417,0.342588973
655,499,1327,871,1296.9,988.02,30.1,-117.02,1.312625251,1.523536165,0.043410379
710,439,1509,771,1405.8,869.22,103.2,-98.22,1.617312073,1.957198444,0.01131218
715,405,1387,792,1415.7,801.9,-28.7,-9.9,1.765432099,1.751262626,0.916090193
705,421,1397,842,1395.9,833.58,1.1,8.42,1.674584323,1.659144893,0.902318995
685,441,1425,784,1356.3,873.18,68.7,-89.18,1.553287982,1.817602041,0.037797094
709,477,1368,959,1403.82,944.46,-35.82,14.54,1.486373166,1.426485923,0.571270082
756,549,1408,861,1496.88,1087.02,-88.88,-226.02,1.37704918,1.635307782,0.015328465
711,479,1449,806,1407.78,948.42,41.22,-142.42,1.48434238,1.797766749,0.009415886
647,405,1398,804,1281.06,801.9,116.94,2.1,1.597530864,1.73880597,0.273448109
778,461,1419,838,1540.44,912.78,-121.44,-74.78,1.687635575,1.693317422,0.963358912
673,372,1368,726,1332.54,736.56,35.46,-10.56,1.809139785,1.884297521,0.607809049
761,374,1398,758,1506.78,740.52,-108.78,17.48,2.034759358,1.844327177,0.204615994
705,424,1436,723,1395.9,839.52,40.1,-116.52,1.662735849,1.986168741,0.020459928
731,392,1514,781,1447.38,776.16,66.62,4.84,1.864795918,1.938540333,0.612638567
722,432,1397,819,1429.56,855.36,-32.56,-36.36,1.671296296,1.705738706,0.78590751
707,489,1353,866,1399.86,968.22,-46.86,-102.22,1.445807771,1.562355658,0.289650448
753,436,1376,876,1490.94,863.28,-114.94,12.72,1.72706422,1.570776256,0.199871225
687,394,1379,822,1360.26,780.12,18.74,41.88,1.743654822,1.677615572,0.616047218
694,404,1369,707,1374.12,799.92,-5.12,-92.92,1.717821782,1.936350778,0.124584692
674,480,1372,891,1334.52,950.4,37.48,-59.4,1.404166667,1.539842873,0.210546081
692,441,1373,857,1370.16,873.18,2.84,-16.18,1.569160998,1.60210035,0.78151408
758,473,1361,894,1500.84,936.54,-139.84,-42.54,1.602536998,1.522371365,0.480049367
747,410,1476,819,1479.06,811.8,-3.06,7.2,1.82195122,1.802197802,0.884934991
706,450,1459,834,1397.88,891,61.12,-57,1.568888889,1.74940048,0.143312335
691,461,1424,897,1368.18,912.78,55.82,-15.78,1.498915401,1.587513935,0.436221067
724,394,1328,764,1433.52,780.12,-105.52,-16.12,1.837563452,1.738219895,0.47197964
706,403,1403,711,1397.88,797.94,5.12,-86.94,1.751861042,1.973277075,0.125545416
674,447,1274,895,1334.52,885.06,-60.52,9.94,1.507829978,1.423463687,0.44228999
718,496,1336,868,1421.64,982.08,-85.64,-114.08,1.447580645,1.539170507,0.400057188
660,445,1331,886,1306.8,881.1,24.2,4.9,1.483146067,1.502257336,0.864675909
650,457,1419,924,1287,904.86,132,19.14,1.422319475,1.535714286,0.301964494
755,400,1445,745,1494.9,792,-49.9,-47,1.8875,1.939597315,0.722170241
757,431,1374,745,1498.86,853.38,-124.86,-108.38,1.75638051,1.844295302,0.518345664
736,379,1412,846,1457.28,750.42,-45.28,95.58,1.941952507,1.669030733,0.047755607
750,435,1394,841,1485,861.3,-91,-20.3,1.724137931,1.657550535,0.596445314
703,428,1453,876,1391.94,847.44,61.06,28.56,1.642523364,1.658675799,0.895867535
712,422,1369,865,1409.76,835.56,-40.76,29.44,1.687203791,1.58265896,0.394787037
706,451,1419,891,1397.88,892.98,21.12,-1.98,1.5654102,1.592592593,0.815827261
695,355,1396,776,1376.1,702.9,19.9,73.1,1.957746479,1.798969072,0.284304059
758,492,1406,968,1500.84,974.16,-94.84,-6.16,1.540650407,1.452479339,0.408752459
