Case-Fun (O),Case-Syn (O),Control-Fun (O),Control-Syn (O),Control-Fun (E),Control-Syn (E),Control-Fun (O-E),Control-Syn (O-E),Ratio-Case,Ratio-Control,P-Value
596,272,1243,582,1192,544,51,38,2.19117647058824,2.13573883161512,0.772658117343585
517,293,1044,555,1034,586,10,-31,1.76450511945393,1.88108108108108,0.477776867064608
470,295,1022,606,940,590,82,16,1.59322033898305,1.68646864686469,0.52887888641454
550,227,1005,545,1100,454,-95,91,2.42290748898678,1.84403669724771,0.00385924216030888
509,263,1014,581,1018,526,-4,55,1.93536121673004,1.74526678141136,0.260457325860717
548,285,1068,591,1096,570,-28,21,1.92280701754386,1.80710659898477,0.48625960862928
521,305,1095,629,1042,610,53,19,1.70819672131148,1.74085850556439,0.829171400014306
560,247,1130,591,1120,494,10,97,2.26720647773279,1.91201353637902,0.0620791884130781
546,277,1091,624,1092,554,-1,70,1.97111913357401,1.74839743589744,0.177960851468463
536,287,1141,576,1072,574,69,2,1.86759581881533,1.98090277777778,0.509636058710893
521,316,1043,550,1042,632,1,-82,1.64873417721519,1.89636363636364,0.115101282622773
501,289,1130,535,1002,578,128,-43,1.73356401384083,2.11214953271028,0.0297308608421402
548,264,1141,592,1096,528,45,64,2.07575757575758,1.92736486486487,0.411360894193718
542,298,1067,606,1084,596,-17,10,1.81879194630872,1.76072607260726,0.712980437973519
528,303,1068,618,1056,606,12,12,1.74257425742574,1.72815533980583,0.92478919927799
577,269,1082,550,1154,538,-72,12,2.14498141263941,1.96727272727273,0.33851120144408
522,266,1076,566,1044,532,32,34,1.96240601503759,1.90106007067138,0.72834151642396
547,303,1104,596,1094,606,10,-10,1.80528052805281,1.85234899328859,0.769546302568875
608,322,1116,610,1216,644,-100,-34,1.88819875776398,1.82950819672131,0.711296579623823
547,264,1143,508,1094,528,49,-20,2.0719696969697,2.25,0.370884373312573
522,266,994,587,1044,532,-50,55,1.96240601503759,1.69335604770017,0.106325847063908
522,248,1082,614,1044,496,38,118,2.10483870967742,1.76221498371336,0.05298969104769
507,298,1059,651,1014,596,45,55,1.70134228187919,1.62672811059908,0.61154181849521
540,261,1018,623,1080,522,-62,101,2.06896551724138,1.63402889245586,0.00910000415369979
542,258,1059,552,1084,516,-25,36,2.10077519379845,1.91847826086957,0.32326173983705
549,285,991,632,1098,570,-107,62,1.92631578947368,1.56803797468354,0.0202953670611877
547,295,1050,589,1094,590,-44,-1,1.85423728813559,1.78268251273345,0.657079321938988
464,293,1108,561,928,586,180,-25,1.58361774744027,1.97504456327986,0.0153379454402843
543,245,1092,513,1086,490,6,23,2.21632653061224,2.12865497076023,0.666530835910875
599,317,1146,615,1198,634,-52,-19,1.88958990536278,1.86341463414634,0.870481048140626
569,235,1061,559,1138,470,-77,89,2.42127659574468,1.89803220035778,0.00879153290654007
542,283,1035,552,1084,566,-49,-14,1.91519434628975,1.875,0.814255996978373
482,284,986,586,964,568,22,18,1.69718309859155,1.68259385665529,0.924568186387127
464,332,1018,644,928,664,90,-20,1.39759036144578,1.58074534161491,0.161043181255125
558,283,1054,633,1116,566,-62,67,1.97173144876325,1.6650868878357,0.055672270773623
490,228,1073,470,980,456,93,14,2.14912280701754,2.28297872340426,0.535559232258176
472,306,997,636,944,612,53,24,1.54248366013072,1.56761006289308,0.856328366039767
533,244,1072,554,1066,488,6,66,2.1844262295082,1.93501805054152,0.192753834757974
518,290,1078,593,1036,580,42,13,1.78620689655172,1.81787521079258,0.844205971200698
592,299,1139,595,1184,598,-45,-3,1.97993311036789,1.91428571428571,0.698602866614744
575,277,1176,565,1150,554,26,11,2.07581227436823,2.08141592920354,0.975910200401801
576,262,1053,602,1152,524,-99,78,2.19847328244275,1.74916943521595,0.0109808740732533
575,253,1116,625,1150,506,-34,119,2.27272727272727,1.7856,0.00731897306777416
518,287,1151,585,1036,574,115,11,1.80487804878049,1.96752136752137,0.335214782131332
526,237,981,597,1052,474,-71,123,2.21940928270042,1.64321608040201,0.00126019915030437
451,271,979,618,902,542,77,76,1.66420664206642,1.58414239482201,0.593521926976118
465,297,965,566,930,594,35,-28,1.56565656565657,1.70494699646643,0.350611352914782
518,301,1074,596,1036,602,38,-6,1.72093023255814,1.80201342281879,0.603836030454318
524,273,1075,529,1048,546,27,-17,1.91941391941392,2.03213610586011,0.533714887252051
519,256,1013,597,1038,512,-25,85,2.02734375,1.69681742043551,0.052605107513278
550,309,1061,560,1100,618,-39,-58,1.77993527508091,1.89464285714286,0.479367643666436
504,297,1030,546,1008,594,22,-48,1.6969696969697,1.88644688644689,0.241757250124377
536,271,1046,528,1072,542,-26,-14,1.97785977859779,1.98106060606061,0.985928688664625
534,275,999,662,1068,550,-69,112,1.94181818181818,1.50906344410876,0.00466233196213274
566,290,1124,604,1132,580,-8,24,1.95172413793103,1.86092715231788,0.588335312548581
508,275,1065,529,1016,550,49,-21,1.84727272727273,2.01323251417769,0.349549956702695
534,265,1050,552,1068,530,-18,22,2.01509433962264,1.90217391304348,0.529001102892992
550,318,1057,580,1100,636,-43,-56,1.72955974842767,1.82241379310345,0.549740448825671
554,282,1171,551,1108,564,63,-13,1.9645390070922,2.12522686025408,0.380670923029511
