Case-Fun (O),Case-Syn (O),Control-Fun (O),Control-Syn (O),Control-Fun (E),Control-Syn (E),Control-Fun (O-E),Control-Syn (O-E),Ratio-Case,Ratio-Control,P-Value
731,468,1333,845,1447.38,926.64,-114.38,-81.64,1.56196581196581,1.57751479289941,0.893159888812427
669,416,1406,866,1324.62,823.68,81.3800000000001,42.3200000000001,1.60817307692308,1.62355658198614,0.900226246956392
688,419,1372,832,1362.24,829.62,9.75999999999999,2.38,1.64200477326969,1.64903846153846,0.955131229552168
761,487,1462,958,1506.78,964.26,-44.78,-6.25999999999999,1.56262833675565,1.52609603340292,0.740265789458917
684,416,1441,868,1354.32,823.68,86.6800000000001,44.3200000000001,1.64423076923077,1.66013824884793,0.898640635672644
705,484,1392,803,1395.9,958.32,-3.90000000000009,-155.32,1.45661157024793,1.73349937733499,0.0185524168955294
667,444,1451,671,1320.66,879.12,130.34,-208.12,1.50225225225225,2.16244411326379,2.39791477936915e-06
778,466,1476,853,1540.44,922.68,-64.4400000000001,-69.68,1.66952789699571,1.73036342321219,0.622521054447871
772,412,1470,727,1528.56,815.76,-58.56,-88.76,1.87378640776699,2.02200825309491,0.317113761536674
673,434,1332,758,1332.54,859.32,-0.539999999999964,-101.32,1.55069124423963,1.75725593667546,0.102785760504146
711,554,1426,876,1407.78,1096.92,18.22,-220.92,1.28339350180505,1.62785388127854,0.000836200284811384
708,424,1259,790,1401.84,839.52,-142.84,-49.52,1.66981132075472,1.59367088607595,0.540845155198948
728,518,1339,793,1441.44,1025.64,-102.44,-232.64,1.40540540540541,1.68852459016393,0.0118914854476123
712,500,1386,863,1409.76,990,-23.76,-127,1.424,1.60602549246813,0.0983040945254339
694,452,1407,835,1374.12,894.96,32.8800000000001,-59.96,1.5353982300885,1.68502994011976,0.212875755038983
711,487,1334,843,1407.78,964.26,-73.78,-121.26,1.45995893223819,1.58244365361803,0.273083169840261
682,408,1407,786,1350.36,807.84,56.6400000000001,-21.84,1.67156862745098,1.79007633587786,0.372990273911447
739,506,1489,884,1463.22,1001.88,25.78,-117.88,1.4604743083004,1.68438914027149,0.046749277969739
782,376,1409,741,1548.36,744.48,-139.36,-3.48000000000002,2.07978723404255,1.90148448043185,0.246346939309768
646,472,1420,776,1279.08,934.56,140.92,-158.56,1.36864406779661,1.82989690721649,0.000116705988832864
714,395,1442,863,1413.72,782.1,28.28,80.9,1.80759493670886,1.67091541135574,0.300577887501658
811,521,1440,853,1605.78,1031.58,-165.78,-178.58,1.55662188099808,1.68815943728019,0.252544395170962
658,438,1418,868,1302.84,867.24,115.16,0.759999999999991,1.50228310502283,1.63364055299539,0.26565506922578
