Case-Fun (O),Case-Syn (O),Control-Fun (O),Control-Syn (O),Control-Fun (E),Control-Syn (E),Control-Fun (O-E),Control-Syn (O-E),Ratio-Case,Ratio-Control,P-Value
712,403,1243,582,1139.2,644.8,103.8,-62.8000000000001,1.76674937965261,2.13573883161512,0.0180178385655521
671,343,1044,555,1073.6,548.8,-29.6000000000001,6.19999999999993,1.95626822157434,1.88108108108108,0.643204376155194
650,357,1022,606,1040,571.2,-18,34.8,1.82072829131653,1.68646864686469,0.358364285947769
644,295,1005,545,1030.4,472,-25.4000000000001,73,2.18305084745763,1.84403669724771,0.054877532639377
644,353,1014,581,1030.4,564.8,-16.4000000000001,16.1999999999999,1.82436260623229,1.74526678141136,0.598504972762587
634,359,1068,591,1014.4,574.4,53.5999999999999,16.6,1.76601671309192,1.80710659898477,0.783309127553418
639,415,1095,629,1022.4,664,72.5999999999999,-35,1.53975903614458,1.74085850556439,0.127561622435749
678,302,1130,591,1084.8,483.2,45.2000000000001,107.8,2.24503311258278,1.91201353637902,0.0605186923079986
671,379,1091,624,1073.6,606.4,17.3999999999999,17.6,1.77044854881267,1.74839743589744,0.877816071745161
662,367,1141,576,1059.2,587.2,81.8,-11.2,1.80381471389646,1.98090277777778,0.258257903041009
650,389,1043,550,1040,622.4,3,-72.4000000000001,1.67095115681234,1.89636363636364,0.12762506911679
590,375,1130,535,944,600,186,-65,1.57333333333333,2.11214953271028,0.000493982617161697
647,318,1141,592,1035.2,508.8,105.8,83.2,2.03459119496855,1.92736486486487,0.524662449383927
655,383,1067,606,1048,612.8,19,-6.80000000000007,1.71018276762402,1.76072607260726,0.722541136955348
653,356,1068,618,1044.8,569.6,23.2,48.4,1.83426966292135,1.72815533980583,0.47262027230459
700,305,1082,550,1120,488,-38,62,2.29508196721311,1.96727272727273,0.0733769972913499
689,308,1076,566,1102.4,492.8,-26.4000000000001,73.2,2.23701298701299,1.90106007067138,0.057716415474232
706,343,1104,596,1129.6,548.8,-25.6000000000001,47.1999999999999,2.05830903790087,1.85234899328859,0.204157052642293
721,410,1116,610,1153.6,656,-37.6000000000001,-46,1.75853658536585,1.82950819672131,0.619975304808439
648,346,1143,508,1036.8,553.6,106.2,-45.6,1.8728323699422,2.25,0.0318110953375544
634,344,994,587,1014.4,550.4,-20.4000000000001,36.6,1.84302325581395,1.69335604770017,0.317493135259391
622,309,1082,614,995.2,494.4,86.8,119.6,2.01294498381877,1.76221498371336,0.121056970378418
669,348,1059,651,1070.4,556.8,-11.4000000000001,94.1999999999999,1.92241379310345,1.62672811059908,0.0430585242372679
635,346,1018,623,1016,553.6,2,69.4,1.83526011560694,1.63402889245586,0.166021395569003
685,310,1059,552,1096,496,-37,56,2.20967741935484,1.91847826086957,0.100588714860708
695,350,991,632,1112,560,-121,72,1.98571428571429,1.56803797468354,0.00429905991184348
705,386,1050,589,1128,617.6,-78,-28.6,1.82642487046632,1.78268251273345,0.766367636809434
560,343,1108,561,896,548.8,212,12.1999999999999,1.63265306122449,1.97504456327986,0.0270460540889835
658,357,1092,513,1052.8,571.2,39.2000000000001,-58.2000000000001,1.84313725490196,2.12865497076023,0.089758404067808
717,413,1146,615,1147.2,660.8,-1.20000000000005,-45.8000000000001,1.73607748184019,1.86341463414634,0.373372674006671
699,280,1061,559,1118.4,448,-57.4000000000001,111,2.49642857142857,1.89803220035778,0.00172195788955607
719,336,1035,552,1150.4,537.6,-115.4,14.4,2.13988095238095,1.875,0.117303110284524
599,351,986,586,958.4,561.6,27.5999999999999,24.4,1.70655270655271,1.68259385665529,0.867998001836603
619,410,1018,644,990.4,656,27.5999999999999,-12,1.50975609756098,1.58074534161491,0.571507660725027
652,325,1054,633,1043.2,520,10.8,113,2.00615384615385,1.6650868878357,0.0269493651368834
634,325,1073,470,1014.4,520,58.5999999999999,-50,1.95076923076923,2.28297872340426,0.073848529858857
617,390,997,636,987.2,624,9.79999999999995,12,1.58205128205128,1.56761006289308,0.911188365843007
663,310,1072,554,1060.8,496,11.2,58,2.13870967741935,1.93501805054152,0.246147730536214
630,379,1078,593,1008,606.4,70,-13.4,1.6622691292876,1.81787521079258,0.279656799446286
727,354,1139,595,1163.2,566.4,-24.2000000000001,28.6,2.05367231638418,1.91428571428571,0.392128006904361
677,331,1176,565,1083.2,529.6,92.8,35.4,2.04531722054381,2.08141592920354,0.835768761058005
676,303,1053,602,1081.6,484.8,-28.6000000000001,117.2,2.23102310231023,1.74916943521595,0.00446217712249295
700,327,1116,625,1120,523.2,-4,101.8,2.14067278287462,1.7856,0.029454191070835
629,360,1151,585,1006.4,576,144.6,9,1.74722222222222,1.96752136752137,0.154760891143482
668,269,981,597,1068.8,430.4,-87.8,166.6,2.48327137546468,1.64321608040201,2.76856645220154e-06
576,323,979,618,921.6,516.8,57.4,101.2,1.78328173374613,1.58414239482201,0.170007812680367
609,358,965,566,974.4,572.8,-9.40000000000009,-6.80000000000007,1.70111731843575,1.70494699646643,0.978913781266717
664,353,1074,596,1062.4,564.8,11.5999999999999,31.1999999999999,1.88101983002833,1.80201342281879,0.606502858302573
667,396,1075,529,1067.2,633.6,7.79999999999996,-104.6,1.68434343434343,2.03213610586011,0.0234440456488322
697,337,1013,597,1115.2,539.2,-102.2,57.8,2.06824925816024,1.69681742043551,0.0181699497210982
673,421,1061,560,1076.8,673.6,-15.8,-113.6,1.59857482185273,1.89464285714286,0.0365036625372803
656,396,1030,546,1049.6,633.6,-19.6000000000001,-87.6,1.65656565656566,1.88644688644689,0.116765545085964
658,330,1046,528,1052.8,528,-6.79999999999996,0,1.99393939393939,1.98106060606061,0.939949291592581
722,322,999,662,1155.2,515.2,-156.2,146.8,2.24223602484472,1.50906344410876,1.86107949282317e-06
719,359,1124,604,1150.4,574.4,-26.4000000000001,29.6,2.00278551532033,1.86092715231788,0.369736622205419
607,393,1065,529,971.2,628.8,93.8,-99.8000000000001,1.54452926208651,2.01323251417769,0.00158712416214407
676,342,1050,552,1081.6,547.2,-31.6000000000001,4.79999999999996,1.9766081871345,1.90217391304348,0.65009965772028
658,344,1057,580,1052.8,550.4,4.20000000000005,29.6,1.91279069767442,1.82241379310345,0.565354437688803
666,402,1171,551,1065.6,643.2,105.4,-92.2,1.65671641791045,2.12522686025408,0.00231242228301037
651,343,1033,585,1041.6,548.8,-8.60000000000014,36.1999999999999,1.89795918367347,1.76581196581197,0.392247858763154
662,352,1123,589,1059.2,563.2,63.8,25.8,1.88068181818182,1.90662139219015,0.869410565091534
640,328,1094,544,1024,524.8,70,19.1999999999999,1.95121951219512,2.01102941176471,0.725063046189324
648,347,1089,560,1036.8,555.2,52.2000000000001,4.79999999999996,1.86743515850144,1.94464285714286,0.631526171266509
742,363,1084,553,1187.2,580.8,-103.2,-27.8000000000001,2.04407713498623,1.96021699819168,0.612146419254301
667,370,1170,653,1067.2,592,102.8,61,1.8027027027027,1.79173047473201,0.940037054679397
671,384,1106,597,1073.6,614.4,32.3999999999999,-17.4000000000001,1.74739583333333,1.85259631490787,0.474480691898417
606,372,1003,615,969.6,595.2,33.4,19.8,1.62903225806452,1.63089430894309,0.989075834509926
724,385,1056,481,1158.4,616,-102.4,-135,1.88051948051948,2.1954261954262,0.0645662401907147
698,427,1110,589,1116.8,683.2,-6.79999999999996,-94.2000000000001,1.63466042154567,1.88455008488964,0.0750369156626193
628,392,1105,551,1004.8,627.2,100.2,-76.2000000000001,1.60204081632653,2.005444646098,0.00679417126638492
703,315,1053,573,1124.8,504,-71.8,69,2.23174603174603,1.83769633507853,0.0224551942716809
626,337,1081,636,1001.6,539.2,79.4,96.8,1.85756676557864,1.6996855345912,0.289891116441107
665,336,1059,573,1064,537.6,-5,35.4,1.97916666666667,1.84816753926702,0.418200119707944
665,342,998,545,1064,547.2,-66,-2.20000000000005,1.94444444444444,1.83119266055046,0.481081020806256
