Gene,prox_int,prox_ext,proxW_int,proxW_ext,prox2_int,prox2_ext,prox2_all,iecat_all,skato_int,skato_ext,skato_all,skat_int,skat_ext,skat_all,burden_int,burden_ext,burden_all
ADGRE2,0.04,0.15,0.03,0.09,0.04,0.15,0.05,0.03,0.06,0.44,0.21,0.05,0.39,0.21,0.03,0.32,0.17
ADGRE3,0.45,0.54,0.19,0.28,0.45,0.54,0.46,0.83,0.83,0.99,1,0.69,0.96,0.97,0.78,0.98,0.97
ADGRE5,0.55,0.61,0.33,0.31,0.55,0.61,0.56,0.86,0.88,0.98,0.98,0.62,0.97,0.96,0.86,0.99,0.98
CLEC17A,0.03,0.11,0.03,0.09,0.02,0.11,0.02,0.03,0.01,0.32,0.15,0.02,0.31,0.12,0.02,0.24,0.17
DDX39A,0.06,0.18,0.03,0.08,0.06,0.18,0.07,0.03,0.03,0.39,0.17,0.03,0.34,0.19,0.04,0.33,0.19
DNAJB1,0.07,0.07,0.05,0.07,0.07,0.07,0.07,0.04,0.02,0.29,0.17,0.02,0.29,0.2,0.02,0.21,0.13
GIPC1,0.03,0.14,0.02,0.1,0.03,0.14,0.03,0.03,0.02,0.33,0.16,0.02,0.28,0.17,0.02,0.24,0.09
NDUFB7,0.0315789473684211,0.0309278350515464,0,0.0315789473684211,0.0210526315789474,0.0309278350515464,0.02,0.04,0.05,0.12,0.1,0.03,0.17,0.1,0.04,0.12,0.08
PKN1,0.05,0.12,0.05,0.1,0.05,0.12,0.05,0.02,0.06,0.59,0.36,0.04,0.57,0.31,0.07,0.47,0.35
PTGER1,0.08,0.16,0.05,0.12,0.08,0.16,0.08,0.03,0.09,0.35,0.17,0.05,0.24,0.13,0.08,0.32,0.23
TECR,0.23,0.3,0.07,0.13,0.23,0.29,0.24,0.59,0.57,0.85,0.83,0.48,0.77,0.76,0.5,0.85,0.85
ZNF333,0.02,0.08,0.06,0.09,0.01,0.08,0.02,0.05,0.07,0.43,0.19,0.03,0.43,0.18,0.07,0.37,0.18
