Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skat_int,burden_int
ADGRE2,0.24,0.14,0.15,0.25,0.16,0.16,0.24,0.14,0.15,0.06,0.05,0.05,0.04,0.01,0,0.07,0.02,0.06
ADGRE3,0.53,0.47,0.47,0.4,0.29,0.28,0.53,0.45,0.46,0.41,0.43,0.43,0.75,0.75,0.74,0.74,0.57,0.75
ADGRE5,0.48,0.52,0.5,0.35,0.3,0.31,0.48,0.51,0.5,0.52,0.48,0.48,0.85,0.83,0.83,0.9,0.69,0.88
CLEC17A,0.14,0.09,0.1,0.1,0.1,0.1,0.13,0.09,0.09,0.03,0.03,0.03,0.02,0.04,0.04,0.04,0.01,0.05
DDX39A,0.17,0.09,0.09,0.12,0.05,0.05,0.17,0.07,0.08,0.02,0.03,0.03,0,0,0,0.01,0.01,0.02
DNAJB1,0.13,0.05,0.05,0.08,0.03,0.03,0.12,0.04,0.05,0.02,0.02,0.02,0.04,0.04,0.04,0.01,0.03,0.04
GIPC1,0.13,0.08,0.08,0.1,0.05,0.04,0.13,0.08,0.08,0.06,0.06,0.06,0.06,0.01,0.01,0.03,0,0.05
NDUFB7,0.15625,0.118279569892473,0.129032258064516,0.104166666666667,0.0860215053763441,0.0860215053763441,0.104166666666667,0.0860215053763441,0.0860215053763441,0.0204081632653061,0.0210526315789474,0.0210526315789474,0.02,0.02,0.02,0.05,0.03,0.05
PKN1,0.18,0.11,0.1,0.2,0.11,0.13,0.18,0.11,0.1,0.06,0.06,0.06,0.03,0.02,0.03,0.03,0.02,0.06
PTGER1,0.12,0.1,0.11,0.13,0.08,0.08,0.1,0.1,0.11,0,0,0,0.02,0.03,0.04,0.02,0.04,0.04
TECR,0.27,0.25,0.27,0.21,0.14,0.13,0.26,0.25,0.27,0.17,0.17,0.17,0.53,0.53,0.53,0.5,0.38,0.43
ZNF333,0.18,0.14,0.13,0.16,0.1,0.11,0.18,0.14,0.13,0.01,0.01,0.01,0.03,0.01,0.01,0.03,0.03,0.03
