Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skat_int,burden_int
ADGRE2,0.03,0.03,0.06,0.02,0.02,0.02,0.03,0.03,0.04,0.04,0.04,0.04,0.01,0.01,0.01,0.01,0.01,0.02
ADGRE3,0.42,0.41,0.43,0.27,0.26,0.27,0.39,0.39,0.4,0.27,0.26,0.26,0.02,0.03,0.03,0.47,0.14,0.51
ADGRE5,0.58,0.58,0.58,0.35,0.37,0.38,0.58,0.58,0.58,0.28,0.28,0.28,0.02,0.02,0.02,0.53,0.26,0.59
CLEC17A,0.13,0.14,0.15,0.07,0.07,0.07,0.12,0.12,0.13,0.04,0.04,0.04,0.01,0.01,0.01,0.02,0.02,0.07
DDX39A,0.05,0.05,0.06,0.02,0.02,0.02,0.05,0.04,0.06,0.02,0.02,0.02,0.02,0.02,0.02,0.04,0.02,0.06
DNAJB1,0.17,0.16,0.17,0.07,0.08,0.08,0.13,0.13,0.14,0.05,0.05,0.05,0.01,0.01,0.01,0.03,0.02,0.02
GIPC1,0.15,0.14,0.14,0.08,0.1,0.09,0.12,0.11,0.11,0.04,0.04,0.04,0.01,0.01,0.01,0.04,0.06,0.02
NDUFB7,0.125,0.125,0.145833333333333,0.0625,0.0625,0.0625,0.0729166666666667,0.0729166666666667,0.0729166666666667,0.0103092783505155,0.0103092783505155,0.0103092783505155,0.02,0.02,0.02,0.01,0.01,0.03
PKN1,0.1,0.1,0.1,0.05,0.06,0.06,0.1,0.11,0.1,0.04,0.04,0.04,0.01,0.02,0.01,0,0,0.05
PTGER1,0.09,0.09,0.1,0.06,0.06,0.06,0.09,0.09,0.09,0.02,0.02,0.02,0.01,0.01,0.01,0.04,0.03,0.03
TECR,0.19,0.18,0.19,0.15,0.16,0.15,0.18,0.17,0.17,0.16,0.16,0.16,0.03,0.03,0.04,0.23,0.15,0.25
ZNF333,0.09,0.1,0.1,0.06,0.07,0.07,0.08,0.08,0.08,0.04,0.04,0.04,0.02,0.01,0.01,0.03,0.02,0.04
