Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skat_int,burden_int
ADGRE2,0.16,0.16,0.16,0.11,0.09,0.12,0.15,0.15,0.16,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0,0.05
ADGRE3,0.55,0.54,0.56,0.25,0.26,0.31,0.55,0.54,0.54,0.09,0.09,0.09,0,0,0.01,0.11,0,0.27
ADGRE5,0.58,0.58,0.59,0.29,0.29,0.32,0.56,0.57,0.59,0.06,0.06,0.06,0,0.01,0.01,0.2,0,0.3
CLEC17A,0.12,0.13,0.15,0.08,0.09,0.1,0.09,0.1,0.13,0.01,0.01,0.02,0,0,0,0,0,0.03
DDX39A,0.09,0.09,0.13,0.08,0.08,0.09,0.09,0.09,0.12,0.02,0.02,0.02,0,0,0,0.02,0,0.02
DNAJB1,0.15,0.15,0.16,0.12,0.12,0.15,0.14,0.14,0.16,0,0,0,0,0,0,0.03,0.01,0.05
GIPC1,0.13,0.12,0.14,0.14,0.14,0.14,0.13,0.12,0.14,0.01,0.01,0.01,0,0,0,0.01,0.01,0.02
NDUFB7,0.161290322580645,0.161290322580645,0.161290322580645,0.152173913043478,0.152173913043478,0.152173913043478,0.129032258064516,0.118279569892473,0.129032258064516,0.010752688172043,0.010752688172043,0.010752688172043,0,0,0,0.01,0.01,0.01
PKN1,0.08,0.08,0.1,0.09,0.12,0.15,0.08,0.08,0.1,0.03,0.03,0.03,0,0,0.01,0.02,0,0.03
PTGER1,0.06,0.06,0.07,0.06,0.04,0.05,0.05,0.05,0.07,0,0,0,0,0,0,0,0,0.02
TECR,0.31,0.31,0.34,0.19,0.18,0.2,0.3,0.3,0.32,0.02,0.02,0.02,0,0,0,0,0,0.06
ZNF333,0.14,0.12,0.14,0.08,0.08,0.12,0.14,0.12,0.14,0.04,0.04,0.04,0,0,0,0.01,0,0.02
