Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skato_ext,skato_all,skat_int,skat_ext,skat_all,burden_int,burden_ext,burden_all
ADGRE2,0.07,0.06,0.1,0.07,0.06,0.07,0.07,0.06,0.09,0.01,0.01,0.01,0,0,0,0.01,0.17,0.17,0,0.13,0.15,0.03,0.19,0.19
ADGRE3,0.08,0.08,0.08,0.05,0.05,0.05,0.08,0.08,0.08,0.02,0.02,0.02,0,0,0,0.01,0.14,0.14,0,0.14,0.13,0.01,0.16,0.14
ADGRE5,0.06,0.06,0.1,0.07,0.07,0.09,0.06,0.06,0.1,0.03,0.03,0.03,0.01,0.01,0.01,0.04,0.32,0.24,0,0.24,0.18,0.06,0.28,0.3
CLEC17A,0.05,0.06,0.08,0.03,0.03,0.03,0.05,0.06,0.08,0.01,0.01,0.01,0,0,0,0.02,0.18,0.13,0,0.23,0.17,0.03,0.1,0.1
DDX39A,0.02,0.04,0.06,0.04,0.03,0.03,0.01,0.02,0.06,0.01,0.01,0.01,0,0,0,0.02,0.12,0.1,0,0.11,0.09,0.03,0.15,0.11
DNAJB1,0.05,0.04,0.05,0.03,0.03,0.04,0.03,0.02,0.04,0.0303030303030303,0.0303030303030303,0.0303030303030303,0,0,0,0.03,0.12,0.08,0.02,0.15,0.1,0.05,0.09,0.09
GIPC1,0.1,0.1,0.11,0.06,0.06,0.07,0.09,0.09,0.11,0.02,0.02,0.02,0,0,0,0.04,0.11,0.09,0.02,0.12,0.1,0.07,0.07,0.07
NDUFB7,0.0266666666666667,0.0266666666666667,0.0769230769230769,0.0153846153846154,0.0307692307692308,0.028169014084507,0.0266666666666667,0.0266666666666667,0.0641025641025641,0.0131578947368421,0.0131578947368421,0.0256410256410256,0,0,0,0.02,0.16,0.13,0.02,0.16,0.14,0.02,0.1,0.12
PKN1,0.09,0.09,0.13,0.05,0.05,0.06,0.09,0.09,0.12,0.01,0.01,0.01,0,0,0,0,0.23,0.22,0,0.14,0.14,0.02,0.27,0.27
PTGER1,0.08,0.08,0.09,0.05,0.05,0.05,0.05,0.05,0.06,0,0,0,0,0,0,0.02,0.16,0.15,0.01,0.18,0.16,0.05,0.14,0.12
TECR,0.07,0.07,0.1,0.06,0.06,0.07,0.05,0.05,0.08,0,0,0,0,0,0,0.02,0.14,0.12,0.01,0.16,0.14,0.04,0.1,0.13
ZNF333,0.04,0.04,0.07,0.04,0.04,0.05,0.04,0.04,0.05,0.03,0.03,0.03,0,0,0,0.03,0.17,0.17,0,0.14,0.13,0.06,0.16,0.19
