Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skato_ext,skato_all,skat_int,skat_ext,skat_all,burden_int,burden_ext,burden_all
ADGRE2,0.05,0.03,0.03,0.05,0.02,0.04,0.03,0.03,0.02,0.02,0.01,0.01,0.02,0.03,0.03,0.02,0.32,0.2,0.04,0.22,0.18,0.01,0.3,0.24
ADGRE3,0.03,0.02,0.03,0.08,0.03,0.03,0.03,0.02,0.03,0.05,0.04,0.04,0.01,0.01,0.02,0.02,0.21,0.15,0.01,0.23,0.17,0.03,0.22,0.16
ADGRE5,0.11,0.04,0.03,0.08,0.05,0.05,0.11,0.04,0.03,0.03,0.04,0.04,0.02,0.01,0.01,0.03,0.27,0.2,0.02,0.34,0.18,0.03,0.25,0.22
CLEC17A,0.12,0.08,0.07,0.07,0.04,0.04,0.09,0.08,0.07,0.08,0.08,0.08,0.02,0.01,0.01,0.02,0.16,0.09,0.01,0.18,0.09,0.06,0.15,0.1
DDX39A,0.09,0.03,0.02,0.02,0.03,0.02,0.06,0.03,0.02,0.01,0.01,0.01,0.01,0.03,0.02,0,0.2,0.1,0.03,0.25,0.12,0.02,0.23,0.12
DNAJB1,0.09,0.02,0.03,0.03,0.01,0.02,0.07,0.03,0.03,0.05,0.06,0.06,0,0.01,0.01,0.05,0.19,0.08,0.04,0.18,0.14,0.06,0.14,0.1
GIPC1,0.11,0.05,0.05,0.06,0.02,0.03,0.09,0.04,0.04,0.03,0.03,0.03,0,0,0,0.04,0.2,0.15,0.02,0.23,0.16,0.05,0.2,0.13
NDUFB7,0.135802469135802,0.0595238095238095,0.0645161290322581,0.0789473684210526,0.0375,0.043010752688172,0.0987654320987654,0.0476190476190476,0.043010752688172,0.0117647058823529,0.0112359550561798,0.0103092783505155,0.03,0.03,0.04,0.01,0.15,0.09,0.01,0.12,0.12,0.04,0.13,0.07
PKN1,0.08,0.04,0.04,0.04,0.02,0.02,0.07,0.03,0.03,0.03,0.04,0.04,0.03,0.04,0.04,0.02,0.26,0.17,0.01,0.31,0.19,0.04,0.24,0.15
PTGER1,0.13,0.08,0.09,0.08,0.02,0.02,0.12,0.07,0.08,0,0,0,0.03,0.03,0.03,0.03,0.17,0.12,0.02,0.22,0.15,0.04,0.15,0.13
TECR,0.09,0.03,0.04,0.06,0.03,0.03,0.08,0.01,0.03,0.01,0.01,0.01,0,0.01,0.01,0.01,0.2,0.07,0,0.24,0.14,0.03,0.16,0.06
ZNF333,0.12,0.11,0.1,0.14,0.1,0.11,0.12,0.1,0.09,0.03,0.03,0.03,0.03,0.02,0.03,0.06,0.27,0.18,0.04,0.23,0.15,0.04,0.24,0.18
