Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skato_ext,skato_all,skat_int,skat_ext,skat_all,burden_int,burden_ext,burden_all
ADGRE2,0.24,0.14,0.15,0.23,0.08,0.08,0.24,0.14,0.15,0.06,0.05,0.05,0.04,0.01,0,0.07,0.68,0.32,0.02,0.65,0.33,0.06,0.21,0.16
ADGRE3,0.08,0.08,0.08,0.08,0.05,0.04,0.08,0.08,0.08,0.03,0.04,0.04,0.03,0.01,0.01,0.02,0.43,0.2,0.01,0.53,0.23,0.03,0.15,0.07
ADGRE5,0.21,0.11,0.1,0.08,0.09,0.09,0.21,0.11,0.1,0.04,0.05,0.05,0.04,0.02,0.02,0.02,0.69,0.35,0.01,0.7,0.39,0.07,0.2,0.14
CLEC17A,0.14,0.09,0.1,0.11,0.05,0.07,0.13,0.09,0.09,0.03,0.03,0.03,0.02,0.04,0.04,0.04,0.42,0.21,0.01,0.54,0.24,0.05,0.15,0.06
DDX39A,0.17,0.09,0.09,0.08,0.04,0.04,0.17,0.07,0.08,0.02,0.03,0.03,0,0,0,0.01,0.52,0.23,0.01,0.49,0.23,0.02,0.22,0.12
DNAJB1,0.13,0.05,0.05,0.09,0.03,0.04,0.12,0.04,0.05,0.02,0.02,0.02,0.04,0.04,0.04,0.01,0.34,0.1,0.03,0.42,0.16,0.04,0.08,0.03
GIPC1,0.13,0.08,0.08,0.1,0.05,0.05,0.13,0.08,0.08,0.06,0.06,0.06,0.06,0.01,0.01,0.03,0.33,0.1,0,0.35,0.12,0.05,0.12,0.08
NDUFB7,0.15625,0.118279569892473,0.129032258064516,0.09375,0.0645161290322581,0.0752688172043011,0.104166666666667,0.0860215053763441,0.0860215053763441,0.0204081632653061,0.0210526315789474,0.0210526315789474,0.02,0.02,0.02,0.05,0.3,0.14,0.03,0.3,0.14,0.05,0.2,0.13
PKN1,0.18,0.11,0.1,0.12,0.07,0.08,0.18,0.11,0.1,0.06,0.06,0.06,0.03,0.02,0.03,0.03,0.65,0.29,0.02,0.69,0.31,0.06,0.22,0.14
PTGER1,0.12,0.1,0.11,0.13,0.05,0.04,0.1,0.1,0.11,0,0,0,0.02,0.03,0.04,0.02,0.3,0.15,0.04,0.33,0.16,0.04,0.14,0.09
TECR,0.21,0.08,0.08,0.13,0.05,0.05,0.21,0.08,0.08,0.04,0.04,0.04,0.03,0.01,0.01,0.04,0.37,0.15,0.03,0.38,0.15,0.05,0.19,0.12
ZNF333,0.18,0.14,0.13,0.13,0.06,0.05,0.18,0.14,0.13,0.01,0.01,0.01,0.03,0.01,0.01,0.03,0.6,0.23,0.03,0.61,0.27,0.03,0.2,0.11
