Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skato_ext,skato_all,skat_int,skat_ext,skat_all,burden_int,burden_ext,burden_all
ADGRE2,0.09,0.05,0.07,0.1,0.05,0.05,0.09,0.04,0.06,0.04,0.04,0.04,0.03,0.01,0.01,0.06,0.31,0.14,0.03,0.32,0.17,0.07,0.29,0.14
ADGRE3,0.12,0.07,0.08,0.08,0.06,0.06,0.11,0.06,0.06,0.06,0.06,0.06,0.02,0.02,0.02,0.04,0.28,0.16,0.01,0.26,0.13,0.07,0.26,0.17
ADGRE5,0.08,0.04,0.04,0.07,0.04,0.02,0.08,0.04,0.04,0.03,0.01,0.01,0,0.01,0.01,0.04,0.25,0.09,0.01,0.27,0.08,0.09,0.21,0.11
CLEC17A,0.08,0.06,0.06,0.07,0.06,0.06,0.05,0.03,0.03,0.01,0.01,0.01,0,0.01,0.01,0.02,0.18,0.08,0.02,0.2,0.09,0.01,0.15,0.09
DDX39A,0.05,0.06,0.06,0.04,0.02,0.02,0.03,0.04,0.04,0.03,0.04,0.04,0.02,0.02,0.02,0.02,0.19,0.12,0.02,0.23,0.13,0.02,0.15,0.1
DNAJB1,0.13,0.09,0.12,0.07,0.07,0.08,0.06,0.05,0.07,0.05,0.05,0.05,0,0.01,0.01,0.01,0.12,0.07,0.02,0.14,0.07,0.01,0.16,0.1
GIPC1,0.05,0.04,0.03,0.03,0.04,0.03,0.05,0.04,0.03,0.07,0.08,0.08,0,0,0,0.02,0.17,0.07,0.02,0.18,0.08,0.03,0.15,0.09
NDUFB7,0.0555555555555556,0.0543478260869565,0.0631578947368421,0.0229885057471264,0.0543478260869565,0.0421052631578947,0.0222222222222222,0.0434782608695652,0.0526315789473684,0.0416666666666667,0.0421052631578947,0.0416666666666667,0,0,0,0.04,0.14,0.1,0.02,0.12,0.06,0.07,0.16,0.08
PKN1,0.02,0.02,0.02,0.06,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0,0.02,0.02,0.02,0.27,0.14,0.02,0.24,0.12,0.02,0.2,0.17
PTGER1,0.05,0.01,0.01,0.02,0.02,0.01,0.05,0.01,0.01,0.04,0.04,0.04,0.03,0.03,0.04,0,0.14,0.09,0.01,0.15,0.09,0.02,0.16,0.1
TECR,0.12,0.02,0.04,0.06,0.02,0.03,0.1,0.02,0.04,0.02,0.02,0.02,0.02,0.02,0.02,0.05,0.21,0.11,0.02,0.21,0.13,0.06,0.18,0.1
ZNF333,0.09,0.03,0.03,0.03,0.03,0.02,0.09,0.03,0.03,0,0.01,0.01,0.01,0.01,0.01,0,0.25,0.14,0,0.33,0.11,0,0.22,0.13
