Gene,prox_int,prox_ext,proxW_int,proxW_ext,prox2_int,prox2_ext,prox2_all,iecat_all,skato_int,skato_ext,skato_all,skat_int,skat_ext,skat_all,burden_int,burden_ext,burden_all
ADGRE2,0.09,0.11,0.07,0.07,0.08,0.11,0.08,0.05,0.04,0.2,0.12,0.02,0.18,0.1,0.05,0.13,0.08
ADGRE3,0.06,0.07,0,0.03,0.05,0.07,0.05,0.02,0.03,0.2,0.11,0.01,0.15,0.08,0.05,0.13,0.09
ADGRE5,0.02,0.07,0.01,0.08,0.02,0.06,0.02,0.02,0.04,0.23,0.13,0.05,0.21,0.11,0.04,0.18,0.11
CLEC17A,0.05,0.09,0.04,0.05,0.05,0.08,0.05,0.03,0.04,0.13,0.09,0.01,0.11,0.08,0.03,0.1,0.09
DDX39A,0.07,0.1,0.03,0.05,0.07,0.11,0.08,0.06,0.04,0.22,0.17,0.02,0.17,0.09,0.08,0.21,0.17
DNAJB1,0.05,0.1,0.04,0.06,0.05,0.09,0.05,0.04,0.04,0.25,0.12,0.04,0.25,0.14,0.05,0.12,0.1
GIPC1,0.04,0.09,0,0.05,0.03,0.09,0.03,0.04,0.06,0.16,0.1,0.05,0.16,0.12,0.04,0.09,0.05
NDUFB7,0.0549450549450549,0.101010101010101,0.0112359550561798,0.0505050505050505,0.043956043956044,0.0707070707070707,0.0510204081632653,0.03,0.02,0.11,0.09,0.04,0.11,0.1,0.04,0.11,0.07
PKN1,0.04,0.14,0.01,0.07,0.04,0.14,0.04,0.03,0.02,0.21,0.08,0.02,0.21,0.11,0.02,0.17,0.08
PTGER1,0.07,0.12,0.04,0.09,0.07,0.11,0.07,0.02,0.03,0.14,0.08,0.01,0.18,0.08,0.07,0.11,0.09
TECR,0.05,0.07,0.03,0.05,0.04,0.07,0.05,0.03,0.02,0.16,0.05,0.01,0.19,0.07,0.03,0.13,0.06
ZNF333,0.02,0.08,0.08,0.05,0.02,0.08,0.02,0.01,0.02,0.23,0.09,0.01,0.24,0.12,0.03,0.17,0.11
