Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skato_ext,skato_all,skat_int,skat_ext,skat_all,burden_int,burden_ext,burden_all
ADGRE2,0.17,0.14,0.13,0.15,0.07,0.07,0.17,0.13,0.13,0.02,0.01,0.01,0,0,0,0.02,0.61,0.57,0,0.6,0.55,0.07,0.47,0.43
ADGRE3,0.12,0.04,0.04,0.1,0.03,0.01,0.12,0.04,0.04,0.01,0.01,0.01,0,0,0,0,0.57,0.48,0,0.57,0.53,0.06,0.43,0.37
ADGRE5,0.12,0.06,0.07,0.09,0.09,0.09,0.12,0.06,0.06,0,0,0,0.02,0,0,0,0.58,0.51,0,0.62,0.57,0.02,0.43,0.35
CLEC17A,0.09,0.08,0.07,0.05,0.04,0.04,0.09,0.08,0.06,0,0,0,0,0,0,0.01,0.47,0.42,0.01,0.42,0.4,0.05,0.3,0.28
DDX39A,0.11,0.06,0.05,0.09,0.05,0.04,0.11,0.06,0.05,0.01,0.01,0.01,0,0.01,0,0.01,0.45,0.38,0.01,0.47,0.39,0.04,0.34,0.25
DNAJB1,0.11,0.06,0.05,0.06,0.04,0.03,0.11,0.05,0.05,0,0,0,0,0,0,0.01,0.34,0.26,0,0.24,0.21,0.04,0.32,0.28
GIPC1,0.08,0.06,0.07,0.05,0.04,0.03,0.08,0.06,0.07,0.01,0.02,0.02,0.02,0,0,0,0.4,0.34,0,0.4,0.36,0.02,0.28,0.24
NDUFB7,0.179775280898876,0.10752688172043,0.0967741935483871,0.13953488372093,0.0769230769230769,0.0769230769230769,0.146067415730337,0.0752688172043011,0.0752688172043011,0.0224719101123595,0.010752688172043,0.010752688172043,0,0,0,0.02,0.26,0.24,0.02,0.23,0.23,0.05,0.18,0.15
PKN1,0.18,0.16,0.15,0.13,0.11,0.11,0.18,0.16,0.15,0,0,0,0,0.01,0.01,0,0.69,0.65,0,0.64,0.64,0.04,0.53,0.47
PTGER1,0.1,0.04,0.03,0.07,0.02,0.02,0.09,0.03,0.02,0,0,0,0,0,0,0.01,0.39,0.35,0,0.44,0.39,0.02,0.27,0.25
TECR,0.1,0.06,0.05,0.04,0.02,0.02,0.08,0.06,0.04,0,0,0,0.01,0,0,0.02,0.33,0.33,0,0.4,0.38,0.04,0.19,0.18
ZNF333,0.07,0.08,0.08,0.11,0.06,0.07,0.06,0.07,0.08,0.01,0.01,0.01,0.01,0,0,0,0.75,0.7,0,0.71,0.65,0.02,0.54,0.5
