Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skato_ext,skato_all,skat_int,skat_ext,skat_all,burden_int,burden_ext,burden_all
ADGRE2,0.06,0.06,0.08,0.06,0.06,0.07,0.06,0.06,0.08,0.05,0.05,0.05,0.01,0.01,0.01,0.02,0.04,0.04,0,0.04,0.03,0.06,0.11,0.06
ADGRE3,0.1,0.07,0.07,0.07,0.05,0.05,0.08,0.06,0.06,0.06,0.06,0.06,0,0,0,0,0.15,0.09,0,0.1,0.08,0.02,0.14,0.11
ADGRE5,0.06,0.05,0.07,0.05,0.05,0.04,0.05,0.04,0.06,0.04,0.04,0.04,0.02,0.02,0.02,0.06,0.12,0.07,0.01,0.06,0.04,0.07,0.13,0.1
CLEC17A,0.12,0.12,0.11,0.07,0.07,0.07,0.11,0.1,0.09,0.04,0.04,0.04,0.05,0.05,0.05,0.01,0.13,0.06,0.01,0.12,0.06,0.02,0.14,0.08
DDX39A,0.05,0.05,0.07,0.05,0.05,0.05,0.04,0.04,0.06,0,0,0,0.02,0.02,0.02,0.01,0.11,0.07,0.01,0.07,0.06,0.05,0.09,0.08
DNAJB1,0.08,0.08,0.1,0.05,0.04,0.06,0.06,0.06,0.07,0.03,0.03,0.03,0.05,0.05,0.06,0.06,0.08,0.08,0.03,0.09,0.08,0.08,0.12,0.09
GIPC1,0.1,0.1,0.1,0.06,0.07,0.07,0.08,0.08,0.1,0.08,0.08,0.08,0.01,0.01,0.01,0.05,0.06,0.04,0.03,0.1,0.05,0.05,0.06,0.04
NDUFB7,0.0813953488372093,0.0813953488372093,0.0919540229885057,0.0493827160493827,0.0493827160493827,0.0609756097560976,0.0352941176470588,0.0352941176470588,0.0465116279069767,0.0111111111111111,0.0111111111111111,0.0111111111111111,0,0,0,0.05,0.09,0.08,0.01,0.12,0.08,0.07,0.1,0.08
PKN1,0.05,0.05,0.05,0.06,0.06,0.08,0.05,0.05,0.05,0.05,0.05,0.05,0.03,0.03,0.03,0.04,0.13,0.09,0.03,0.13,0.06,0.06,0.11,0.09
PTGER1,0.12,0.12,0.12,0.05,0.04,0.05,0.11,0.11,0.1,0.04,0.04,0.04,0.02,0.02,0.02,0.04,0.07,0.07,0.01,0.08,0.04,0.05,0.06,0.07
TECR,0.07,0.07,0.07,0.02,0.02,0.04,0.07,0.07,0.06,0.04,0.04,0.04,0.02,0.02,0.04,0.07,0.11,0.07,0.03,0.1,0.1,0.09,0.1,0.09
ZNF333,0.11,0.11,0.13,0.08,0.08,0.09,0.09,0.09,0.11,0.05,0.05,0.05,0,0,0,0.02,0.11,0.1,0.01,0.11,0.08,0.02,0.13,0.13
