Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skat_int,burden_int
ADGRE2,0.14,0.08,0.08,0.15,0.11,0.07,0.14,0.08,0.08,0.05,0.06,0.06,0.06,0.05,0.06,0.02,0,0.06
ADGRE3,0.5,0.59,0.56,0.33,0.31,0.27,0.5,0.59,0.55,0.17,0.15,0.15,0.06,0.06,0.06,0.38,0,0.51
ADGRE5,0.54,0.51,0.51,0.31,0.32,0.29,0.53,0.51,0.49,0.17,0.18,0.18,0.15,0.09,0.08,0.34,0,0.45
CLEC17A,0.1,0.06,0.07,0.07,0.07,0.07,0.09,0.06,0.07,0.02,0.02,0.02,0.05,0.04,0.05,0.01,0.01,0.06
DDX39A,0.11,0.08,0.08,0.1,0.05,0.05,0.11,0.08,0.08,0.04,0.04,0.04,0.03,0.02,0.02,0.03,0.01,0.03
DNAJB1,0.08,0.04,0.01,0.04,0.05,0.04,0.06,0.03,0.01,0.02,0.02,0.02,0.03,0.03,0.03,0.02,0.02,0.03
GIPC1,0.14,0.04,0.05,0.1,0.03,0.02,0.13,0.04,0.03,0.01,0.01,0.01,0.04,0,0.01,0.01,0,0.01
NDUFB7,0.0645161290322581,0.0520833333333333,0.0520833333333333,0.0549450549450549,0.0315789473684211,0.0212765957446809,0.0645161290322581,0.0520833333333333,0.03125,0.0212765957446809,0.0103092783505155,0.0103092783505155,0,0.02,0.02,0.02,0.02,0.05
PKN1,0.14,0.09,0.09,0.19,0.11,0.12,0.14,0.09,0.09,0.04,0.03,0.03,0.1,0.07,0.05,0.02,0,0.02
PTGER1,0.13,0.08,0.06,0.1,0.06,0.04,0.12,0.08,0.06,0.05,0.05,0.05,0.04,0.04,0.04,0.01,0,0.03
TECR,0.3,0.28,0.26,0.15,0.08,0.07,0.29,0.27,0.24,0.1,0.1,0.1,0,0,0,0.07,0,0.16
ZNF333,0.11,0.07,0.04,0.12,0.04,0.03,0.11,0.07,0.05,0.05,0.04,0.04,0.07,0.05,0.04,0.03,0.01,0.05
