Gene,prox_ext,prox_ext_adj_Ncc,prox_ext_adj_Neff,proxW_ext,proxW_ext_adj_Ncc,proxW_ext_adj_Neff,prox2_ext,prox2_ext_adj_Ncc,prox2_ext_adj_Neff,prox2_all,prox2_all_adj_Ncc,prox2_all_adj_Neff,iecat_all,iecat_all_adj_Ncc,iecat_all_adj_Neff,skato_int,skat_int,burden_int
ADGRE2,0.09,0.03,0.04,0.05,0.04,0.03,0.09,0.03,0.04,0.04,0.06,0.06,0.04,0.03,0.02,0.01,0.02,0.01
ADGRE3,0.35,0.38,0.35,0.15,0.19,0.16,0.35,0.34,0.32,0.17,0.18,0.18,0.08,0.11,0.1,0.42,0.17,0.48
ADGRE5,0.37,0.35,0.37,0.15,0.15,0.14,0.34,0.34,0.35,0.21,0.23,0.23,0.11,0.09,0.11,0.52,0.21,0.54
CLEC17A,0.12,0.1,0.1,0.07,0.08,0.08,0.1,0.08,0.08,0.02,0.02,0.02,0,0.01,0.01,0.01,0.01,0.04
DDX39A,0.05,0.05,0.04,0.01,0.05,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.03,0.03,0.02,0.04,0.03,0.04
DNAJB1,0.08,0.07,0.07,0.05,0.05,0.05,0.07,0.06,0.05,0.02,0.02,0.02,0.03,0.01,0.01,0.03,0.03,0.03
GIPC1,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.03,0.02,0.02,0.04,0.02,0.05
NDUFB7,0.139784946236559,0.105263157894737,0.106382978723404,0.0555555555555556,0.0638297872340425,0.0537634408602151,0.043010752688172,0.0421052631578947,0.0212765957446809,0,0,0,0.04,0.02,0.02,0.04,0.03,0.08
PKN1,0.06,0.1,0.11,0.06,0.08,0.09,0.06,0.1,0.11,0.03,0.04,0.04,0.02,0.04,0.03,0.03,0.02,0.03
PTGER1,0.05,0.05,0.04,0.05,0.04,0.04,0.04,0.05,0.04,0,0,0,0.06,0.02,0.01,0.03,0.02,0.02
TECR,0.18,0.14,0.14,0.11,0.07,0.07,0.17,0.12,0.11,0.14,0.13,0.13,0.07,0.05,0.05,0.24,0.12,0.28
ZNF333,0.05,0.01,0.01,0.05,0.02,0.04,0.05,0,0,0.01,0.01,0.01,0.02,0.01,0.01,0,0.01,0.03
