rep,gene,case_fun,case_syn,control_fun,control_syn
1,ADGRE2,24,20,168,75
1,ADGRE3,42,13,115,50
1,ADGRE5,27,22,153,130
1,CLEC17A,14,6,112,45
1,DDX39A,8,3,66,41
1,DNAJB1,5,10,40,47
1,GIPC1,11,2,69,29
1,NDUFB7,3,5,19,26
1,PKN1,18,12,133,96
1,PTGER1,11,0,57,17
1,TECR,15,7,61,26
1,ZNF333,24,13,126,43
2,ADGRE2,18,19,127,81
2,ADGRE3,36,11,117,74
2,ADGRE5,41,15,144,78
2,CLEC17A,13,5,53,29
2,DDX39A,16,5,82,54
2,DNAJB1,13,10,57,55
2,GIPC1,10,8,60,20
2,NDUFB7,4,7,18,37
2,PKN1,17,18,139,92
2,PTGER1,5,4,36,8
2,TECR,16,10,27,49
2,ZNF333,30,10,129,47
3,ADGRE2,23,18,95,114
3,ADGRE3,32,11,104,40
3,ADGRE5,47,15,184,88
3,CLEC17A,9,9,83,45
3,DDX39A,20,7,107,31
3,DNAJB1,10,11,28,59
3,GIPC1,11,2,58,21
3,NDUFB7,9,1,31,9
3,PKN1,34,35,161,145
3,PTGER1,13,11,63,31
3,TECR,12,6,22,21
3,ZNF333,30,3,145,52
4,ADGRE2,13,16,103,91
4,ADGRE3,21,14,79,66
4,ADGRE5,37,14,144,101
4,CLEC17A,15,5,64,45
4,DDX39A,12,8,79,63
4,DNAJB1,11,7,47,29
4,GIPC1,2,8,45,37
4,NDUFB7,5,1,15,6
4,PKN1,34,14,200,88
4,PTGER1,14,9,54,74
4,TECR,12,2,37,35
4,ZNF333,19,12,164,51
5,ADGRE2,40,20,206,124
5,ADGRE3,25,14,112,66
5,ADGRE5,34,15,131,87
5,CLEC17A,12,4,52,11
5,DDX39A,13,13,73,56
5,DNAJB1,12,7,68,35
5,GIPC1,18,17,78,47
5,NDUFB7,11,2,57,18
5,PKN1,17,24,97,111
5,PTGER1,11,11,64,58
5,TECR,14,8,44,21
5,ZNF333,24,7,127,59
6,ADGRE2,19,16,120,102
6,ADGRE3,18,21,91,90
6,ADGRE5,45,11,160,68
6,CLEC17A,21,8,88,39
6,DDX39A,19,3,89,13
6,DNAJB1,20,7,92,32
6,GIPC1,4,7,60,46
6,NDUFB7,5,3,31,5
6,PKN1,34,24,215,113
6,PTGER1,10,1,48,33
6,TECR,11,2,81,18
6,ZNF333,29,9,144,60
7,ADGRE2,48,19,218,84
7,ADGRE3,32,3,140,28
7,ADGRE5,45,41,200,186
7,CLEC17A,15,4,80,27
7,DDX39A,16,7,43,44
7,DNAJB1,4,9,42,28
7,GIPC1,6,11,36,53
7,NDUFB7,2,1,15,4
7,PKN1,40,27,198,159
7,PTGER1,13,5,57,44
7,TECR,8,13,36,38
7,ZNF333,21,7,149,43
8,ADGRE2,22,14,129,84
8,ADGRE3,39,9,119,65
8,ADGRE5,34,13,100,68
8,CLEC17A,12,5,74,43
8,DDX39A,15,5,93,25
8,DNAJB1,9,5,44,39
8,GIPC1,10,16,66,46
8,NDUFB7,2,3,24,18
8,PKN1,29,16,178,119
8,PTGER1,18,13,88,33
8,TECR,13,3,31,38
8,ZNF333,14,13,102,93
9,ADGRE2,28,20,212,116
9,ADGRE3,35,14,80,72
9,ADGRE5,35,8,138,89
9,CLEC17A,9,2,59,22
9,DDX39A,9,9,71,47
9,DNAJB1,11,5,57,18
9,GIPC1,10,6,55,26
9,NDUFB7,3,1,10,9
9,PKN1,24,22,147,144
9,PTGER1,6,12,29,50
9,TECR,12,2,61,15
9,ZNF333,21,11,122,38
10,ADGRE2,29,18,154,92
10,ADGRE3,33,11,101,56
10,ADGRE5,50,14,139,104
10,CLEC17A,13,5,63,28
10,DDX39A,19,14,107,75
10,DNAJB1,10,7,42,46
10,GIPC1,23,10,91,67
10,NDUFB7,6,1,46,2
10,PKN1,30,15,157,113
10,PTGER1,11,7,80,31
10,TECR,11,7,55,21
10,ZNF333,32,8,147,79
11,ADGRE2,25,12,141,84
11,ADGRE3,26,18,73,104
11,ADGRE5,63,19,191,95
11,CLEC17A,6,7,67,45
11,DDX39A,15,8,73,32
11,DNAJB1,6,3,64,16
11,GIPC1,10,3,62,22
11,NDUFB7,5,4,21,21
11,PKN1,23,18,155,96
11,PTGER1,11,8,71,22
11,TECR,4,18,33,72
11,ZNF333,29,15,153,80
12,ADGRE2,28,19,157,133
12,ADGRE3,43,17,158,89
12,ADGRE5,41,15,117,101
12,CLEC17A,12,6,88,30
12,DDX39A,7,6,44,14
12,DNAJB1,14,8,80,59
12,GIPC1,10,12,61,49
12,NDUFB7,3,1,27,15
12,PKN1,39,18,172,119
12,PTGER1,12,9,53,65
12,TECR,15,1,58,22
12,ZNF333,18,10,142,50
13,ADGRE2,21,9,114,68
13,ADGRE3,39,14,165,97
13,ADGRE5,32,17,163,66
13,CLEC17A,9,5,63,37
13,DDX39A,21,7,96,47
13,DNAJB1,11,4,48,11
13,GIPC1,5,8,75,55
13,NDUFB7,5,2,17,17
13,PKN1,28,26,121,116
13,PTGER1,14,5,55,20
